LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka
SH20M1H_mean_age,Ln_Fe_Mn,SH20M1H_mean_age,Ln_Fe_Mn,SH20M1H_mean_age,Ln_Br_Ti,SH20M1H_mean_age,Ln_Br_Ti,SH20M1H_mean_age,Ln_Mn_Ti,SH20M1H_mean_age,Ln_Mn_Ti,SH20M1H_mean_age,Ln_inc_coh,SH20M1H_mean_age,Ln_inc_coh,SH20M1H_mean_age,Ln_Ca_Ti,SH20M1H_mean_age,Ln_Ca_Ti
cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA
21462.1,3.525083857,21354.7,3.920464312,21462.1,NaN,21354.7,-0.387769743,21462.1,0.655068672,21354.7,0.063824574,21462.1,1.134092186,21354.7,1.238659592,21462.1,-0.336472237,21354.7,-0.113328685
21469.7,3.647406206,21359.05,3.910701528,21469.7,-2.52896664,21359.05,NaN,21469.7,0.493433881,21359.05,-0.093483609,21469.7,1.08605374,21359.05,1.257176138,21469.7,-0.299242895,21359.05,-0.22121491
21477.2,3.602010112,21363.4,3.958026876,21477.2,-1.064479282,21363.4,-0.888764062,21477.2,0.655406853,21363.4,-0.088572436,21477.2,1.134859877,21363.4,1.268002031,21477.2,-0.48117693,21363.4,-0.12624686
21484.7,3.590843079,21367.75,3.909325069,21484.7,-2.185821945,21367.75,-0.912162101,21484.7,0.67228895,21367.75,0.112730846,21484.7,1.116246838,21367.75,1.282292895,21484.7,-0.414681763,21367.75,-0.064912703
21492.2,3.61662938,21372.1,4.094203309,21492.2,-1.716205888,21372.1,-1.033696985,21492.2,0.690612325,21372.1,-0.210033589,21492.2,1.138292053,21372.1,1.243903994,21492.2,-0.288526311,21372.1,-0.160903094
21499.7,3.652115251,21376.45,4.005878181,21499.7,-1.706766256,21376.45,-0.78036561,21499.7,0.434606243,21376.45,-0.128296578,21499.7,1.109293869,21376.45,1.259962023,21499.7,-0.457182941,21376.45,0.266645377
21507.3,3.654312691,21380.8,3.968685801,21507.3,-2.18507376,21380.8,NaN,21507.3,0.555766264,21380.8,-0.154872172,21507.3,1.107210472,21380.8,1.242528208,21507.3,-0.167276381,21380.8,-0.198432724
21514.8,3.682992595,21385.14,3.998486633,21514.8,-2.263037796,21385.14,-0.882190856,21514.8,0.381833504,21385.14,-0.300405935,21514.8,1.089951529,21385.14,1.206587732,21514.8,-0.337746934,21385.14,-0.212214481
21522.3,3.669843482,21389.49,3.995869481,21522.3,-1.950103027,21389.49,NaN,21522.3,0.392833361,21389.49,-0.252373415,21522.3,1.100707692,21389.49,1.234488348,21522.3,-0.250716878,21389.49,-0.146881566
21529.8,3.723817505,21393.84,3.962295994,21529.8,-1.508896683,21393.84,-0.80342748,21529.8,0.260883879,21393.84,-0.31130488,21529.8,1.066513724,21393.84,1.244772254,21529.8,-0.393042588,21393.84,-0.083970583
21537.4,3.72637171,21398.19,3.934464222,21537.4,-1.645805557,21398.19,-0.379583499,21537.4,0.447429307,21398.19,-0.333470812,21537.4,1.115135521,21398.19,1.241105626,21537.4,-0.241162057,21398.19,-0.17870753
21544.9,3.779225374,21402.54,3.957359946,21544.9,-1.6760576,21402.54,-0.515660323,21544.9,0.245754998,21402.54,-0.264050529,21544.9,1.098116963,21402.54,1.265175516,21544.9,-0.398214947,21402.54,-0.197825743
21552.4,3.669455821,21406.89,4.004888114,21552.4,-2.480133371,21406.89,-0.083955103,21552.4,0.525549233,21406.89,-0.273100394,21552.4,1.070739039,21406.89,1.271521837,21552.4,-0.111225635,21406.89,0.117061275
21559.9,3.630994413,21411.24,4.014130324,21559.9,-1.466337069,21411.24,NaN,21559.9,0.487703206,21411.24,-0.359487994,21559.9,1.084740954,21411.24,1.206261543,21559.9,-0.300214489,21411.24,-0.007067167
21593.6,3.719449365,21415.58,4.022065755,21593.6,-3.396055982,21415.58,NaN,21593.6,0.577134484,21415.58,-0.318531334,21593.6,1.116637356,21415.58,1.275643297,21593.6,-0.15286285,21415.58,0.007764014
21627.2,3.673591013,21419.93,4.04871692,21627.2,-1.541229662,21419.93,-0.637042618,21627.2,0.494696242,21419.93,-0.019512519,21627.2,1.14172321,21419.93,1.252762968,21627.2,-0.202764389,21419.93,0.080176478
21660.9,3.786682798,21424.28,4.140325915,21660.9,-3.216768343,21424.28,-0.370269198,21660.9,0.252251635,21424.28,-0.01461606,21660.9,1.104995028,21424.28,1.259266578,21660.9,-0.311882542,21424.28,0.147157644
21694.6,3.61896251,21428.63,3.969108448,21694.6,-2.521274294,21428.63,0.038564879,21694.6,0.440556428,21428.63,0.106519687,21694.6,1.134037649,21428.63,1.268874478,21694.6,-0.495321437,21428.63,0.099111169
21728.2,3.483272047,21432.98,3.948889318,21728.2,-2.224113478,21432.98,NaN,21728.2,0.52942705,21432.98,0.094261046,21728.2,1.119380119,21432.98,1.257833353,21728.2,-0.497311905,21432.98,0.05456662
21761.9,3.493712106,21437.33,3.951679586,21761.9,-2.036061246,21437.33,NaN,21761.9,0.709030227,21437.33,0.155433617,21761.9,1.093729529,21437.33,1.262733868,21761.9,-0.449525098,21437.33,0.119125803
21795.5,3.497506064,21441.67,4.002907583,21795.5,-1.074030045,21441.67,-0.425967767,21795.5,0.616774202,21441.67,0.11769663,21795.5,1.114137277,21441.67,1.214390092,21795.5,-0.390866309,21441.67,0.073179898
21829.2,3.269800158,21446.02,3.964102876,21829.2,-1.412962608,21446.02,-0.651442364,21829.2,0.788257978,21446.02,-0.082358141,21829.2,1.104450734,21446.02,1.314330779,21829.2,-0.089406588,21446.02,-0.039524045
21862.9,3.514615237,21450.37,3.972630699,21862.9,-4.18459144,21450.37,0.023451944,21862.9,0.709510038,21450.37,-0.011868852,21862.9,1.120519367,21450.37,1.270829379,21862.9,-0.243009632,21450.37,-0.094581184
