Age_SH20	Ln(Fe/Mn)
cal a BP	NA
2763.71	2.997106329
2766.27	3.004916163
2768.82	3.044925908
2771.38	3.088306474
2772.66	2.987889096
2775.21	2.798426209
2777.77	2.991770354
2780.32	2.978431
2782.88	2.967659491
2784.15	3.005777802
2786.71	2.993251722
2789.26	3.013806166
2791.82	2.87246548
2794.37	3.004524676
2796.93	3.02129949
2798.2	3.174927851
2800.76	3.084290405
2803.31	3.130252102
2805.87	3.049921886
2808.42	3.200737634
2809.7	2.955541393
2812.26	3.168307031
2814.81	3.163978442
2817.37	3.121846521
2819.92	3.035231655
2822.48	3.126532338
2823.75	3.173265964
2826.31	3.070539367
2828.86	3.022527416
2831.42	3.11189784
2833.97	3.189333195
2835.25	3.347093123
2837.8	3.186058306
2840.36	3.126804726
2842.91	3.120329646
2845.47	3.258222633
2848.02	3.125977433
2849.3	3.238999841
2851.86	3.131506572
2854.41	3.14668636
2856.93	3.121393797
2859.45	3.250353195
2860.7	3.277298955
2863.22	3.402106811
2865.74	3.188970159
2868.26	3.173442795
2870.77	3.082459519
2873.29	3.047952973
2874.55	3.392441209
2877.07	3.219941923
2879.58	3.178552111
2882.1	3.250055868
2884.62	3.233449955
2885.88	3.218968844
2888.39	3.194258099
2890.91	3.308642412
2893.43	3.252054224
2895.95	3.096003875
2898.46	3.21086215
2899.72	3.230326722
2902.24	3.176686776
2904.76	3.21907885
2907.27	3.094938154
2909.79	3.133250553
2911.05	3.098483755
2913.57	2.93587144
2916.08	3.115653694
2918.6	3.399387836
2921.12	3.079942111
2923.64	3.17082884
2924.89	3.081052776
2927.41	2.955113621
2929.93	2.975914125
2932.45	2.886999073
2934.96	2.82187365
2936.22	2.804603389
2938.74	2.934514209
2941.26	2.962566364
2943.77	2.877349743
2946.29	2.934672017
2948.81	2.949688335
2950.07	2.988447741
2952.58	2.846280681
2955.1	2.848581374
2957.62	2.945878386
2960.14	2.991566058
2961.39	2.892663815
2963.91	2.774238304
2966.43	2.940785785
2968.95	2.902060962
2971.46	2.850877659
2973.98	2.813923406
2975.24	2.878628355
2977.76	2.725342543
2980.27	2.876688363
2985.03	2.970123709
2989.78	2.991616165
2992.16	2.946430615
2996.92	3.125959603
3001.67	3.100462092
3006.43	3.010637699
3011.18	3.181280383
3015.94	3.294167138
3018.31	3.102553985
3023.07	2.943282984
3027.82	2.900149948
3032.58	3.029033998
3037.33	3.123686588
3039.71	3.072590808
3044.47	2.99424307
3049.22	2.95676782
3053.98	3.048942334
3058.73	2.769548786
3063.49	2.831231744
3065.86	2.882384809
3070.62	2.853289479
3075.37	2.932798049
3080.13	2.800346536
3084.88	2.702466545
3087.26	2.953481594
3092.02	3.041785594
3096.77	3.0775833
3101.53	2.945833061
3106.28	2.941589974
3111.04	3.121785113
3113.41	2.83646264
3118.17	3.054443301
3122.92	3.127557666
3127.68	3.182376787
3132.43	2.998772145
3134.81	3.006049241
3139.57	3.035784741
3144.32	3.07526627
3149.08	3.159468204
3153.83	3.045903567
3158.59	3.072840276
3160.96	3.020615914
3165.72	2.94333902
3170.47	3.084549414
3175.23	2.888038035
3179.98	3.047157138
3182.36	3.167635962
3187.12	3.151267921
3191.87	3.104608768
3196.63	3.040863554
3201.38	2.914975305
3206.14	3.233235506
