LP08_10ka,LP08_10ka,LP16_10ka,LP16_10ka,LP08_10ka,LP08_10ka,LP16_10ka,LP16_10ka,LP08_10ka,LP08_10ka,LP16_10ka,LP16_10ka,LP08_10ka,LP08_10ka,LP16_10ka,LP16_10ka,LP08_10ka,LP08_10ka,LP16_10ka,LP16_10ka
390.12,3.473518043,328.05,2.335884507,390.1,2.583997552,328.05,1.800723411,390.1,1.84582669,328.05,1.875898842,390.1,1.546899392,328.05,3.435176052,390.1,1.897119985,328.05,2.675133386
399.54,3.392268751,330.63,2.037539476,399.5,NaN,330.63,1.664737926,399.5,NaN,330.63,1.842669645,399.5,1.548984142,330.63,3.653649306,399.5,NaN,330.63,2.356991815
405.82,3.872636761,333.21,2.127078386,405.8,2.41293315,333.21,1.464097519,405.8,0.88238918,333.21,1.870489366,405.8,1.580110497,333.21,3.913661376,405.8,1.070441412,333.21,2.647837017
415.24,3.394508394,335.79,2.210152126,415.2,1.115419407,335.79,1.933674938,415.2,1.245472535,335.79,1.891229283,415.2,1.601421953,335.79,4.180959391,415.2,1.153571173,335.79,2.891980769
421.53,3.663758865,338.37,2.280565286,421.5,1.661884388,338.37,1.976103246,421.5,0.916290732,338.37,1.894212888,421.5,1.565347146,338.37,4.795831087,421.5,0.946596081,338.37,3.255014871
430.95,3.395724342,340.95,2.087936514,431,1.484564583,340.95,NaN,431,1.31302216,340.95,1.85880814,431,1.573582228,340.95,NaN,431,1.635190409,340.95,NaN
437.23,3.301113923,343.53,2.062162084,437.2,2.217843865,343.53,1.639664738,437.2,1.776011112,343.53,1.900547782,437.2,1.549803437,343.53,4.092295482,437.2,1.77070606,343.53,2.800079
449.79,3.222274299,346.11,2.417811672,449.8,1.300772188,346.11,1.673744358,449.8,1.125568099,346.11,1.877415596,449.8,1.607399769,346.11,3.032162263,449.8,0.74893854,346.11,2.4601461
459.22,3.916015027,348.69,1.850810375,459.2,1.890850372,348.69,1.831212208,459.2,0.223143551,348.69,1.850977148,459.2,1.581894243,348.69,4.528745529,459.2,-0.169899037,348.69,2.876907028
468.64,3.364858786,351.27,2.226272263,468.6,1.895556263,351.27,1.681156989,468.6,0.976915354,351.27,1.88578759,468.6,1.553682815,351.27,3.157251134,468.6,0.384411699,351.27,2.354108246
474.92,3.409379777,353.85,2.113539409,474.9,2.162438461,353.85,2.014707395,474.9,1.69773052,353.85,1.830625154,474.9,1.596171138,353.85,4.926245394,474.9,1.521026955,353.85,3.217899739
484.34,3.468048043,356.43,2.303329695,484.3,2.460809098,356.43,2.304316147,484.3,1.860752341,356.43,1.874918578,484.3,1.602988696,356.43,6.063335726,484.3,1.286210903,356.43,3.856208226
493.76,3.392171261,359.01,2.522493604,493.8,1.443452775,359.01,1.663325808,493.8,1.218571604,359.01,1.844923971,493.8,1.583209975,359.01,4.957003493,493.8,0.567984038,359.01,3.62669111
503.19,3.205131002,361.59,2.475798942,503.2,NaN,361.59,1.704784979,503.2,NaN,361.59,1.915416312,503.2,1.561879217,361.59,3.414933283,503.2,NaN,361.59,2.809926393
512.61,3.315976974,364.17,2.45534416,512.6,3.266607228,364.17,1.639006834,512.6,2.0654553,364.17,1.821915491,512.6,1.607713056,364.17,3.152423347,512.6,1.810108608,364.17,2.609360824
518.89,3.476679326,366.75,2.414245293,518.9,2.564949357,366.75,1.562689611,518.9,1.960094784,366.75,1.843127,518.9,1.567695225,366.75,3.435465702,518.9,1.526056303,366.75,2.674932042
528.31,3.290237747,369.33,2.514271677,528.3,1.422662005,369.33,1.573684258,528.3,1.304320778,369.33,1.841128952,528.3,1.610169936,369.33,3.882377852,528.3,0.973860584,369.33,3.033953486
537.74,3.494571452,371.91,2.414974788,537.7,1.523495483,371.91,1.269069629,537.7,1.016934258,371.91,1.855882747,537.7,1.61609276,371.91,3.523609699,537.7,0.843087328,371.91,2.591413297
547.16,3.351035309,374.49,2.351120577,547.2,1.725198703,374.49,1.870436242,547.2,1.44155704,374.49,1.792334678,547.2,1.621254767,374.49,4.503520648,547.2,1.171637424,374.49,3.071863783
556.58,3.319475023,377.07,2.350781697,556.6,2.086361985,377.07,1.791661912,556.6,2.079441542,377.07,1.77961194,556.6,1.602195097,377.07,4.520133294,556.6,1.913649287,377.07,3.039497302
563.4,3.222867846,379.65,2.496646379,563.4,2.197224577,379.65,1.877169115,563.4,1.752538756,379.65,1.767611381,563.4,1.636895079,379.65,4.097955922,563.4,1.63225259,379.65,3.036902034
574.43,3.267105608,382.23,2.414186002,574.4,1.734601055,382.23,1.585651305,574.4,1.329135947,382.23,1.76308852,574.4,1.555562109,382.23,3.780334834,574.4,1.070441412,382.23,2.794191052
581.79,3.422482246,384.81,2.569017338,581.8,1.182430961,384.81,1.524129017,581.8,0.837886026,384.81,1.749473955,581.8,1.574345565,384.81,3.142333526,581.8,0.830768558,384.81,2.442347035
592.82,3.637844124,387.39,2.507883284,592.8,1.727220948,387.39,1.408184878,592.8,0.753771802,387.39,1.754679236,592.8,1.566677404,387.39,3.75480942,592.8,0.84729786,387.39,2.768114442
600.17,3.619172042,389.97,2.483202474,600.2,3.488902962,389.97,1.24772153,600.2,2.238046572,389.97,1.744341546,600.2,1.595399622,389.97,3.019028807,600.2,2.374905755,389.97,2.282880022
611.2,3.460104844,392.55,2.309457972,611.2,1.569432578,392.55,1.486062141,611.2,0.920204631,392.55,1.769548152,611.2,1.561413006,392.55,3.259299613,611.2,0.85566611,392.55,2.38767952
618.56,3.333885968,395.12,2.559002858,618.6,1.708692871,395.12,1.640383265,618.6,1.423632032,395.12,1.751874108,618.6,1.538019469,395.12,3.297999262,618.6,1.233953637,395.12,2.566736668
633.27,3.197608618,397.7,2.602152773,633.3,0.887303195,397.7,1.312128628,633.3,1.208723407,397.7,1.754221881,633.3,1.583067422,397.7,2.655370607,633.3,0.900290391,397.7,2.181957105
644.3,3.370862002,400.28,2.690489503,644.3,1.733603549,400.28,1.106301798,644.3,1.325139938,400.28,1.785741397,644.3,1.575788595,400.28,1.652581829,644.3,1.200577215,400.28,1.975973174
655.33,3.265973414,402.86,2.607081139,655.3,1.171042127,402.86,1.35973887,655.3,1.103296138,402.86,1.755477187,655.3,1.603031967,402.86,2.725800057,655.3,0.890611717,402.86,2.454692871
662.69,3.413989986,405.44,2.789719762,662.7,1.260893095,405.44,1.023174063,662.7,0.993251773,405.44,1.752626258,662.7,1.609242062,405.44,1.761746939,662.7,0.955511445,405.44,2.093388769
673.72,3.331845508,408.02,2.840770835,673.7,1.039272849,408.02,1.424132722,673.7,0.89885567,408.02,1.770487427,673.7,1.590104188,408.02,1.639963579,673.7,0.781700578,408.02,2.005234437
684.75,3.323673075,410.6,2.833454395,684.8,1.746089432,410.6,1.220889176,684.8,1.302524478,410.6,1.724788579,684.8,1.571316509,410.6,2.285994816,684.8,1.122142786,410.6,2.412512629
695.78,3.105262167,413.18,2.81192233,695.8,0.900375277,413.18,1.325766051,695.8,1.05833839,413.18,1.699023107,695.8,1.604673872,413.18,1.895262638,695.8,0.793230639,413.18,2.069832683
706.82,3.051552344,415.76,2.615963814,706.8,1.862886813,415.76,1.00190037,706.8,1.64717824,415.76,1.758288523,706.8,1.585790405,415.76,1.933569272,706.8,1.337023312,415.76,1.991148935
714.17,3.379155282,418.34,2.53839406,714.2,0.913547246,418.34,0.647992827,714.2,1.061398692,418.34,1.756501868,714.2,1.574059766,418.34,2.021990196,714.2,1.089437912,418.34,1.840271121
725.2,3.250515426,420.92,2.907376119,725.2,1.478569637,420.92,1.445215887,725.2,1.299282984,420.92,1.737513495,725.2,1.564074644,420.92,2.228561662,725.2,1.219846153,420.92,2.304033319
736.23,3.195655283,423.5,3.052025214,736.2,1.274269174,423.5,1.069888178,736.2,1.175304909,423.5,1.692667296,736.2,1.582674003,423.5,1.318198007,736.2,0.885383194,423.5,2.097404242
747.27,3.433856066,426.08,2.841874978,747.3,1.484092104,426.08,1.156603165,747.3,1.214872095,426.08,1.757936033,747.3,1.596826296,426.08,2.406840289,747.3,1.379421482,426.08,2.471374644
758.3,3.294101713,428.66,3.103510247,758.3,0.976188873,428.66,1.076712589,758.3,1.065136359,428.66,1.722324524,758.3,1.580826611,428.66,1.61268488,758.3,1.102719071,428.66,2.190969226
765.65,3.252740339,431.24,2.802388361,765.7,0.338023827,431.24,0.305424292,765.7,1.00764051,431.24,1.727706721,765.7,1.56444347,431.24,2.534719466,765.7,0.929249877,431.24,2.307959845
776.68,3.188016953,433.82,2.833213344,776.7,1.726162187,433.82,1.079250577,776.7,1.409824859,433.82,1.684635982,776.7,1.543224486,433.82,2.713692865,776.7,1.281815291,433.82,2.38972084
784.04,3.288090894,436.4,2.842389725,784,1.322668665,436.4,1.298530297,784,1.190179482,436.4,1.714839335,784,1.581030321,436.4,2.037299033,784,1.027660553,436.4,2.094772852
795.07,3.262129103,438.98,2.967738764,795.1,1.211090272,438.98,1.381589592,795.1,1.118259286,438.98,1.725156117,795.1,1.592458257,438.98,2.486050919,795.1,1.074514737,438.98,2.451881394
806.1,3.330439285,441.56,3.090733891,806.1,1.254718003,441.56,1.029469903,806.1,1.202602002,441.56,1.720996465,806.1,1.588012496,441.56,1.408583844,806.1,1.11671233,441.56,2.03836545
813.46,3.160489767,444.14,2.782228457,813.5,1.415621976,444.14,1.46324016,813.5,1.203972804,444.14,1.741287785,813.5,1.603820347,444.14,2.550987642,813.5,0.9897182,444.14,2.340541672
824.49,3.283067063,446.72,2.614469591,824.5,1.640936579,446.72,1.299809402,824.5,1.463255402,446.72,1.745657631,824.5,1.535178661,446.72,3.056795951,824.5,1.504077397,446.72,2.423031246
835.52,3.194753883,449.3,3.01658766,835.5,0.573958663,449.3,1.244032474,835.5,0.992002554,449.3,1.745611314,835.5,1.560054949,449.3,1.793093703,835.5,1.068191692,449.3,2.148070048
846.55,3.096895802,451.88,2.911405038,846.6,0.693147181,451.88,0.943192786,846.6,1.147771525,451.88,1.767134961,846.6,1.564371135,451.88,1.749512258,846.6,0.983732013,451.88,2.01714769
857.59,3.246461735,454.46,3.026503932,857.6,1.223775432,454.46,1.075064531,857.6,1.335001067,454.46,1.758364594,857.6,1.583510374,454.46,1.568501931,857.6,1.319849262,454.46,2.156485746
864.94,3.345655308,457.04,3.288729652,864.9,0.924258902,457.04,1.211902945,864.9,1.16315081,457.04,1.766854459,864.9,1.550907272,457.04,1.624932506,864.9,1.406096988,457.04,2.441259488
875.97,3.448513706,459.62,3.56304828,876,1.69773052,459.62,0.806018422,876,1.31661444,459.62,1.726056008,876,1.545931247,459.62,1.386888884,876,1.31661444,459.62,2.322101433
887,3.317705556,462.2,3.528529509,887,1.31266111,462.2,0.954241101,887,1.177704878,462.2,1.801073813,887,1.598637971,462.2,1.29257338,887,1.170071253,462.2,2.28681514
898.04,3.358210021,464.78,3.340054702,898,1.266493161,464.78,0.207470507,898,0.964568732,464.78,1.811303226,898,1.570164551,464.78,1.663606485,898,1.008664052,464.78,2.475088494
909.07,3.332041418,467.36,2.99973953,909.1,1.019362917,467.36,1.432148781,909.1,0.73511138,467.36,1.736446544,909.1,1.519688152,467.36,2.717564052,909.1,0.843207875,467.36,2.558571785
916.42,3.243169763,469.94,2.953880194,916.4,1.797209074,469.94,0.627625523,916.4,1.438202221,469.94,1.800204891,916.4,1.552291961,469.94,2.313108548,916.4,1.264404544,469.94,2.249155806
927.45,3.605796051,472.52,3.103464973,927.5,1.04334961,472.52,1.252314624,927.5,0.972732043,472.52,1.791223623,927.5,1.568536208,472.52,1.491761219,927.5,1.302211244,472.52,2.005152983
938.56,3.511832424,475.1,3.147524715,938.6,1.682560177,475.1,1.275281544,938.6,1.277095069,475.1,1.784494838,938.6,1.544017928,475.1,1.387801044,938.6,1.314835397,475.1,2.013989361
949.67,3.30878156,477.68,3.37492038,949.7,1.139053258,477.68,1.138954463,949.7,0.879429139,477.68,1.803958779,949.7,1.517601861,477.68,1.183672142,949.7,0.955511445,477.68,2.078870602
957.08,3.280541371,480.26,3.364604245,957.1,1.672412712,480.26,0.900797199,957.1,1.338285142,480.26,1.780184883,957.1,1.513870644,480.26,1.079770992,957.1,1.328400383,480.26,1.973184567
968.19,3.363556949,482.84,3.469029085,968.2,1.495914086,482.84,0.590331166,968.2,1.035698463,482.84,1.712958501,968.2,1.547651281,482.84,0.741444108,968.2,1.094538963,482.84,1.870508516
975.6,3.185019644,485.42,3.491761468,975.6,1.30421153,485.42,0.498239019,975.6,1.195239124,485.42,1.699281771,975.6,1.555490058,485.42,0.809891472,975.6,1.21478372,485.42,1.878566577
986.71,3.255986833,488,3.701493362,986.7,1.439640342,488,1.273083226,986.7,1.098612289,488,1.665933078,986.7,1.551097393,488,0.71478354,986.7,1.439640342,488,2.186895241
997.82,3.027243733,490.58,3.762087348,997.8,2.00492432,490.58,0.919072793,997.8,1.863585204,490.58,1.643648495,997.8,1.582098741,490.58,-0.001164616,997.8,1.788207068,490.58,1.80079762
1008.92,3.152025795,493.16,3.499101597,1008.9,1.020834588,493.16,1.097543173,1008.9,1.161235712,493.16,1.69874875,1008.9,1.549123943,493.16,0.85554541,1008.9,1.292768303,493.16,1.979593018
1016.33,2.992812563,495.73,3.771104394,1016.3,1.456090123,495.73,0.893134995,1016.3,1.418889839,495.73,1.688277361,1016.3,1.562375078,495.73,0.255207756,1016.3,1.29158641,495.73,1.888908795
1027.44,2.961733856,498.31,3.682336356,1027.4,1.124420173,498.31,0.94940593,1027.4,1.249957918,498.31,1.624273932,1027.4,1.539565138,498.31,0.785071275,1027.4,0.984498982,498.31,2.022565893
1038.55,3.217341547,500.89,3.48035041,1038.6,1.458895174,500.89,1.086088624,1038.6,1.240641608,500.89,1.617132535,1038.6,1.55570196,500.89,1.151119101,1038.6,1.383277768,500.89,2.082832525
1045.96,3.367427939,503.47,3.21240331,1046,1.682275236,503.47,0.924802172,1046,1.064710737,503.47,1.656672,1046,1.572890805,503.47,1.899478201,1046,1.305325299,503.47,2.207969117
1053.36,3.213231181,506.05,3.267313193,1053.4,1.401109447,506.05,1.288473474,1053.4,1.606448374,506.05,1.620188411,1053.4,1.560486991,506.05,1.652581829,1053.4,1.591365131,506.05,2.37066846
1060.77,3.152976754,508.63,3.305678279,1060.8,1.27022219,508.63,0.892790553,1060.8,1.581658348,508.63,1.606901365,1060.8,1.535236177,508.63,0.451755033,1060.8,1.50559831,508.63,1.673755561
1068.18,3.14133207,512.01,3.147326359,1068.2,1.203028963,512.01,0.697484878,1068.2,1.330522333,512.01,1.621090513,1068.2,1.582231692,512.01,0.855697492,1068.2,1.38156622,512.01,1.732459727
1075.58,3.31976482,515.39,3.270314387,1075.6,1.223175011,515.39,NaN,1075.6,1.071024332,515.39,1.614824001,1075.6,1.566458214,515.39,1.114039049,1075.6,1.309435356,515.39,2.019653623
1082.99,3.474820618,518.76,3.225889796,1083,1.15643186,518.76,1.001538519,1083,0.9897182,518.76,1.643530387,1083,1.572031388,518.76,0.941576254,1083,1.239064124,518.76,1.839345539
1090.4,3.431888229,522.14,3.258590568,1090.4,1.259334734,522.14,0.887503697,1090.4,1.123930097,522.14,1.652365569,1090.4,1.543206607,522.14,1.064814896,1090.4,1.351065669,522.14,1.878289961
1097.8,3.324762154,525.52,3.165556187,1097.8,1.251040315,525.52,0.894772453,1097.8,1.24758608,525.52,1.606956008,1097.8,1.545442433,525.52,1.779849451,1097.8,1.57512082,525.52,2.202262371
1105.21,3.277879577,528.89,3.190096287,1105.2,0.749944779,528.89,0.995296341,1105.2,0.916290732,528.89,1.583416542,1105.2,1.544420277,528.89,1.532774662,1105.2,0.959499486,528.89,2.144050762
1112.61,3.385558488,532.27,3.636299791,1112.6,1.199840567,532.27,0.786109161,1112.6,1.095169944,532.27,1.615034815,1112.6,1.56468472,532.27,1.584503251,1112.6,1.426703899,532.27,2.242300549
1120.02,3.346342352,535.65,3.495350288,1120,1.123930097,535.65,1.242101212,1120,1.532722995,535.65,1.5849008,1120,1.53987393,535.65,1.097796649,1120,1.552460478,535.65,2.076530331
1127.43,3.446867418,539.02,3.29986391,1127.4,1.232784502,539.02,0.845167087,1127.4,1.191588745,539.02,1.623538128,1127.4,1.545908269,539.02,1.334230956,1127.4,1.366876275,539.02,1.99590652
1134.83,3.361623294,542.4,3.387843305,1134.8,1.555979334,542.4,1.045094977,1134.8,1.468442333,542.4,1.592350416,1134.8,1.518052081,542.4,1.369752678,1134.8,1.612173892,542.4,2.051578499
1142.24,3.312943905,545.78,3.644453196,1142.2,0.693147181,545.78,0.600737147,1142.2,0.798954025,545.78,1.557795387,1142.2,1.526136032,545.78,1.378309421,1142.2,1.0714613,545.78,2.225624052
1149.65,3.311099582,549.15,3.479879594,1149.7,1.192922968,549.15,0.84852536,1149.7,0.952972299,549.15,1.56099065,1149.7,1.548559584,549.15,1.13204309,1149.7,1.251191876,549.15,2.095544949
1157.05,3.345004888,552.53,3.13842653,1157.1,0.850539354,552.53,0.12143972,1157.1,0.751987681,552.53,1.47590652,1157.1,1.519307,552.53,1.095154259,1157.1,1.05736933,552.53,1.878628142
1164.46,3.441548677,555.91,3.100702569,1164.5,1.248042267,555.91,1.080861882,1164.5,1.030404039,555.91,1.477067187,1164.5,1.533892212,555.91,1.888853562,1164.5,1.09494256,555.91,2.369442352
1171.87,3.601299734,559.28,3.375527058,1171.9,1.699050071,559.28,0.479611929,1171.9,1.098612289,559.28,1.476656625,1171.9,1.489212873,559.28,0.354860545,1171.9,1.504077397,559.28,1.883214223
1179.27,3.349972349,562.66,3.418297874,1179.3,1.498772345,562.66,0.621812901,1179.3,1.405941359,562.66,1.518190993,1179.3,1.571314148,562.66,0.098558606,1179.3,1.742969305,562.66,1.590821901
1186.68,3.50224629,566.03,3.68690382,1186.7,1.342331238,566.03,0.224625499,1186.7,1.020360092,566.03,1.448070683,1186.7,1.521051985,566.03,-0.452447579,1186.7,1.428405846,566.03,1.633937444
1194.08,3.597750021,569.41,3.627141436,1194.1,1.651177519,569.41,0.54709731,1194.1,1.278197866,569.41,1.45716416,1194.1,1.522685839,569.41,-0.235033491,1194.1,1.741328616,569.41,1.902256273
1201.49,3.398579579,572.79,3.631207683,1201.5,1.217671649,572.79,0.155657597,1201.5,0.852211875,572.79,1.35551117,1201.5,1.522039399,572.79,-0.200666909,1201.5,1.087051466,572.79,1.818076778
1208.9,3.379737998,576.16,3.592529408,1208.9,0.933615516,576.16,0.76275518,1208.9,1.149096194,576.16,1.396793867,1208.9,1.499996297,576.16,0.06022258,1208.9,1.500835903,576.16,1.908446134
1216.3,3.356036986,579.54,3.711026524,1216.3,0.664437075,579.54,0.184397883,1216.3,1.066660689,579.54,1.353207002,1216.3,1.518761903,579.54,-0.463527629,1216.3,1.436879858,579.54,1.806797347
1223.71,3.353662138,582.92,3.582006569,1223.7,0.750671025,582.92,0.394664553,1223.7,1.05833839,582.92,1.392529149,1223.7,1.50406041,582.92,-0.095049267,1223.7,1.658228077,582.92,1.814530066
1231.12,3.423910449,586.29,3.619579616,1231.1,0.693147181,586.29,0.449828067,1231.1,0.777704569,586.29,1.291099915,1231.1,1.509880787,586.29,-0.404924385,1231.1,1.353912952,586.29,1.803261193
1238.52,3.311887367,589.67,3.764900709,1238.5,0.514592107,589.67,-0.518758948,1238.5,0.611268407,589.67,1.32750568,1238.5,1.496125102,589.67,-1.740026998,1238.5,1.294123901,589.67,1.16617044
1245.93,3.505843356,593.05,3.690120406,1245.9,0.843265597,593.05,NaN,1245.9,1.084427654,593.05,1.339135844,1245.9,1.446568232,593.05,-0.523538147,1245.9,1.851002303,593.05,1.918501026
1253.34,3.596102827,596.42,3.686173093,1253.3,0.766890655,596.42,0.168492941,1253.3,0.733152515,596.42,1.357212451,1253.3,1.45546561,596.42,-0.247770526,1253.3,1.552759575,596.42,2.035830541
1260.74,3.481097629,599.8,3.574356026,1260.7,1.078809661,599.8,-0.32328659,1260.7,0.750305594,599.8,1.33574439,1260.7,1.405796604,599.8,-0.788027022,1260.7,1.519212821,599.8,1.489314912
1268.15,3.570812287,603.18,3.345735527,1268.2,0.9285233,603.18,0.543294862,1268.2,0.749236647,603.18,1.360185917,1268.2,1.44478806,603.18,0.237879435,1268.2,1.458615023,603.18,1.850838604
1275.55,3.626098647,606.55,3.530957365,1275.6,1.287150311,606.55,0.539001766,1275.6,1.077993001,606.55,1.364453867,1275.6,1.442526288,606.55,0.283234258,1275.6,1.670782563,606.55,1.934945127
1282.96,3.391109495,609.93,3.437771771,1283,1.209590797,609.93,0.651368419,1283,1.332031503,609.93,1.421400133,1283,1.457105828,609.93,0.638589491,1283,1.628964335,609.93,1.858180639
1290.37,3.358360208,613.31,3.406507837,1290.4,0.848670544,613.31,0.565946795,1290.4,1.285198244,613.31,1.439636396,1290.4,1.463254074,613.31,0.524720722,1290.4,1.607512984,613.31,1.861080048
1297.77,3.602044927,616.68,2.886692455,1297.8,0.507880114,616.68,-0.575908588,1297.8,0.636421199,616.68,1.470806094,1297.8,1.466652925,616.68,1.603060836,1297.8,1.2443241,616.68,1.968237035
1301.15,3.391627931,620.06,2.892263906,1301.2,0.827297194,620.06,0.585702917,1301.2,0.941707545,620.06,1.465777966,1301.2,1.49170814,620.06,1.016306642,1301.2,1.505176902,620.06,1.746759581
1304.53,3.467066984,623.44,3.288415941,1304.5,0.851285902,623.44,0.705437637,1304.5,0.757467146,623.44,1.509544441,1304.5,1.501150045,623.44,0.704546909,1304.5,1.398457847,623.44,1.973848224
1307.91,3.468650607,626.81,3.257205453,1307.9,0.545916944,626.81,0.676825492,1307.9,0.773189888,626.81,1.49043462,1307.9,1.443378137,626.81,0.796344199,1307.9,1.532762545,626.81,2.040155253
1311.29,3.482784718,630.19,2.999386027,1311.3,0.789424011,630.19,0.877007902,1311.3,0.79903947,630.19,1.556076113,1311.3,1.447932997,630.19,1.320662173,1311.3,1.487390478,630.19,1.916639767
1314.67,3.419274472,633.57,3.026032037,1314.7,1.033579818,633.57,0.801692577,1314.7,1.037524597,633.57,1.599466797,1314.7,1.429793083,633.57,1.383354895,1314.7,1.837016061,633.57,1.911663396
1318.05,3.473328954,636.94,3.207660124,1318.1,0.70031567,636.94,0.966364705,1318.1,0.725008283,636.94,1.596345419,1318.1,1.409374387,636.94,1.453637775,1318.1,1.607998027,636.94,2.063105122
1321.43,3.356958249,640.32,3.356524942,1321.4,0.486094843,640.32,0.803560374,1321.4,0.959613414,640.32,1.610437205,1321.4,1.398248745,640.32,0.897782135,1321.4,1.813157391,640.32,1.960244608
1324.81,3.589396913,643.7,3.391230522,1324.8,0.276253377,643.7,0.941492891,1324.8,0.590668511,643.7,1.640689092,1324.8,1.38150506,643.7,0.533627869,1324.8,1.648908345,643.7,1.808411103
1328.19,3.633096814,647.07,3.414551217,1328.2,0.509005787,647.07,0.883633703,1328.2,0.941426705,647.07,1.579368907,1328.2,1.309381234,647.07,0.645315615,1328.2,2.126064858,647.07,1.805784945
1331.57,3.624440431,650.45,3.309868063,1331.6,0.020339684,650.45,0.555510181,1331.6,0.607380359,650.45,1.616066946,1331.6,1.34139694,650.45,1.428891099,1331.6,1.879151291,650.45,2.223335721
1334.95,3.607920499,653.83,3.3318285,1335,0.584737882,653.83,0.992483259,1335,0.713486865,653.83,1.534463917,1335,1.336987691,653.83,1.454463436,1335,1.853726193,653.83,2.183696796
1338.32,3.665780787,657.2,3.391868286,1338.3,-0.171148256,657.2,0.682855972,1338.3,0.442233956,657.2,1.590750092,1338.3,1.307251866,657.2,0.815170844,1338.3,1.765192442,657.2,2.000061848
1341.7,3.632493266,660.58,3.315277878,1341.7,-0.976273436,660.58,0.924869364,1341.7,0.772135592,660.58,1.596672547,1341.7,1.287157923,660.58,1.003742844,1341.7,1.800850441,660.58,1.960725235
1345.08,3.529482478,663.95,2.871211992,1345.1,-0.978989326,663.95,0.766893281,1345.1,0.508613233,663.95,1.603003525,1345.1,1.356716665,663.95,1.67053421,1345.1,1.571144946,663.95,2.012561099
1348.46,3.44370809,667.33,3.297144011,1348.5,0.647337645,667.33,0.197646692,1348.5,0.751134438,667.33,1.557531643,1348.5,1.375906856,667.33,-0.349417809,1348.5,1.682799337,667.33,1.244404171
1351.84,3.185986274,670.71,2.995412222,1351.8,0.574087821,670.71,0.637022317,1351.8,0.898445372,670.71,1.619867563,1351.8,1.390550147,670.71,1.356559462,1351.8,1.319485691,670.71,1.887679591
1355.22,3.220320564,674.08,3.291052626,1355.2,1.775911277,674.08,NaN,1355.2,1.834843055,674.08,1.646550009,1355.2,1.466359459,674.08,0.68728283,1355.2,2.291199771,674.08,1.869468454
1358.6,3.09219741,677.46,3.615037181,1358.6,0.862045717,677.46,0.795853241,1358.6,1.040983176,677.46,1.687247094,1358.6,1.49708942,677.46,0.609581105,1358.6,1.187843422,677.46,2.049510875
