SH20M1H_mean_age,Ln_Fe_Mn,SH20M1H_mean_age,Ln_Mn_Ti,SH20M1H_mean_age,Ln_Br_Ti,SH20M1H_mean_age,Ln_inc_coh,SH20M1H_mean_age,Ln_Ca_Ti
351.27,2.226272263,351.27,3.157251134,351.27,1.681156989,351.27,1.88578759,351.27,2.354108246
353.85,2.113539409,353.85,4.926245394,353.85,2.014707395,353.85,1.830625154,353.85,3.217899739
356.43,2.303329695,356.43,6.063335726,356.43,2.304316147,356.43,1.874918578,356.43,3.856208226
359.01,2.522493604,359.01,4.957003493,359.01,1.663325808,359.01,1.844923971,359.01,3.62669111
361.59,2.475798942,361.59,3.414933283,361.59,1.704784979,361.59,1.915416312,361.59,2.809926393
364.17,2.45534416,364.17,3.152423347,364.17,1.639006834,364.17,1.821915491,364.17,2.609360824
366.75,2.414245293,366.75,3.435465702,366.75,1.562689611,366.75,1.843127,366.75,2.674932042
369.33,2.514271677,369.33,3.882377852,369.33,1.573684258,369.33,1.841128952,369.33,3.033953486
371.91,2.414974788,371.91,3.523609699,371.91,1.269069629,371.91,1.855882747,371.91,2.591413297
374.49,2.351120577,374.49,4.503520648,374.49,1.870436242,374.49,1.792334678,374.49,3.071863783
377.07,2.350781697,377.07,4.520133294,377.07,1.791661912,377.07,1.77961194,377.07,3.039497302
379.65,2.496646379,379.65,4.097955922,379.65,1.877169115,379.65,1.767611381,379.65,3.036902034
382.23,2.414186002,382.23,3.780334834,382.23,1.585651305,382.23,1.76308852,382.23,2.794191052
384.81,2.569017338,384.81,3.142333526,384.81,1.524129017,384.81,1.749473955,384.81,2.442347035
387.39,2.507883284,387.39,3.75480942,387.39,1.408184878,387.39,1.754679236,387.39,2.768114442
389.97,2.483202474,389.97,3.019028807,389.97,1.24772153,389.97,1.744341546,389.97,2.282880022
392.55,2.309457972,392.55,3.259299613,392.55,1.486062141,392.55,1.769548152,392.55,2.38767952
395.12,2.559002858,395.12,3.297999262,395.12,1.640383265,395.12,1.751874108,395.12,2.566736668
397.7,2.602152773,397.7,2.655370607,397.7,1.312128628,397.7,1.754221881,397.7,2.181957105
400.28,2.690489503,400.28,1.652581829,400.28,1.106301798,400.28,1.785741397,400.28,1.975973174
402.86,2.607081139,402.86,2.725800057,402.86,1.35973887,402.86,1.755477187,402.86,2.454692871
405.44,2.789719762,405.44,1.761746939,405.44,1.023174063,405.44,1.752626258,405.44,2.093388769
408.02,2.840770835,408.02,1.639963579,408.02,1.424132722,408.02,1.770487427,408.02,2.005234437
410.6,2.833454395,410.6,2.285994816,410.6,1.220889176,410.6,1.724788579,410.6,2.412512629
413.18,2.81192233,413.18,1.895262638,413.18,1.325766051,413.18,1.699023107,413.18,2.069832683
415.76,2.615963814,415.76,1.933569272,415.76,1.00190037,415.76,1.758288523,415.76,1.991148935
418.34,2.53839406,418.34,2.021990196,418.34,0.647992827,418.34,1.756501868,418.34,1.840271121
420.92,2.907376119,420.92,2.228561662,420.92,1.445215887,420.92,1.737513495,420.92,2.304033319
423.5,3.052025214,423.5,1.318198007,423.5,1.069888178,423.5,1.692667296,423.5,2.097404242
426.08,2.841874978,426.08,2.406840289,426.08,1.156603165,426.08,1.757936033,426.08,2.471374644
428.66,3.103510247,428.66,1.61268488,428.66,1.076712589,428.66,1.722324524,428.66,2.190969226
431.24,2.802388361,431.24,2.534719466,431.24,0.305424292,431.24,1.727706721,431.24,2.307959845
433.82,2.833213344,433.82,2.713692865,433.82,1.079250577,433.82,1.684635982,433.82,2.38972084
436.4,2.842389725,436.4,2.037299033,436.4,1.298530297,436.4,1.714839335,436.4,2.094772852
438.98,2.967738764,438.98,2.486050919,438.98,1.381589592,438.98,1.725156117,438.98,2.451881394
441.56,3.090733891,441.56,1.408583844,441.56,1.029469903,441.56,1.720996465,441.56,2.03836545
444.14,2.782228457,444.14,2.550987642,444.14,1.46324016,444.14,1.741287785,444.14,2.340541672
446.72,2.614469591,446.72,3.056795951,446.72,1.299809402,446.72,1.745657631,446.72,2.423031246
449.3,3.01658766,449.3,1.793093703,449.3,1.244032474,449.3,1.745611314,449.3,2.148070048
451.88,2.911405038,451.88,1.749512258,451.88,0.943192786,451.88,1.767134961,451.88,2.01714769
454.46,3.026503932,454.46,1.568501931,454.46,1.075064531,454.46,1.758364594,454.46,2.156485746
457.04,3.288729652,457.04,1.624932506,457.04,1.211902945,457.04,1.766854459,457.04,2.441259488
459.62,3.56304828,459.62,1.386888884,459.62,0.806018422,459.62,1.726056008,459.62,2.322101433
462.2,3.528529509,462.2,1.29257338,462.2,0.954241101,462.2,1.801073813,462.2,2.28681514
464.78,3.340054702,464.78,1.663606485,464.78,0.207470507,464.78,1.811303226,464.78,2.475088494
467.36,2.99973953,467.36,2.717564052,467.36,1.432148781,467.36,1.736446544,467.36,2.558571785
469.94,2.953880194,469.94,2.313108548,469.94,0.627625523,469.94,1.800204891,469.94,2.249155806
472.52,3.103464973,472.52,1.491761219,472.52,1.252314624,472.52,1.791223623,472.52,2.005152983
475.1,3.147524715,475.1,1.387801044,475.1,1.275281544,475.1,1.784494838,475.1,2.013989361
477.68,3.37492038,477.68,1.183672142,477.68,1.138954463,477.68,1.803958779,477.68,2.078870602
480.26,3.364604245,480.26,1.079770992,480.26,0.900797199,480.26,1.780184883,480.26,1.973184567
482.84,3.469029085,482.84,0.741444108,482.84,0.590331166,482.84,1.712958501,482.84,1.870508516
485.42,3.491761468,485.42,0.809891472,485.42,0.498239019,485.42,1.699281771,485.42,1.878566577
488,3.701493362,488,0.71478354,488,1.273083226,488,1.665933078,488,2.186895241
490.58,3.762087348,490.58,-0.001164616,490.58,0.919072793,490.58,1.643648495,490.58,1.80079762
493.16,3.499101597,493.16,0.85554541,493.16,1.097543173,493.16,1.69874875,493.16,1.979593018
495.73,3.771104394,495.73,0.255207756,495.73,0.893134995,495.73,1.688277361,495.73,1.888908795
498.31,3.682336356,498.31,0.785071275,498.31,0.94940593,498.31,1.624273932,498.31,2.022565893
500.89,3.48035041,500.89,1.151119101,500.89,1.086088624,500.89,1.617132535,500.89,2.082832525
503.47,3.21240331,503.47,1.899478201,503.47,0.924802172,503.47,1.656672,503.47,2.207969117
506.05,3.267313193,506.05,1.652581829,506.05,1.288473474,506.05,1.620188411,506.05,2.37066846
508.63,3.305678279,508.63,0.451755033,508.63,0.892790553,508.63,1.606901365,508.63,1.673755561
512.01,3.147326359,512.01,0.855697492,512.01,0.697484878,512.01,1.621090513,512.01,1.732459727
515.39,3.270314387,515.39,1.114039049,515.39,NaN,515.39,1.614824001,515.39,2.019653623
518.76,3.225889796,518.76,0.941576254,518.76,1.001538519,518.76,1.643530387,518.76,1.839345539
522.14,3.258590568,522.14,1.064814896,522.14,0.887503697,522.14,1.652365569,522.14,1.878289961
525.52,3.165556187,525.52,1.779849451,525.52,0.894772453,525.52,1.606956008,525.52,2.202262371
528.89,3.190096287,528.89,1.532774662,528.89,0.995296341,528.89,1.583416542,528.89,2.144050762
532.27,3.636299791,532.27,1.584503251,532.27,0.786109161,532.27,1.615034815,532.27,2.242300549
535.65,3.495350288,535.65,1.097796649,535.65,1.242101212,535.65,1.5849008,535.65,2.076530331
539.02,3.29986391,539.02,1.334230956,539.02,0.845167087,539.02,1.623538128,539.02,1.99590652
542.4,3.387843305,542.4,1.369752678,542.4,1.045094977,542.4,1.592350416,542.4,2.051578499
545.78,3.644453196,545.78,1.378309421,545.78,0.600737147,545.78,1.557795387,545.78,2.225624052
549.15,3.479879594,549.15,1.13204309,549.15,0.84852536,549.15,1.56099065,549.15,2.095544949
552.53,3.13842653,552.53,1.095154259,552.53,0.12143972,552.53,1.47590652,552.53,1.878628142
555.91,3.100702569,555.91,1.888853562,555.91,1.080861882,555.91,1.477067187,555.91,2.369442352
559.28,3.375527058,559.28,0.354860545,559.28,0.479611929,559.28,1.476656625,559.28,1.883214223
562.66,3.418297874,562.66,0.098558606,562.66,0.621812901,562.66,1.518190993,562.66,1.590821901
566.03,3.68690382,566.03,-0.452447579,566.03,0.224625499,566.03,1.448070683,566.03,1.633937444
569.41,3.627141436,569.41,-0.235033491,569.41,0.54709731,569.41,1.45716416,569.41,1.902256273
572.79,3.631207683,572.79,-0.200666909,572.79,0.155657597,572.79,1.35551117,572.79,1.818076778
576.16,3.592529408,576.16,0.06022258,576.16,0.76275518,576.16,1.396793867,576.16,1.908446134
579.54,3.711026524,579.54,-0.463527629,579.54,0.184397883,579.54,1.353207002,579.54,1.806797347
582.92,3.582006569,582.92,-0.095049267,582.92,0.394664553,582.92,1.392529149,582.92,1.814530066
586.29,3.619579616,586.29,-0.404924385,586.29,0.449828067,586.29,1.291099915,586.29,1.803261193
589.67,3.764900709,589.67,-1.740026998,589.67,-0.518758948,589.67,1.32750568,589.67,1.16617044
593.05,3.690120406,593.05,-0.523538147,593.05,NaN,593.05,1.339135844,593.05,1.918501026
596.42,3.686173093,596.42,-0.247770526,596.42,0.168492941,596.42,1.357212451,596.42,2.035830541
599.8,3.574356026,599.8,-0.788027022,599.8,-0.32328659,599.8,1.33574439,599.8,1.489314912
603.18,3.345735527,603.18,0.237879435,603.18,0.543294862,603.18,1.360185917,603.18,1.850838604
606.55,3.530957365,606.55,0.283234258,606.55,0.539001766,606.55,1.364453867,606.55,1.934945127
609.93,3.437771771,609.93,0.638589491,609.93,0.651368419,609.93,1.421400133,609.93,1.858180639
613.31,3.406507837,613.31,0.524720722,613.31,0.565946795,613.31,1.439636396,613.31,1.861080048
616.68,2.886692455,616.68,1.603060836,616.68,-0.575908588,616.68,1.470806094,616.68,1.968237035
620.06,2.892263906,620.06,1.016306642,620.06,0.585702917,620.06,1.465777966,620.06,1.746759581
623.44,3.288415941,623.44,0.704546909,623.44,0.705437637,623.44,1.509544441,623.44,1.973848224
626.81,3.257205453,626.81,0.796344199,626.81,0.676825492,626.81,1.49043462,626.81,2.040155253
630.19,2.999386027,630.19,1.320662173,630.19,0.877007902,630.19,1.556076113,630.19,1.916639767
633.57,3.026032037,633.57,1.383354895,633.57,0.801692577,633.57,1.599466797,633.57,1.911663396
636.94,3.207660124,636.94,1.453637775,636.94,0.966364705,636.94,1.596345419,636.94,2.063105122
640.32,3.356524942,640.32,0.897782135,640.32,0.803560374,640.32,1.610437205,640.32,1.960244608
643.7,3.391230522,643.7,0.533627869,643.7,0.941492891,643.7,1.640689092,643.7,1.808411103
647.07,3.414551217,647.07,0.645315615,647.07,0.883633703,647.07,1.579368907,647.07,1.805784945
650.45,3.309868063,650.45,1.428891099,650.45,0.555510181,650.45,1.616066946,650.45,2.223335721
653.83,3.3318285,653.83,1.454463436,653.83,0.992483259,653.83,1.534463917,653.83,2.183696796
657.2,3.391868286,657.2,0.815170844,657.2,0.682855972,657.2,1.590750092,657.2,2.000061848
660.58,3.315277878,660.58,1.003742844,660.58,0.924869364,660.58,1.596672547,660.58,1.960725235
663.95,2.871211992,663.95,1.67053421,663.95,0.766893281,663.95,1.603003525,663.95,2.012561099
667.33,3.297144011,667.33,-0.349417809,667.33,0.197646692,667.33,1.557531643,667.33,1.244404171
670.71,2.995412222,670.71,1.356559462,670.71,0.637022317,670.71,1.619867563,670.71,1.887679591
674.08,3.291052626,674.08,0.68728283,674.08,NaN,674.08,1.646550009,674.08,1.869468454
677.46,3.615037181,677.46,0.609581105,677.46,0.795853241,677.46,1.687247094,677.46,2.049510875
680.84,3.469164086,680.84,0.64720953,680.84,0.786794463,680.84,1.638895183,680.84,1.948729435
684.21,3.467359584,684.21,1.465437782,684.21,0.85042436,684.21,1.657944415,684.21,2.109539573
687.59,3.467299974,687.59,1.499792492,687.59,1.067295803,687.59,1.710149095,687.59,2.093012999
690.97,3.585402283,690.97,1.355589027,690.97,1.040077558,690.97,1.690656309,690.97,2.145711043
694.34,3.522014388,694.34,1.093911864,694.34,0.861578412,694.34,1.68956958,694.34,2.053681549
697.72,3.646909202,697.72,0.753815741,697.72,1.034907535,697.72,1.630646741,697.72,1.853774648
701.1,3.712927183,701.1,0.812657225,701.1,0.693934194,701.1,1.654271546,701.1,1.912230162
704.47,3.963552518,704.47,-0.371417483,704.47,0.960582275,704.47,1.673810298,704.47,1.658615148
707.85,3.876098365,707.85,0.402555038,707.85,0.629549866,707.85,1.692905575,707.85,1.993297242
711.23,3.822144854,711.23,0.300004913,711.23,0.801279006,711.23,1.697008887,711.23,1.945910149
714.6,3.537197868,714.6,0.704839814,714.6,0.693225161,714.6,1.640754183,714.6,1.936420161
717.98,4.007069646,717.98,-0.589075704,717.98,0.768435043,717.98,1.613694434,717.98,1.551006829
721.36,3.800911216,721.36,0.124495189,721.36,0.973836027,721.36,1.610759684,721.36,1.722347983
724.73,3.833336086,724.73,0.162144458,724.73,0.964932452,724.73,1.619730272,724.73,1.764266329
728.11,3.588738786,728.11,0.739382291,728.11,0.780749614,728.11,1.684927517,728.11,1.812825551
731.49,3.489382251,731.49,1.03639005,731.49,0.974302169,731.49,1.649063068,731.49,1.929289268
734.86,3.237039795,734.86,1.341416425,734.86,1.072397048,734.86,1.704610013,734.86,1.920157653
738.24,3.473299934,738.24,0.577639975,738.24,0.975252806,738.24,1.631936186,738.24,1.71564913
741.62,3.812934613,741.62,0.037748541,741.62,0.850466909,741.62,1.667572361,741.62,1.674368206
744.99,3.866290661,744.99,0.299007096,744.99,0.647043221,744.99,1.595105312,744.99,1.834714419
748.37,3.76912457,748.37,0.41376067,748.37,0.66714453,748.37,1.59914926,748.37,1.715333402
751.75,4.242055419,751.75,-0.792244008,751.75,0.650253636,751.75,1.599747161,751.75,1.76232357
755.12,3.985178143,755.12,-0.096806621,755.12,0.821624983,755.12,1.668625793,755.12,1.670281728
758.5,4.025175453,758.5,-0.264603655,758.5,0.568956506,758.5,1.63423716,758.5,1.633632641
761.87,3.951700131,761.87,0.422053459,761.87,0.140521746,761.87,1.635702347,761.87,1.977337502
765.25,3.982324258,765.25,0.3170891,765.25,0.963466789,765.25,1.57364635,765.25,2.040038994
768.63,4.021319427,768.63,0.304656853,768.63,1.062440927,768.63,1.575981201,768.63,1.945910149
772,3.866565846,772,0.456786917,772,0.703886898,772,1.601020105,772,1.715031637
775.38,3.873492391,775.38,0.13519826,775.38,0.546756312,775.38,1.561158256,775.38,1.599039205
778.76,3.999249282,778.76,0.095367675,778.76,0.757648562,778.76,1.576520295,778.76,1.717249729
782.13,4.066092628,782.13,0.418483845,782.13,0.607928554,782.13,1.610396585,782.13,1.898775241
785.51,4.14538737,785.51,-0.51214059,785.51,0.714435601,785.51,1.634663279,785.51,1.511832106
788.89,4.148014485,788.89,-1.838522641,788.89,-0.138777288,788.89,1.623302594,788.89,0.754055934
792.26,4.051429477,792.26,-0.908510898,792.26,0.480747572,792.26,1.640575418,792.26,1.195013406
795.64,3.995414937,795.64,0.300866127,795.64,0.954687782,795.64,1.642425932,795.64,2.060439752
799.02,3.768816782,799.02,0.783287205,799.02,1.05828039,799.02,1.670452644,799.02,2.105063858
802.39,3.833028437,802.39,0.784766293,802.39,1.044721796,802.39,1.684357863,802.39,2.196257927
805.77,3.382181924,805.77,1.701121558,805.77,1.210730001,805.77,1.700149876,805.77,2.128034097
809.15,3.718842705,809.15,0.880922357,809.15,1.038407487,809.15,1.707776333,809.15,2.255806479
812.52,3.572424761,812.52,0.128745468,812.52,0.465400724,812.52,1.732905947,812.52,1.536039747
815.9,3.264314175,815.9,2.148342676,815.9,1.195983817,815.9,1.670115033,815.9,2.396586372
819.28,3.945169947,819.28,0.572543162,819.28,0.973052099,819.28,1.702733248,819.28,2.089557665
822.65,3.772661559,822.65,0.462884841,822.65,0.978597552,822.65,1.650883566,822.65,2.035246069
826.03,4.04036008,826.03,-0.21316849,826.03,1.029878694,826.03,1.721915022,826.03,2.105267941
829.41,3.51005561,829.41,1.132480735,829.41,1.063902685,829.41,1.678076111,829.41,2.240709689
832.78,3.96465891,832.78,0.265912792,832.78,1.132568698,832.78,1.673813811,832.78,2.131855284
836.16,3.77929874,836.16,1.027363198,836.16,0.897342545,836.16,1.712273754,836.16,2.359318111
839.54,4.121675967,839.54,0.134908551,839.54,0.898589655,839.54,1.693964139,839.54,2.259191301
842.91,3.988703424,842.91,0.964831154,842.91,1.119996616,842.91,1.689264683,842.91,2.521850165
846.29,3.925790611,846.29,1.273946137,846.29,1.124004038,846.29,1.682661525,846.29,2.576587062
849.67,3.627890182,849.67,1.078274849,849.67,1.074517476,849.67,1.679905494,849.67,2.285863143
853.04,3.419744848,853.04,1.293944745,853.04,1.026432699,853.04,1.687960602,853.04,2.153476326
856.42,3.912904969,856.42,0.396437828,856.42,1.247433549,856.42,1.685565462,856.42,2.281058759
859.79,3.328309048,859.79,1.187832336,859.79,0.950837043,859.79,1.693534443,859.79,2.185833079
863.17,3.849670434,863.17,-0.229810905,863.17,0.93455785,863.17,1.718222898,863.17,2.152138745
866.55,4.051286835,866.55,0.430836176,866.55,1.157283949,866.55,1.693815461,866.55,2.503563907
869.92,3.77191292,869.92,1.04237854,869.92,1.28529578,869.92,1.684417914,869.92,2.489260161
873.3,3.617364513,873.3,1.937758293,873.3,1.351181721,873.3,1.718898864,873.3,2.75031001
876.68,3.287487671,876.68,1.909395776,876.68,1.337126104,876.68,1.706922684,876.68,2.447120314
880.05,2.919983612,880.05,2.243653452,880.05,1.241286527,880.05,1.716180736,880.05,2.313541798
883.43,3.382415785,883.43,2.138795375,883.43,1.215343923,883.43,1.726136141,883.43,2.667513554
886.81,3.7309551,886.81,1.662224511,886.81,1.37742904,886.81,1.767952746,886.81,2.699743288
890.18,3.557314058,890.18,1.913903791,890.18,1.228211907,890.18,1.707147584,890.18,2.603488727
893.56,3.183958169,893.56,2.733129476,893.56,1.380447,893.56,1.767750453,893.56,2.730191327
896.94,3.450694192,896.94,1.95923227,896.94,1.15044999,896.94,1.749126119,896.94,2.505645276
900.31,3.162246401,900.31,2.280295907,900.31,1.298565293,900.31,1.728012554,900.31,2.490809051
903.69,3.519803124,903.69,1.617983519,903.69,1.300119898,903.69,1.724482781,903.69,2.493972895
907.07,3.328094612,907.07,1.920470053,907.07,1.212333757,907.07,1.725088997,907.07,2.436678827
910.44,3.228198091,910.44,2.076736999,910.44,1.114724622,910.44,1.701014545,910.44,2.329227024
913.82,3.779317866,913.82,1.493262292,913.82,1.267225879,913.82,1.762327052,913.82,2.681701371
917.2,3.613766309,917.2,1.460478372,917.2,1.255138266,917.2,1.718212208,917.2,2.572567588
920.57,2.611839092,920.57,3.145621029,920.57,1.205788618,920.57,1.723338076,920.57,2.480636181
923.95,1.815084142,923.95,4.474712158,923.95,1.071096445,923.95,1.735818261,923.95,2.33868243
927.33,2.818726235,927.33,2.986522039,927.33,1.050469447,927.33,1.692798012,927.33,2.723456034
930.7,3.786081782,930.7,0.725694267,930.7,1.40481629,930.7,1.769736954,930.7,2.344406588
934.08,3.806834075,934.08,0.711216541,934.08,1.36737802,934.08,1.775604029,934.08,2.228034936
937.46,3.509752788,937.46,1.507733833,937.46,1.349744588,937.46,1.737877728,937.46,2.270249712
940.83,3.812529873,940.83,0.07053375,940.83,1.172892597,940.83,1.731496833,940.83,2.12541629
944.21,3.140036097,944.21,2.030263155,944.21,1.378872975,944.21,1.775707974,944.21,2.547540313
947.59,3.533224479,947.59,0.851932738,947.59,1.33424922,947.59,1.737027207,947.59,2.215666005
950.96,3.712104488,950.96,1.315400768,950.96,1.039489364,950.96,1.742199568,950.96,2.529358412
954.34,3.747888007,954.34,0.73494291,954.34,1.169740221,954.34,1.739698971,954.34,2.330276928
957.71,3.720154483,957.71,0.548945591,957.71,0.95907861,957.71,1.709198109,957.71,2.165445759
961.09,3.722533867,961.09,0.955927284,961.09,0.944612158,961.09,1.735487278,961.09,2.328971848
964.47,3.728509249,964.47,1.005835888,964.47,1.063059827,964.47,1.725507497,964.47,2.404049138
967.84,3.452069712,967.84,1.405155703,967.84,1.144019464,967.84,1.752996569,967.84,2.302041467
971.22,3.622171456,971.22,1.103375592,971.22,1.254888167,971.22,1.718048175,971.22,2.456735773
974.6,3.627668723,974.6,1.267139276,974.6,1.499234383,974.6,1.764231006,974.6,2.515937275
977.97,3.477175564,977.97,1.52037497,977.97,1.100679872,977.97,1.744372115,977.97,2.389460591
981.35,3.325723799,981.35,1.802074091,981.35,1.018498347,981.35,1.779116036,981.35,2.3636646
984.73,3.690768425,984.73,1.80682778,984.73,1.480491951,984.73,1.762786984,984.73,2.701060657
988.1,3.861916185,988.1,1.003478849,988.1,1.389231274,988.1,1.739064218,988.1,2.489796635
991.48,4.001992964,991.48,0.614950852,991.48,1.28116217,991.48,1.754027053,991.48,2.429846873
994.86,3.512599092,994.86,1.03692833,994.86,0.900216642,994.86,1.753596265,994.86,2.255438315
998.23,3.568384411,998.23,1.831964648,998.23,1.474609685,998.23,1.74171389,998.23,2.557227311
1001.61,3.63882088,1001.61,1.258323826,1001.61,1.114904153,1001.61,1.780861367,1001.61,2.181525668
1004.99,3.272547826,1004.99,2.089083413,1004.99,1.09466853,1004.99,1.737196025,1004.99,2.441932871
1008.36,3.495869399,1008.36,2.552000182,1008.36,1.440580306,1008.36,1.713741857,1008.36,3.016351561
1011.74,3.531720378,1011.74,2.05544206,1011.74,1.259616684,1011.74,1.763771461,1011.74,2.539771001
1015.12,3.916228708,1015.12,1.640818697,1015.12,1.399147736,1015.12,1.788013367,1015.12,2.783047853
1018.49,3.287856897,1018.49,1.68503584,1018.49,1.247270385,1018.49,1.677707008,1018.49,2.274003713
1021.87,3.319647515,1021.87,1.598531123,1021.87,1.273933519,1021.87,1.740523872,1021.87,2.398939659
1025.25,3.515999589,1025.25,1.402685113,1025.25,1.322487197,1025.25,1.746875111,1025.25,2.429274954
1028.62,3.651612713,1028.62,1.199186225,1028.62,1.399662229,1028.62,1.692168851,1028.62,2.414519697
1032,3.77468302,1032,0.791451001,1032,1.225908542,1032,1.763338044,1032,2.342446626
1035.38,3.696690199,1035.38,1.192254007,1035.38,1.39478145,1035.38,1.774870127,1035.38,2.369779658
1038.75,2.839525657,1038.75,2.299182459,1038.75,1.252271058,1038.75,1.723688538,1038.75,2.258489773
1042.13,2.977339112,1042.13,2.312947327,1042.13,1.323369033,1042.13,1.74174602,1042.13,2.418278777
1045.51,3.952610306,1045.51,0.68842384,1045.51,1.125902174,1045.51,1.747812753,1045.51,2.5244206
1048.88,4.081807555,1048.88,0.990370763,1048.88,1.44918728,1048.88,1.766787133,1048.88,2.705197132
1052.26,3.832934703,1052.26,0.932726409,1052.26,1.2757193,1052.26,1.730544077,1052.26,2.353035009
1055.63,4.004263344,1055.63,0.943321262,1055.63,1.097674513,1055.63,1.724222047,1055.63,2.565445512
1059.01,4.237382511,1059.01,-0.028530801,1059.01,1.05022993,1059.01,1.712446295,1059.01,2.255026398
1062.39,4.013886342,1062.39,0.549369279,1062.39,1.20496454,1062.39,1.718569809,1062.39,2.417110797
1065.76,4.10396663,1065.76,0.406090609,1065.76,1.418438923,1065.76,1.728005626,1065.76,2.340998595
1069.14,3.654268354,1069.14,0.880814559,1069.14,1.13703526,1069.14,1.717243594,1069.14,2.232118382
1072.52,3.740732408,1072.52,0.61907916,1072.52,1.307163549,1072.52,1.76809701,1072.52,2.178204253
1075.89,3.939323003,1075.89,0.165292151,1075.89,1.199176338,1075.89,1.779698785,1075.89,2.109856631
1079.27,4.048106694,1079.27,0.026376331,1079.27,0.971810538,1079.27,1.751051763,1079.27,2.151049127
1082.65,4.052082473,1082.65,0.206746478,1082.65,1.260511805,1082.65,1.725849572,1082.65,2.140320778
1086.02,4.011470071,1086.02,0.345277337,1086.02,1.250721749,1086.02,1.76621904,1086.02,2.254897262
1089.4,3.409556802,1089.4,1.69403189,1089.4,1.128666751,1089.4,1.728745949,1089.4,2.46110832
1092.78,3.43726558,1092.78,1.23362928,1092.78,1.275780787,1092.78,1.733197207,1092.78,2.337838671
1096.15,3.377210132,1096.15,1.20207272,1096.15,1.042086333,1096.15,1.712182798,1096.15,2.160417346
1099.53,3.209079251,1099.53,1.20207272,1099.53,0.601720916,1099.53,1.755688774,1099.53,2.046125691
1102.91,3.601322474,1102.91,0.792748002,1102.91,1.238753094,1102.91,1.744764101,1102.91,2.242802086
1106.28,3.383825132,1106.28,1.078274849,1106.28,1.346718296,1106.28,1.716520605,1106.28,2.152696674
1109.66,3.415271868,1109.66,2.008314276,1109.66,1.227649661,1109.66,1.756407077,1109.66,2.812018444
1113.04,3.873824378,1113.04,0.993450658,1113.04,1.382073435,1113.04,1.693261289,1113.04,2.69493195
1116.41,4.067574321,1116.41,0.047309236,1116.41,1.150161369,1116.41,1.690053723,1116.41,2.390089769
1119.79,3.878949881,1119.79,0.681783376,1119.79,1.050405889,1119.79,1.73313983,1119.79,2.484382403
1123.17,3.973763838,1123.17,0.078841251,1123.17,1.152346924,1123.17,1.753352735,1123.17,2.107833663
1126.54,3.881702478,1126.54,1.067153548,1126.54,1.510021464,1126.54,1.729053739,1126.54,2.678034305
