ID,Section,Section_depth_min,Section_depth_max,Strat_depth_midpoint,95%_min_age_SH20M1H,95%_max_age_SH20M1H,median_age_SH20M1H,mean_age_SH20M1H,accumulation_rate,Wet density,Dry mass,Dry density,WMAR,DMAR,Aulacoseira ambigua,Aulacoseira granulata s.l.,Discostella stelligera s.l.,Cyclotella cf. meneghiniana,Cyclostephanos cf. patagonicus,Fragilaria restgroep,Staurosirella aff. pinnata,Staurosirella aff. lapponica,Staurosira aff. venter,Pseudostaurosira spp.,Fragilariod girdle view,Cymbella spp.,Pinnunavis spp.,Diploneis spp.,Pinnularia borealis,Mastogloia spp.,Unidentifiable,Sum planktonics,Sum benthics,Sum planktonics,SUM max>10%,Total diatom concentration,Ratio Chrysophyte cysts / Diatom frustules,Total Chrysophyte cysts concentration,Total dry diatom flux,Total dry Chrysophyte cyst flux,Total dry planktonic flux,Total dry benthic flux,PC1(25.66%),PC2(16.81%),PC3(12.57%),PC4(8.12%),PC5(7.42%)
Unit,,cm,cm,cm,cal a BP,cal a BP,cal a BP,cal a BP,cm yr-1,g cm-3,%,g cm-3,g cm-3,g cm-2 yr-1,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,valves/g,NA,valves/g,valves/(cm-2.yr),valves/(cm-2.yr),valves/(cm-2.yr),valves/(cm-2.yr),NA,NA,NA,NA,NA
LP08_D20,LP08-1B,24,25,140.7,2464.93,3014.78,2727.26,2727.63,0.079,1.089727778,20.04943889,0.218484305,0.086055958,0.017253737,0,9.77,7.46,0,0,4.94,45.88,0.22,0,0.44,6.81,3.29,0,0.22,0,0.22,1.98,17.23,64,12.4,81.23,11613942,0.72,4181529,200384,72147,34534,128237,0.27,-0.29,-0.29,-0.03,0
LP08_D21,LP08-1B,32,33,148,2577.44,3090.02,2817.55,2820.07,0.0758,1.042996139,17.34114336,0.180867456,0.079039808,0.013706406,0,2.5,94.45,0,0,0,0.22,0,0,0.22,0,0.22,0,0,0,0,0,96.95,0.65,94.45,97.61,133627461,0.17,11632423,1831552,159439,1775749,11958,-0.3,0.17,,-0.35,0.1
LP08_D22,LP08-1B,40,41,155.2,2722.73,3150.77,2907.53,2915.08,0.0606,0.999089683,18.42371271,0.184069413,0.060565975,0.011158501,0,0.37,97.68,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,98.05,0.24,97.68,98.29,127579250,0.24,15577442,1423593,173821,1395782,3476,-0.3,0.17,0.04,-0.4,0.12
LP08_D23,LP08-1B,48,49,162.5,2870.48,3258.55,3029.47,3035.5,0.0446,1.04935,17.1835616,0.180315704,0.046765904,0.008036048,0,1.98,94.52,0,0,0,0.23,0,0.23,0,0,0.7,0,0,0,0,0,96.5,1.17,94.52,97.67,70852837,0.55,19511400,569377,156795,549445,6644,-0.29,0.15,0.06,-0.37,0.12
LP08_D24,LP08-1B,56,57,169.8,2933.26,3584.42,3180.89,3199.3,0.0402,1.10965,17.938536,0.199054965,0.044623995,0.008004891,0,2,93.3,0,0,0,0.71,0,0,0.24,0,0.24,0,0,0,0,0,95.3,1.18,93.3,96.47,114130675,0.18,10192634,913604,81591,870661,10736,-0.3,0.16,0.04,-0.36,0.11
LP08_D25,LP08-1C,0,1,172.5,2982.17,3634.39,3252.69,3266.44,0.0399,1.087763889,18.00488758,0.195850665,0.04340638,0.00781527,0,4.44,91.44,0,0,0,0.22,0,0,0,0,0.43,0,0.43,0,0,0,95.88,1.08,91.44,96.97,250392699,0.15,18447133,1956887,144169,1876321,21201,-0.29,0.19,0.04,-0.31,0.11
LP08_D26,LP08-1B,64,65,177,3035.23,3777.64,3364.55,3379.21,0.0396,1.097852703,18.03678188,0.198017297,0.043521174,0.007849819,0,12.46,85.28,0,0,0,0.21,0,0.21,0,0.21,0.43,0,0,0,0,0,97.74,1.07,85.28,98.82,157199848,0.14,10806434,1233990,84829,1206156,13254,-0.35,0.18,0.02,-0.16,0.08
LP08_D27,LP08-1C,8,9,180.5,3086.65,3921.06,3441.78,3467.5,0.0381,1.049066667,17.69600111,0.185642849,0.040020614,0.007082048,0,7.61,87.35,0,0,0,0.45,0,0,0,0.45,0.22,0,0,0,0,0,94.96,1.12,87.35,96.08,218487128,0.16,17615983,1547336,124757,1469363,17327,-0.32,0.17,0.02,-0.25,0.09
LP08_D28,LP08-1B,72,73,184.3,3189.22,3992.9,3555.04,3567.11,0.0381,1.093627778,17.96411839,0.196460589,0.041718771,0.007494409,0,4.9,90.32,0,0,0,0.35,0,0,0,0.23,0.23,0,0,0,0,0,95.22,0.82,90.32,96.03,147679024,0.11,7926762,1106767,59406,1053818,9040,-0.31,0.17,0.03,-0.3,0.1
LP08_D29,LP08-1C,16,17,188.5,3262.22,4108.55,3682.66,3677.21,0.042,1.113605556,18.32562142,0.204075138,0.046764796,0.008569939,0,6.96,88.26,0,0,0,0,0,0.46,0,0,0.91,0,0,0,0,0,95.21,1.37,88.26,96.58,129525241,0.16,10043006,1110023,86068,1056864,15188,-0.31,0.15,0.06,-0.27,0.11
LP08_D30,LP08-1B,80,81,191.6,3327.92,4176.87,3755.68,3751.03,0.0464,1.093627778,17.68252605,0.193381017,0.050717169,0.008968077,0,2.64,94.47,0,0,0,0.24,0,0,0,0.24,0.48,0,0,0,0,0,97.12,0.96,94.47,98.08,345947216,0.06,9979247,3102481,89495,3012987,29832,-0.3,0.16,0.04,-0.35,0.11
