ID,LabID,LongID,Type,TAS_Class,Group,Eruption_ID,Magma,Volcano,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,SO2,Cl,Total,SiO2_n,TiO2_n,Al2O3_n,FeO_n,MnO_n,MgO_n,CaO_n,Na2O_n,K2O_n,P2O5_n,SO2_n,Cl_n,Total_n,SiO2_n_Z_score,TiO2_n_Z_score,Al2O3_n_Z_score,FeO_n_Z_score,Mn_Z_scoreO_n_Z_score,MgO_n_Z_score,CaO_n_Z_score,Na2O_n_Z_score,K2O_n_Z_score,SiO2_n_sqrt_transformed_Z_scores,TiO2_n_sqrt_transformed_Z_scores,Al2O3_n_sqrt_transformed_Z_scores,FeO_n_sqrt_transformed_Z_scores,Mn_sqrt_transformed_Z_scoresO_n_sqrt_transformed_Z_scores,MgO_n_sqrt_transformed_Z_scores,CaO_n_sqrt_transformed_Z_scores,Na2O_n_sqrt_transformed_Z_scores,K2O_n_sqrt_transformed_Z_scores,PC1_Z_scores_sqrt_transformed,PC2_Z_scores_sqrt_transformed,PC3_Z_scores_sqrt_transformed,PC4_Z_scores_sqrt_transformed,PC_n_sqrt_transformed_Z_scores,Variance_explained_percent,Minimum,25%_Quartile,Median,Mean,75%_Quartile,Maximum
SAM-11,So-A-1,SAM-11_So-A-1_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.65,0.26,14.15,1.81,0.05,0.23,1.08,4.63,4.15,0,0,0,100,73.65,0.26,14.15,1.81,0.05,0.23,1.08,4.63,4.15,0,0,0,100,0.190848287,-0.598487909,0.005210161,-0.357109326,-0.530153831,-0.694514065,-1.069197816,-0.115840304,1.573033331,0.208080338,-0.486941878,0.033998211,-0.236630266,-0.342869977,-0.666437996,-1.162361757,-0.062675435,1.480257512,-1.00415538,1.733239468,-0.508783786,-0.063680561,,,,,,,,
SAM-12,So-A-2,SAM-12_So-A-2_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.88,0.26,14.09,1.7,0.04,0.2,1.05,4.63,4.15,0,0,0,100,73.88,0.26,14.09,1.7,0.04,0.2,1.05,4.63,4.15,0,0,0,100,0.231463307,-0.609155279,-0.033919289,-0.424582678,-0.585883283,-0.743430238,-1.093303282,-0.119115165,1.573139667,0.247986877,-0.502425872,-0.005325939,-0.318738641,-0.418524183,-0.75216033,-1.196544994,-0.065925128,1.480343583,-1.137369851,1.73309558,-0.57110878,-0.074002955,,,,,,,,
SAM-13,So-A-3,SAM-13_So-A-3_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,74.01,0.26,14.01,1.7,0.05,0.21,0.98,4.58,4.2,0,0,0,100,74.01,0.26,14.01,1.7,0.05,0.21,0.98,4.58,4.2,0,0,0,100,0.253865015,-0.598111905,-0.079190438,-0.421605623,-0.526146234,-0.72847969,-1.176827044,-0.165508548,1.622888867,0.269971183,-0.486398769,-0.050933899,-0.315062744,-0.337571184,-0.725381035,-1.317777241,-0.112080786,1.520506674,-1.170980003,1.824255413,-0.456291738,-0.113790846,,,,,,,,
SAM-14,So-A-4,SAM-14_So-A-4_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.35,0.27,14.26,1.7,0.08,0.24,1.09,4.77,4.25,0,0,0,100,73.35,0.27,14.26,1.7,0.08,0.24,1.09,4.77,4.25,0,0,0,100,0.137791138,-0.57786765,0.07053268,-0.42689313,-0.129620915,-0.664543404,-1.053749257,0.030412435,1.679571067,0.155854534,-0.457418901,0.09944828,-0.321594943,0.1189208,-0.616409561,-1.140634485,0.081347875,1.566014529,-0.763908973,1.817565807,-0.365707465,0.021320656,,,,,,,,
SAM-15,So-A-5,SAM-15_So-A-5_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.51,0.24,14.07,1.84,0.04,0.2,1.05,4.89,4.15,0,0,0,100,73.51,0.24,14.07,1.84,0.04,0.2,1.05,4.89,4.15,0,0,0,100,0.166402774,-0.644636631,-0.043016946,-0.335021449,-0.541139099,-0.74059635,-1.103141047,0.155808813,1.573425495,0.184031145,-0.55502757,-0.014481647,-0.210278087,-0.357488182,-0.747042697,-1.21059598,0.203158081,1.480574933,-0.994464686,1.732219136,-0.657184456,-0.238621839,,,,,,,,
SAM-16,So-A-6,SAM-16_So-A-6_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.34,0.22,14.13,1.84,0.02,0.25,1.11,4.86,4.22,0,0,0,100,73.34,0.22,14.13,1.84,0.02,0.25,1.11,4.86,4.22,0,0,0,100,0.135968124,-0.679611357,-0.006287837,-0.332246504,-0.814935684,-0.657014932,-1.033133696,0.123135133,1.652439677,0.154058182,-0.608664932,0.022452237,-0.206985043,-0.782228465,-0.604110729,-1.111853667,0.171564235,1.544265089,-1.040281301,1.727017824,-0.893781413,-0.264153243,,,,,,,,
SAM-17,So-A-7,SAM-17_So-A-7_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.38,0.28,14.03,1.89,0.07,0.19,1.07,4.92,4.16,0,0,0,100,73.38,0.28,14.03,1.89,0.07,0.19,1.07,4.92,4.16,0,0,0,100,0.142364152,-0.554193238,-0.067627558,-0.302341545,-0.191473375,-0.750101783,-1.080428847,0.189754029,1.583407586,0.16036011,-0.424155577,-0.039273565,-0.171740665,0.054762239,-0.764287383,-1.178245109,0.235874593,1.488650116,-0.788325944,1.759472554,-0.414707122,-0.184469404,,,,,,,,
SAM-18,So-A-8,SAM-18_So-A-8_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.54,0.27,14.13,1.83,0.09,0.22,1.12,4.64,4.15,0,0,0,100,73.54,0.27,14.13,1.83,0.09,0.22,1.12,4.64,4.15,0,0,0,100,0.170485592,-0.57016412,-0.010425363,-0.342947272,0.071603744,-0.698292575,-1.018297528,-0.100709797,1.573969846,0.188049348,-0.446522766,0.018295569,-0.219705255,0.314797986,-0.6728723,-1.091289219,-0.047675482,1.481015513,-0.752918671,1.747199428,-0.131753808,0.097106497,,,,,,,,
SAM-19,So-A-9,SAM-19_So-A-9_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.5,0.25,13.97,1.87,0.05,0.19,1.09,4.92,4.15,0,0,0,100,73.5,0.25,13.97,1.87,0.05,0.19,1.09,4.92,4.15,0,0,0,100,0.164466055,-0.630008854,-0.103030986,-0.31373928,-0.457498372,-0.754301892,-1.057374838,0.189275575,1.569848667,0.182124855,-0.533130832,-0.075000223,-0.185121224,-0.249452971,-0.771980095,-1.14572117,0.235414209,1.477679336,-0.942272652,1.710088414,-0.593827644,-0.232919516,,,,,,,,
SAM-20,So-A-10,SAM-20_So-A-10_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.26,0.25,14.16,1.86,0.06,0.23,1.02,5.21,3.96,0,0,0,100,73.26,0.25,14.16,1.86,0.06,0.23,1.02,5.21,3.96,0,0,0,100,0.121710496,-0.617856717,0.009606336,-0.32222194,-0.391700687,-0.687184424,-1.132594177,0.487176163,1.348232262,0.140004702,-0.515166659,0.038410703,-0.195121137,-0.169210926,-0.654039876,-1.253020309,0.518033957,1.296097313,-0.771734528,1.575744709,-0.671953013,-0.43211404,,,,,,,,
SAM-21,So-A-11,SAM-21_So-A-11_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.64,0.31,14.26,1.66,0.01,0.22,1.12,4.57,4.2,0,0,0,100,73.64,0.31,14.26,1.66,0.01,0.22,1.12,4.57,4.2,0,0,0,100,0.188991643,-0.48715835,0.071078239,-0.447015573,-1.021507386,-0.695699856,-1.022416413,-0.177371198,1.629230145,0.20625459,-0.333319237,0.099993871,-0.346601774,-1.271307048,-0.668454066,-1.096986158,-0.12391852,1.525611105,-1.24406389,1.700538641,-1.074838404,-0.171501682,,,,,,,,
SAM-22,So-A-12,SAM-22_So-A-12_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.45,0.26,14.21,1.72,0.05,0.22,1.05,5.08,3.97,0,0,0,100,73.45,0.26,14.21,1.72,0.05,0.22,1.05,5.08,3.97,0,0,0,100,0.154613433,-0.6004822,0.039156412,-0.408327739,-0.538784942,-0.711261588,-1.097118459,0.349778563,1.367364381,0.172424827,-0.489825495,0.068041444,-0.298729067,-0.354343806,-0.695185638,-1.20198711,0.388671978,1.311945801,-0.898432631,1.560831939,-0.764021226,-0.331571319,,,,,,,,
SAM-23,So-A-13,SAM-23_So-A-13_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,74.82,0.19,14.38,1.78,0,0.22,1.11,3.38,4.11,0,0,0,100,74.82,0.19,14.38,1.78,0,0.22,1.11,3.38,4.11,0,0,0,100,0.396354142,-0.755012416,0.147765307,-0.371412265,-1.116139916,-0.712336458,-1.029980502,-1.41682756,1.528623737,0.409365628,-0.731313256,0.176516363,-0.253829842,-1.895081243,-0.697051224,-1.107472757,-1.45436279,1.444227066,-2.040482989,1.667474973,-0.761005954,0.504505774,,,,,,,,
SAM-24,So-A-14,SAM-24_So-A-14_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,75.04,0.25,14.31,1.85,0.06,0.22,1.07,2.83,4.36,0,0,0,100,75.04,0.25,14.31,1.85,0.06,0.22,1.07,2.83,4.36,0,0,0,100,0.434530597,-0.61128134,0.104230535,-0.328136072,-0.28861741,-0.698654477,-1.076279647,-1.999776197,1.812504269,0.446584845,-0.505529622,0.133116124,-0.202114311,-0.05050298,-0.673490126,-1.172368468,-2.161299859,1.671712569,-1.619068975,2.0710522,0.728977276,1.255498731,,,,,,,,
SAM-25,So-A-15,SAM-25_So-A-15_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,74.38,0.26,14.17,1.93,0.03,0.25,1.08,3.65,4.26,0,0,0,100,74.38,0.26,14.17,1.93,0.03,0.25,1.08,3.65,4.26,0,0,0,100,0.318404015,-0.59763962,0.01438082,-0.279355357,-0.732587029,-0.646521492,-1.06314276,-1.143016408,1.694805173,0.333202326,-0.485716847,0.043201639,-0.144946969,-0.639283184,-0.587138216,-1.153829229,-1.142545709,1.57820013,-1.406170127,1.879568697,-0.074637823,0.461569422,,,,,,,,
SAM-26,So-A-16,SAM-26_So-A-16_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.48,0.25,14.06,1.75,0.09,0.22,1.03,4.9,4.22,0,0,0,100,73.48,0.25,14.06,1.75,0.09,0.22,1.03,4.9,4.22,0,0,0,100,0.159688573,-0.617253867,-0.05089347,-0.391197358,-0.001935391,-0.705935456,-1.122894959,0.171531,1.651567663,0.177421826,-0.514280704,-0.022412337,-0.277801502,0.245292617,-0.685978474,-1.238989627,0.21832465,1.543565042,-0.797525578,1.830841064,-0.308828935,-0.121233424,,,,,,,,
SAM-27,So-A-17,SAM-27_So-A-17_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.53,0.28,14.23,1.76,0.03,0.25,1.08,4.67,4.18,0,0,0,100,73.53,0.28,14.23,1.76,0.03,0.25,1.08,4.67,4.18,0,0,0,100,0.168703952,-0.56303821,0.054679161,-0.385229225,-0.782928574,-0.650575467,-1.063654879,-0.076899457,1.603130575,0.186295982,-0.436506299,0.083586389,-0.270548255,-0.724592969,-0.59367217,-1.154550057,-0.02411788,1.504580564,-1.045838937,1.728986203,-0.762006572,-0.158585034,,,,,,,,
SAM-28,So-A-18,SAM-28_So-A-18_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.57,0.27,14.27,1.67,0.02,0.23,1.05,4.86,4.05,0,0,0,100,73.57,0.27,14.27,1.67,0.02,0.23,1.05,4.86,4.05,0,0,0,100,0.176958395,-0.578240796,0.079167177,-0.442811033,-0.812286994,-0.694047809,-1.098537016,0.126957544,1.457137168,0.194418415,-0.457948502,0.108081275,-0.341357151,-0.777346146,-0.665646066,-1.204012849,0.175265562,1.385870235,-1.078793067,1.617335416,-0.922246756,-0.280311314,,,,,,,,
SAM-29,So-A-19,SAM-29_So-A-19_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.58,0.25,14.09,1.76,0.04,0.22,1.12,4.85,4.08,0,0,0,100,73.58,0.25,14.09,1.76,0.04,0.22,1.12,4.85,4.08,0,0,0,100,0.177105852,-0.611645261,-0.033668636,-0.382957011,-0.582933615,-0.700291852,-1.018653377,0.115289062,1.491664617,0.19456349,-0.506061493,-0.005073755,-0.267791845,-0.414423044,-0.676288812,-1.091781034,0.163962339,1.414111785,-0.967200643,1.621204951,-0.667125261,-0.189836067,,,,,,,,
SAM-30,So-A-20,SAM-30_So-A-20_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.26,0.3,13.94,1.89,0.01,0.23,1.12,5.17,4.08,0,0,0,100,73.26,0.3,13.94,1.89,0.01,0.23,1.12,5.17,4.08,0,0,0,100,0.121064158,-0.5179847,-0.125667745,-0.301661525,-0.955763264,-0.679815021,-1.02143758,0.44548176,1.493929856,0.139367434,-0.374504753,-0.097882433,-0.17094435,-1.083040628,-0.641682888,-1.095631459,0.478952489,1.415960977,-0.986371663,1.57885532,-1.145904493,-0.617709595,,,,,,,,
SAM-31,So-A-21,SAM-31_So-A-21_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.39,0.28,14.26,1.85,0.06,0.23,1.03,4.78,4.12,0,0,0,100,73.39,0.28,14.26,1.85,0.06,0.23,1.03,4.78,4.12,0,0,0,100,0.143521833,-0.550017428,0.068998738,-0.327069427,-0.315026443,-0.683008379,-1.123094778,0.039694606,1.539813616,0.161500593,-0.418355752,0.097914159,-0.20085176,-0.080174989,-0.647024336,-1.239278083,0.09041675,1.453321586,-0.814827392,1.753862631,-0.432442583,-0.126320905,,,,,,,,
SAM-32,So-A-22,SAM-32_So-A-22_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.41,0.26,13.95,1.82,0.05,0.24,1.05,5.02,4.21,0,0,0,100,73.41,0.26,13.95,1.82,0.05,0.24,1.05,5.02,4.21,0,0,0,100,0.147121777,-0.607111527,-0.119863166,-0.34453214,-0.469482726,-0.665598743,-1.098794326,0.288160556,1.637189105,0.165046729,-0.499447874,-0.092012022,-0.221594185,-0.26449327,-0.618141926,-1.204380426,0.33011354,1.532012941,-0.875934555,1.772849982,-0.606839014,-0.349371718,,,,,,,,
SAM-33,So-A-23,SAM-33_So-A-23_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,74.01,0.25,14,1.8,0.07,0.21,1.04,4.47,4.15,0,0,0,100,74.01,0.25,14,1.8,0.07,0.21,1.04,4.47,4.15,0,0,0,100,0.254410635,-0.62487164,-0.089239152,-0.359451478,-0.273025505,-0.728045566,-1.111727275,-0.278278304,1.574416258,0.270506402,-0.525511985,-0.061073691,-0.239439391,-0.033206606,-0.724611391,-1.222907838,-0.225214272,1.481376806,-1.074628321,1.780553206,-0.208023843,0.044078836,,,,,,,,
SAM-34,So-A-24,SAM-34_So-A-24_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.83,0.25,14.18,1.78,0,0.17,0.99,4.69,4.12,0,0,0,100,73.83,0.25,14.18,1.78,0,0.17,0.99,4.69,4.12,0,0,0,100,0.221290852,-0.627935592,0.01992429,-0.371908001,-1.116139916,-0.796757085,-1.159706478,-0.052837905,1.529667997,0.237997717,-0.530051655,0.048762557,-0.254427913,-1.895081243,-0.852461659,-1.292560315,-0.000370107,1.44507624,-1.603888622,1.655729234,-1.492352536,-0.46363092,,,,,,,,
SAM-35,So-A-25,SAM-35_So-A-25_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.9,0.28,14.14,1.67,0.03,0.19,0.95,4.62,4.21,0,0,0,100,73.9,0.28,14.14,1.67,0.03,0.19,0.95,4.62,4.21,0,0,0,100,0.234165543,-0.547293166,-0.003522361,-0.441437298,-0.677399692,-0.750685022,-1.210415654,-0.129867216,1.640910706,0.250639766,-0.414582609,0.025229953,-0.339645842,-0.551973336,-0.765352906,-1.367829372,-0.076602292,1.53500462,-1.203553208,1.847468614,-0.640295946,-0.166721044,,,,,,,,
SAM-36,So-A-26,SAM-36_So-A-26_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,74.09,0.23,14.07,1.57,0.03,0.17,1,4.7,4.15,0,0,0,100,74.09,0.23,14.07,1.57,0.03,0.17,1,4.7,4.15,0,0,0,100,0.267755691,-0.673693161,-0.045185734,-0.508239835,-0.704699064,-0.803356356,-1.158451824,-0.040651259,1.571619815,0.283593559,-0.599456059,-0.016664988,-0.424184703,-0.594429926,-0.865454055,-1.290719991,0.01163537,1.479113293,-1.334098699,1.738789857,-0.75972684,-0.143328881,,,,,,,,
SAM-37,So-A-27,SAM-37_So-A-27_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.92,0.2,13.97,1.72,0.04,0.19,1.08,4.6,4.28,0,0,0,100,73.92,0.2,13.97,1.72,0.04,0.19,1.08,4.6,4.28,0,0,0,100,0.238538546,-0.733664972,-0.105227979,-0.411019424,-0.540839413,-0.764074399,-1.061923725,-0.150181452,1.712700905,0.254932328,-0.695519697,-0.077219709,-0.302032205,-0.357087543,-0.790057676,-1.152114004,-0.096807583,1.592490474,-1.216196576,1.812428808,-0.536863127,0.003888947,,,,,,,,
SAM-38,So-A-28,SAM-38_So-A-28_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,74.31,0.26,13.95,1.53,0.09,0.18,0.99,4.63,4.04,0,0,0,100,74.31,0.26,13.95,1.53,0.09,0.18,0.99,4.63,4.04,0,0,0,100,0.305703619,-0.592884743,-0.115536786,-0.529921739,0.018319193,-0.770525151,-1.16010905,-0.11064003,1.446234104,0.320771622,-0.478867123,-0.087637873,-0.452228134,0.264659409,-0.802131614,-1.293151028,-0.057517389,1.376930334,-1.079584281,1.701597298,-0.147039866,0.01010369,,,,,,,,
SAM-39,So-A-29,SAM-39_So-A-29_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.85,0.27,14.29,1.59,0.04,0.2,0.96,4.48,4.31,0,0,0,100,73.85,0.27,14.29,1.59,0.04,0.2,0.96,4.48,4.31,0,0,0,100,0.225453193,-0.580519257,0.091446698,-0.493290655,-0.607017044,-0.734633699,-1.197561115,-0.267700951,1.752257065,0.24208553,-0.46118595,0.120351311,-0.405026475,-0.448247984,-0.736338991,-1.348581905,-0.214545205,1.62398509,-1.198253495,1.93112187,-0.57501423,0.021345077,,,,,,,,
SAM-40,So-A-30,SAM-40_So-A-30_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.98,0.3,14.03,1.64,0.01,0.2,1.02,4.61,4.22,0,0,0,100,73.98,0.3,14.03,1.64,0.01,0.2,1.02,4.61,4.22,0,0,0,100,0.248176804,-0.518587226,-0.06673247,-0.461094425,-1.034697506,-0.739495973,-1.135367678,-0.139113677,1.646719631,0.264390748,-0.375319425,-0.038371261,-0.364239548,-1.316409216,-0.745060882,-1.257043368,-0.085793875,1.53967193,-1.419151473,1.762150619,-1.066626342,-0.316904858,,,,,,,,
SAM-41,So-A-31,SAM-41_So-A-31_So_UK_Solipuli,Acid,Rhyolite,SAM,So_UK,0,Solipuli,73.32,0.26,14.3,1.81,0.02,0.2,1.01,4.88,4.2,0,0,0,100,73.32,0.26,14.3,1.81,0.02,0.2,1.01,4.88,4.2,0,0,0,100,0.131624869,-0.600819072,0.095603159,-0.352160835,-0.807204603,-0.744786606,-1.140980755,0.142769262,1.627234792,0.149777937,-0.490313092,0.12450261,-0.230704552,-0.768037023,-0.754616791,-1.265200374,0.190561627,1.524005302,-1.06332126,1.777466567,-0.95266087,-0.283856382,,,,,,,,
