LP_ID,Lab_ID,LID_code,Record,Core_ID,Core_depth_range,Strat_depth_min,Strat_depth_max,Strat_depth_mid,Size_range,Na2O,Al2O3,MgO,SiO2,K2O,CaO,FeO,P2O5,TiO2,MnO,Total
LP16-10,LP16_12.5,E2,LP16,1C,8.5-9.5,12.2,12.7,12.45,125-250,3.9048,11.0548,0.2683,78.476,2.7306,1.2927,0.7357,0.0592,0.2213,0.0369,98.7802
LP16-11,LP16_12.5,E2,LP16,1C,8.5-9.5,12.2,12.7,12.45,125-250,3.3315,8.8871,0.0291,81.4431,2.0342,1.0184,0.4913,0.0855,0.1602,0.0002,97.4807
LP16-12,LP16_12.5,E2,LP16,1C,8.5-9.5,12.2,12.7,12.45,125-250,5.238,15.935,0.1057,68.7724,2.5397,2.3815,1.0242,0.1054,0.2001,0.057,96.3588
LP16-13,LP16_12.5,E2,LP16,1C,8.5-9.5,12.2,12.7,12.45,125-250,4.1225,13.0764,0.1009,74.8488,2.7785,1.6756,1.1568,0.089,0.179,0.0309,98.0584
LP16-14,LP16_12.5,E2,LP16,1C,8.5-9.5,12.2,12.7,12.45,125-250,4.8212,15.8083,0.086,63.1867,2.1387,3.3003,0.7627,0.0776,0.1364,0.027,90.3449
LP16-15,LP16_12.5,E2,LP16,1C,8.5-9.5,12.2,12.7,12.45,125-250,6.1015,16.2197,0.083,69.7124,2.5316,2.6137,1.1414,0.0611,0.1342,0.0285,98.627
LP16-16,LP16_32,E3,LP16,1C,28-29,31.7,32.7,32.2,  63-125,3.3751,11.1207,0.068,71.9455,2.9003,0.9597,0.7258,0.0665,0.1846,0.0276,91.3739
LP16-17,LP16_32,E3,LP16,1C,28-29,31.7,32.7,32.2,  63-125,4.3908,14.4431,0.0326,72.1817,3.3262,2.2199,0.6144,0.051,0.175,0.021,97.4559
LP16-18,LP16_32,E3,LP16,1C,28-29,31.7,32.7,32.2,  63-125,5.4787,15.2323,0.0883,72.3593,2.2408,2.5465,0.8946,0.054,0.1902,0.0276,99.1122
LP16-19,LP16_32,E3,LP16,1C,28-29,31.7,32.7,32.2,  63-125,3.6367,10.5356,0.0813,76.1653,2.6082,1.2062,1.414,0.079,0.2524,0.0468,96.0255
LP16-20,LP16_32,E3,LP16,1C,28-29,31.7,32.7,32.2,  63-125,3.4558,9.3473,-0.0074,82.6696,0.7672,1.5104,0.1525,0.0547,0.1274,-0.0016,98.0757
LP16-21,LP16_32,E3,LP16,1C,28-29,31.7,32.7,32.2,  63-125,3.9165,12.5045,0.0352,74.9184,2.2381,2.182,0.6795,0.0716,0.2858,0.0375,96.8692
LP16-22,LP16_32,E3,LP16,1C,28-29,31.7,32.7,32.2,  63-125,5.1958,16.8569,0.0478,68.327,1.3081,4.289,0.7682,0.0512,0.2238,0.0205,97.0882
LP16-23,LP16_32,E3,LP16,1C,28-29,31.7,32.7,32.2,  63-125,4.9046,14.9038,0.1473,70.7276,1.5737,3.3431,0.8771,0.0575,0.2006,0.0526,96.7878
LP16-24,LP16_32,E3,LP16,1C,28-29,31.7,32.7,32.2,  63-125,4.0903,10.5256,0.0786,77.204,2.5567,0.9097,1.1726,0.0748,0.265,0.0358,96.9131
LP16-25,LP16_32,E3,LP16,1C,28-29,31.7,32.7,32.2,  63-125,5.3306,16.8504,0.0645,70.8928,1.6855,3.6155,1.1105,0.0688,0.2281,0.0377,99.8843
LP16-26,LP16_32,E3,LP16,1C,28-29,31.7,32.7,32.2,  63-125,3.6736,11.451,0.0462,75.2294,2.3845,1.7869,1.4614,0.0495,0.2403,0.0342,96.357
LP16-27,LP16_32,E3,LP16,1C,28-29,31.7,32.7,32.2,  63-125,3.6116,13.6529,0.05,71.5626,3.8768,1.9236,0.8792,0.0551,0.2212,0.037,95.87
LP16-28,LP16_32,E3,LP16,1C,28-29,31.7,32.7,32.2,  63-125,5.2214,16.0464,0.0047,71.2515,2.7017,2.7436,0.8439,0.0643,0.2065,0.0375,99.1214
LP16-29,LP16_32,E3,LP16,1C,28-29,31.7,32.7,32.2,  63-125,4.4493,13.8623,0.3194,74.718,2.6821,1.7729,1.4751,0.0515,0.2011,0.0539,99.5854
LP16-30,LP16_32,E3,LP16,1C,28-29,31.7,32.7,32.2,  63-125,3.7386,11.0329,0.1511,77.268,3.249,0.9741,1.258,0.0577,0.2405,0.0285,97.9984
LP16-31,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,  63-125,4.4626,14.0662,0.0458,74.4795,3.1532,1.591,0.9118,0.0567,0.1769,0.0282,98.9718
LP16-32,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,5.1463,16.1786,0.0991,68.7867,1.4639,3.4226,0.8201,0.0482,0.1563,0.0151,96.137
LP16-33,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,3.7404,12.7439,0.1011,73.7218,1.9797,1.9191,1.1585,0.0665,0.2941,0.0375,95.7626
LP16-34,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,4.4141,12.755,0.1265,74.8204,2.2024,1.6531,1.3692,0.0707,0.2773,0.0303,97.7189
LP16-35,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,4.6033,14.0882,0.1358,74.3824,1.852,2.3424,1.0875,0.0448,0.2465,0.0154,98.7983
LP16-36,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,3.6809,11.6303,0.2484,78.2434,2.334,1.3661,1.8624,0.0586,0.2721,0.0445,99.7407
LP16-37,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,4.7407,13.268,0.2246,72.1774,1.6899,2.8266,1.627,0.0535,0.2585,0.0455,96.9116
LP16-38,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,4.3873,13.2817,0.0935,75.2097,2.2,2.2018,1.1971,0.0622,0.2732,0.037,98.9434
LP16-39,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,4.0848,11.546,0.1216,78.1707,2.6104,1.4654,1.4433,0.0685,0.3313,0.0333,99.8754
LP16-40,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,4.3166,12.2327,0.1359,75.3453,2.6044,1.3667,1.2606,0.0774,0.3376,0.035,97.7122
LP16-41,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,4.6647,16.3099,0.0774,71.7925,1.5042,3.6028,0.8344,0.0598,0.2766,0.0296,99.1518
LP16-42,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,4.4468,15.153,0.0727,72.7335,1.9056,2.8443,0.9831,0.0464,0.2069,0.0194,98.4118
LP16-43,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,4.0206,10.8539,0.1898,76.4852,2.33,1.3046,1.2511,0.0551,0.2461,0.0605,96.7968
LP16-44,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,3.37,12.8172,0.1789,73.2146,2.6137,2.7927,1.4766,0.0821,0.292,0.0318,96.8696
LP16-45,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,3.3086,11.1038,0.3104,76.7414,3.9751,0.7233,2.4801,0.0812,0.3242,0.0736,99.1217
LP16-46,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,4.2199,14.128,0.0972,72.9648,1.9486,2.619,1.2981,0.0576,0.2191,0.0351,97.5875
LP16-47,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,4.7212,12.6081,0.1115,74.6262,2.281,1.815,1.3957,0.0611,0.217,0.0476,97.8844
LP16-48,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,3.7276,11.0252,0.0555,76.1217,2.4205,1.6659,1.3216,0.0677,0.2616,0.0386,96.7058
LP16-49,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,4.7747,13.4691,0.1713,75.4335,1.9053,2.1525,1.3081,0.0592,0.2461,0.0386,99.5583
LP16-50,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,5.0237,14.3805,0.2227,75.0511,2.0369,2.1614,1.7539,0.0697,0.2718,0.0371,101.0088
LP16-51,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,5.0032,19.1398,0.0562,66.4272,2.4916,3.8009,0.6944,0.0469,0.1369,0.0237,97.8209
LP16-52,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,3.5338,10.6922,0.0331,82.0397,2.8388,1.0972,0.2502,0.0189,0.0585,0.0213,100.5836
LP16-53,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,5.1815,14.021,0.088,72.4675,1.9941,2.4684,1.0379,0.1065,0.2797,0.0498,97.6945
LP16-54,LP16_32,E4,LP16,1C,28-29,31.7,32.7,32.2,125-250,5.1784,15.0718,0.0723,70.9951,1.7574,3.0404,0.9307,0.0664,0.1955,0.0294,97.3374
LP16-55,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,4.1055,0.0848,12.5194,74.2177,2.3814,1.7409,1.1583,0.0683,0.2632,0.0301,96.5695
LP16-56,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,5.1778,0.0113,15.3338,71.1649,1.6439,3.1568,0.7859,0.0679,0.1651,0.0112,97.5185
LP16-57,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,4.4356,0.2073,12.7087,72.6901,2.1831,1.8118,1.233,0.0693,0.2375,0.0417,95.618
LP16-58,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,4.4707,0.2568,12.9996,72.9763,2.0813,1.8587,1.6805,0.0767,0.2399,0.0338,96.6743
LP16-59,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,5.3185,0.1653,17.2691,66.7349,1.4207,4.2492,1.2969,0.0606,0.1954,0.0327,96.7432
LP16-60,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,3.5487,0.1335,11.8726,76.182,2.8881,1.3073,1.2901,0.0618,0.2661,0.0456,97.5958
LP16-61,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,3.4903,0.1199,10.9543,75.9429,2.9502,1.375,1.081,0.044,0.2159,0.0286,96.2022
LP16-62,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,4.37,0.0556,14.9337,72.0621,3.0664,2.2902,1.1191,0.0649,0.2502,0.0301,98.2424
LP16-63,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,4.563,0.1026,14.6737,73.0079,2.038,2.2297,1.2372,0.0765,0.256,0.0375,98.2222
LP16-64,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,5.5378,0.0706,16.8445,68.7626,1.4182,3.5742,0.9228,0.0615,0.2068,0.0414,97.4404
LP16-65,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,4.3605,0.1038,13.6681,72.4198,1.8378,2.3433,1.1293,0.0627,0.2603,0.0327,96.2183
LP16-66,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,3.5331,0.0827,11.9664,76.8306,2.6158,1.5259,1.5216,0.0876,0.2722,0.0457,98.4816
LP16-67,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,3.4908,0.0955,11.8004,74.7152,2.2147,2.2468,1.3383,0.0672,0.235,0.0357,96.2397
LP16-68,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,4.0871,-0.0008,11.0633,83.5078,0.5112,2.0292,0.1085,0.0205,0.0594,-0.0157,101.3704
LP16-69,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,3.8923,0.1295,12.8081,73.9673,1.9471,2.2502,1.1286,0.0685,0.222,0.0109,96.4244
LP16-70,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,4.953,0.0818,14.1675,69.4925,2.1193,2.4923,0.8758,0.0383,0.1339,0.0201,94.3744
LP16-71,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,5.1941,0.0387,15.7226,69.1408,2.4406,2.9205,0.9632,0.0528,0.1526,0.0329,96.6586
LP16-72,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,4.2528,0.116,12.3837,73.4772,2.9932,1.201,1.2131,0.075,0.2244,0.0333,95.9698
LP16-73,LP16_32,E5,LP16,1A,3-4.5,31.5,32.5,32,  63-125,4.363,0.0927,13.1422,74.0149,2.6496,1.6721,1.3687,0.0699,0.3182,0.0424,97.7337
LP16-74,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,5.3501,15.9643,0.0602,69.7119,1.4623,3.7162,0.8955,0.0679,0.2651,0.0168,97.5104
LP16-75,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,4.0996,11.9328,0.1031,75.8896,2.519,1.4163,1.3329,0.0744,0.2896,0.0453,97.7026
LP16-76,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,4.3696,14.7678,0.1068,74.4159,2.1247,2.4395,1.1854,0.0746,0.2355,0.0606,99.7805
LP16-77,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,4.9899,15.8133,0.077,70.7259,1.7901,3.3386,0.8684,0.0428,0.1401,0.0231,97.8092
LP16-78,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,4.3902,13.6763,0.0833,74.9705,2.406,2.0343,1.1177,0.0644,0.2602,0.0353,99.0382
LP16-79,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,3.4789,11.3966,0.1741,76.3334,2.7459,1.3076,1.2976,0.0729,0.2389,0.0231,97.0688
LP16-80,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,4.6361,14.1013,0.1914,73.8412,2.095,1.479,1.3849,0.0636,0.2475,0.0464,98.0862
LP16-81,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,4.0844,12.257,0.1797,72.8955,1.9976,2.1125,1.579,0.0564,0.255,0.0445,95.4616
LP16-82,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,3.5215,10.515,0.093,75.7986,2.7699,0.9405,1.1893,0.0684,0.2947,0.0361,95.2269
LP16-83,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,4.6117,16.9473,0.229,69.5511,1.9615,3.8806,1.3008,0.0481,0.1722,0.0307,98.7331
LP16-84,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,4.6903,14.7849,0.0703,73.2824,2.4933,2.6111,0.952,0.0518,0.2131,0.0282,99.1774
LP16-85,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,4.0252,13.7246,0.114,74.1264,3.0477,2.0282,1.031,0.0738,0.2762,0.0316,98.4786
LP16-86,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,3.5728,10.3023,0.0924,76.0392,2.4981,1.1683,1.3677,0.0738,0.289,0.0524,95.456
LP16-87,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,5.2904,14.0863,0.0571,74.5113,2.0062,2.2181,1.0364,0.0668,0.2708,0.0393,99.5827
LP16-88,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,3.6751,11.7426,0.1029,64.6546,1.8421,1.6674,1.1597,0.0635,0.1926,0.0264,85.1271
LP16-89,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,4.0875,14.3085,0.1663,72.3095,2.0459,2.3352,1.1535,0.0496,0.1741,0.0473,96.6775
LP16-90,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,5.3789,15.9678,0.0785,69.8987,1.6216,2.8604,1.1132,0.0541,0.2017,0.0166,97.1915
LP16-91,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,4.0059,12.8441,0.2393,74.6956,2.6398,1.6557,2.21,0.0806,0.3908,0.0712,98.8331
LP16-92,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,5.265,15.2693,0.0919,70.5778,1.6682,3.311,0.9735,0.0601,0.1845,0.0251,97.4264
LP16-93,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,5.0171,15.2302,0.26,71.6049,2.5957,2.5008,1.2879,0.0587,0.2163,0.0586,98.8303
LP16-94,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,5.2511,15.7173,0.0654,69.8888,1.5775,3.3987,0.7542,0.047,0.1405,0.0225,96.8632
LP16-95,LP16_32,E6,LP16,1A,3-4.5,31.5,32.5,32,125-250,4.9379,15.2517,0.054,65.8665,1.3812,3.1948,1.0419,0.0832,0.1667,0.0159,91.9939
LP16-96,LP16_57,E9,LP16,1A,28-30,56,58,57,63-250,4.464,13.3198,0.1234,77.6878,2.7156,1.4308,0.9169,0.081,0.2203,0.0345,100.9941
LP16-97,LP16_57,E9,LP16,1A,28-30,56,58,57,63-250,4.3505,13.4971,0.1277,76.9828,2.5682,1.5772,0.7694,0.0896,0.2219,0.0292,100.2136
LP16-98,LP16_57,E9,LP16,1A,28-30,56,58,57,63-250,3.7807,11.4826,0.3115,78.7038,2.7715,1.0925,1.563,0.0852,0.245,0.0619,100.0977
LP16-99,LP16_57,E9,LP16,1A,28-30,56,58,57,63-250,4.3487,11.9357,0.0257,81.0347,2.2872,1.4389,0.7223,0.0697,0.1034,0.0194,101.986
LP16-100,LP16_57,E9,LP16,1A,28-30,56,58,57,63-250,4.4282,12.6888,0.0216,83.0367,0.8013,2.2353,0.1268,0.0123,0.072,-0.0031,103.4199
LP16-101,LP16_57,E9,LP16,1A,28-30,56,58,57,63-250,4.2087,15.6563,-0.0163,75.9578,6.5035,0.4508,0.1771,0.0229,0.0794,0.0029,103.043
LP16-102,LP16_57,E9,LP16,1A,28-30,56,58,57,63-250,4.3657,13.4915,0.052,76.5481,0.8963,2.9449,0.2321,0.0653,0.0665,0.0119,98.6743
LP16-103,LP16_57,E9,LP16,1A,28-30,56,58,57,63-250,5.7334,17.9072,0.0162,69.0243,1.2592,4.4296,0.6289,0.0401,0.0778,0.0232,99.14
LP16-104,LP16_57,E9,LP16,1A,28-30,56,58,57,63-250,5.9294,19.5581,0.0503,66.3916,2.6098,4.0733,0.5209,0.0594,0.1327,0.0084,99.3339
LP16-105,LP16_57,E9,LP16,1A,28-30,56,58,57,63-250,4.3816,15.9285,0.428,70.1299,2.7696,2.6215,1.5948,0.0555,0.1525,0.0799,98.142
LP16-106,LP16_57,E9,LP16,1A,28-30,56,58,57,63-250,6.285,17.8685,0.1624,69.2832,1.5354,3.7022,1.0638,0.0536,0.1136,0.0675,100.1352
LP16-107,LP16_57,E9,LP16,1A,28-30,56,58,57,63-250,4.8244,14.9403,0.0485,66.3547,3.4239,2.8775,0.653,0.0835,0.142,0.0224,93.3702
