LP08_depth_cm,SH20M1H_mean_age,LP08_LnFe_Mn,LP16_depth_cm,SH20M1H_mean_age,LP16_LnFe_Mn,10yr_PCHIP_SH20M1H_mean_age,LP08_LnFe_Mn,LP08_LnFe_Mn_Zscore,10yr_PCHIP_SH20M1H_mean_age,LP16_LnFe_Mn,LP16_LnFe_Mn_Zscore,100yr_PCHIP_SH20M1H_mean_age,LP08_LnFe_Mn,LP08_LnFe_Mn_Zscore,100yr_PCHIP_SH20M1H_mean_age,LP16_LnFe_Mn,LP16_LnFe_Mn_Zscore
11.8,302.18,3.58302572,7.8,343.53,2.062162084,340,3.5694,0.59496,510,3.2487,-0.89488,2320,3.1301,0.29537,2490,4.1788,0.035189
12.1,311.6,3.443644072,7.85,346.11,2.417811672,350,3.4395,0.6549,520,3.2359,-0.90774,2420,2.7953,-0.039408,2590,3.7948,-0.34885
12.4,321.02,3.530058215,7.9,348.69,1.850810375,360,3.4867,0.64112,530,3.3098,-0.83384,2520,3.4993,0.66461,2690,4.108,-0.035619
12.7,330.44,3.628466327,7.95,351.27,2.226272263,370,3.5263,0.72385,540,3.3099,-0.83366,2620,3.2394,0.40472,2790,3.9811,-0.16249
13,339.86,3.571008209,8,353.85,2.113539409,380,3.5427,0.69494,550,3.3978,-0.74578,2720,3.0794,0.24468,2890,3.8269,-0.31666
13.2,346.15,3.40598296,8.05,356.43,2.303329695,390,3.4744,0.63221,560,3.3877,-0.75594,2820,3.0354,0.20071,2990,3.7397,-0.40389
13.5,355.57,3.497956417,8.1,359.01,2.522493604,400,3.3996,0.57272,570,3.6275,-0.51613,2920,3.2132,0.37846,3090,4.1028,-0.040794
13.8,364.99,3.473213999,8.15,361.59,2.475798942,410,3.6738,0.87733,580,3.7045,-0.4391,3020,3.0272,0.19252,3190,4.344,0.20043
14.1,374.41,3.570222875,8.2,364.17,2.45534416,420,3.6237,0.71848,590,3.763,-0.38064,3120,3.0889,0.25416,3290,3.9082,-0.23542
14.4,383.84,3.513924316,8.25,366.75,2.414245293,430,3.4182,0.64885,600,3.5642,-0.57942,3220,3.0786,0.24393,3390,4.1812,0.037633
14.6,390.12,3.473518043,8.3,369.33,2.514271677,440,3.2757,0.46564,610,3.4368,-0.70678,3320,3.037,0.20235,3490,3.9434,-0.20019
14.9,399.54,3.392268751,8.35,371.91,2.414974788,450,3.2233,0.39468,620,2.8921,-1.2515,3420,2.8865,0.051842,3590,4.2149,0.071249
15.1,405.82,3.872636761,8.4,374.49,2.351120577,460,3.9053,0.88081,630,3.0016,-1.142,3520,2.8027,-0.032001,3690,3.9625,-0.18106
15.4,415.24,3.394508394,8.45,377.07,2.350781697,470,3.3687,0.70103,640,3.3497,-0.79387,3620,2.8392,0.0044806,3790,3.8805,-0.26312
15.6,421.53,3.663758865,8.5,379.65,2.496646379,480,3.4493,0.57106,650,3.3149,-0.82866,3720,2.997,0.16228,3890,4.0756,-0.068018
15.9,430.95,3.395724342,8.55,382.23,2.414186002,490,3.4343,0.63285,660,3.3367,-0.80694,3820,3.3128,0.47814,3990,3.7145,-0.42908
16.1,437.23,3.301113923,8.6,384.81,2.569017338,500,3.2467,0.56657,670,3.0298,-1.1138,3920,2.855,0.020319,4090,3.7522,-0.39138
16.5,449.79,3.222274299,8.65,387.39,2.507883284,510,3.2726,0.37458,680,3.4922,-0.65139,4020,2.773,-0.061698,4190,3.7508,-0.39279
16.8,459.22,3.916015027,8.7,389.97,2.483202474,520,3.4695,0.46333,690,3.5618,-0.5818,4120,2.9497,0.11501,4290,3.7664,-0.37717
17.1,468.64,3.364858786,8.75,392.55,2.309457972,530,3.3076,0.62192,700,3.6872,-0.45642,4220,3.2242,0.38947,4390,3.7579,-0.38571
17.3,474.92,3.409379777,8.8,395.12,2.559002858,540,3.476,0.47449,710,3.8461,-0.29748,4320,2.7648,-0.069893,4490,3.7918,-0.35178
17.6,484.34,3.468048043,8.85,397.7,2.602152773,550,3.3399,0.64982,720,3.8742,-0.26942,4420,3.222,0.38727,4590,3.8374,-0.30625
17.9,493.76,3.392171261,8.9,400.28,2.690489503,560,3.2662,0.50953,730,3.5346,-0.609,4520,2.6423,-0.19235,4690,3.7905,-0.35311
18.2,503.19,3.205131002,8.95,402.86,2.607081139,570,3.2402,0.47167,740,3.675,-0.46862,4620,2.9937,0.15905,4790,3.8434,-0.30023
18.5,512.61,3.315976974,9,405.44,2.789719762,580,3.3809,0.3913,750,3.993,-0.1506,4720,2.8282,-0.0064663,4890,3.7985,-0.34507
18.7,518.89,3.476679326,9.05,408.02,2.840770835,590,3.6137,0.42954,760,3.9945,-0.14914,4820,2.9757,0.14102,4990,3.655,-0.48862
19,528.31,3.290237747,9.1,410.6,2.833454395,600,3.6199,0.59088,770,3.9654,-0.17822,4920,2.9843,0.14956,5090,3.8837,-0.25988
19.3,537.74,3.494571452,9.15,413.18,2.81192233,610,3.4799,0.77675,780,4.0264,-0.11725,5020,3.1575,0.32277,5190,4.0323,-0.11132
19.6,547.16,3.351035309,9.2,415.76,2.615963814,620,3.3156,0.79361,790,4.1286,-0.014971,5120,2.9688,0.13407,5290,3.9817,-0.16187
19.9,556.58,3.319475023,9.25,418.34,2.53839406,630,3.2078,0.72079,800,3.7819,-0.36165,5220,2.9695,0.13476,5390,4.0805,-0.063143
20.1,563.4,3.222867846,9.3,420.92,2.907376119,640,3.3124,0.58298,810,3.705,-0.43857,5320,3.0254,0.19071,5490,3.9417,-0.2019
20.4,574.43,3.267105608,9.35,423.5,3.052025214,650,3.3158,0.46114,820,3.9249,-0.21869,5420,2.644,-0.19069,5590,3.7793,-0.36432
20.6,581.79,3.422482246,9.4,426.08,2.841874978,660,3.3691,0.37654,830,3.547,-0.59662,5520,3.1192,0.28455,5690,3.4992,-0.6444
20.9,592.82,3.637844124,9.45,428.66,3.103510247,670,3.3558,0.41697,840,4.1163,-0.027312,5620,3.0485,0.21381,5790,3.8598,-0.2838
21.1,600.17,3.619172042,9.5,431.24,2.802388361,680,3.3275,0.53379,850,3.6028,-0.54081,5720,2.3876,-0.44705,5890,4.4406,0.29695
21.4,611.2,3.460104844,9.55,433.82,2.833213344,690,3.2305,0.44143,860,3.333,-0.81056,5820,3.1627,0.32802,5990,4.3462,0.20259
21.6,618.56,3.333885968,9.6,436.4,2.842389725,700,3.0751,0.56228,870,3.7673,-0.37633,5920,3.4531,0.61845,6090,5.1326,0.98897
22,633.27,3.197608618,9.65,438.98,2.967738764,710,3.1825,0.53088,880,2.9201,-1.2235,6020,3.344,0.50929,6190,4.3548,0.21123
22.3,644.3,3.370862002,9.7,441.56,3.090733891,720,3.3195,0.49422,890,3.5701,-0.57352,6120,3.4932,0.65855,6290,3.0906,-1.053
22.6,655.33,3.265973414,9.75,444.14,2.782228457,730,3.2177,0.48871,900,3.1691,-0.97448,6220,2.6059,-0.22879,6390,3.8605,-0.28306
22.8,662.69,3.413989986,9.8,446.72,2.614469591,740,3.26,0.32128,910,3.2309,-0.91269,6320,3.1723,0.33756,6490,4.547,0.40344
23.1,673.72,3.331845508,9.85,449.3,3.01658766,750,3.4163,0.23612,920,2.7849,-1.3587,6420,2.8095,-0.02523,6590,4.4323,0.28868
23.4,684.75,3.323673075,9.9,451.88,2.911405038,760,3.2826,0.26765,930,3.7066,-0.43705,6520,2.7412,-0.093498,6690,4.1037,-0.039913
23.7,695.78,3.105262167,9.95,454.46,3.026503932,770,3.2213,0.5317,940,3.7665,-0.37712,6620,2.2941,-0.54061,6790,4.1268,-0.01681
24,706.82,3.051552344,10,457.04,3.288729652,780,3.2307,0.42171,950,3.6824,-0.46119,6720,3.3524,0.51768,6890,4.9525,0.80894
24.2,714.17,3.379155282,10.05,459.62,3.56304828,790,3.2735,0.37015,960,3.7214,-0.42216,6820,3.0693,0.23463,6990,4.9522,0.80864
24.5,725.2,3.250515426,10.1,462.2,3.528529509,800,3.2909,0.4348,970,3.5701,-0.57349,6920,2.6381,-0.19657,7090,4.9786,0.83498
24.8,736.23,3.195655283,10.15,464.78,3.340054702,810,3.2379,0.59668,980,3.3644,-0.77918,7020,1.5712,-1.2635,7190,4.7248,0.58117
25.1,747.27,3.433856066,10.2,467.36,2.99973953,820,3.2387,0.48368,990,3.9616,-0.18203,7120,3.5094,0.6747,7290,6.2536,2.11
25.4,758.3,3.294101713,10.25,469.94,2.953880194,830,3.2506,0.42646,1000,3.6135,-0.53009,7220,2.5793,-0.25541,7390,6.1264,1.9828
25.6,765.65,3.252740339,10.3,472.52,3.103464973,840,3.1461,0.37183,1010,3.513,-0.6306,7320,2.6834,-0.1513,7490,5.0412,0.89755
25.9,776.68,3.188016953,10.35,475.1,3.147524715,850,3.1216,0.39443,1020,3.2952,-0.84842,7420,1.4255,-1.4092,7590,4.8938,0.75017
26.1,784.04,3.288090894,10.4,477.68,3.37492038,860,3.2803,0.44627,1030,3.7149,-0.42872,7520,1.8322,-1.0025,7690,5.0951,0.9515
26.4,795.07,3.262129103,10.45,480.26,3.364604245,870,3.4073,0.4282,1040,2.8613,-1.2823,7620,1.1793,-1.6554,7790,5.2253,1.0817
26.7,806.1,3.330439285,10.5,482.84,3.469029085,880,3.4089,0.4873,1050,4.0179,-0.12566,7720,2.3987,-0.43602,7890,4.9109,0.76728
26.9,813.46,3.160489767,10.55,485.42,3.491761468,890,3.3251,0.35292,1060,4.1911,0.04749,7820,3.1487,0.31404,7990,4.7539,0.6103
27.2,824.49,3.283067063,10.6,488,3.701493362,900,3.3572,0.3961,1070,3.6624,-0.48121,7920,3.1319,0.29724,8090,4.8933,0.74969
27.5,835.52,3.194753883,10.65,490.58,3.762087348,910,3.3252,0.43769,1080,4.0496,-0.094002,8020,3.148,0.31334,8190,4.7338,0.59024
27.8,846.55,3.096895802,10.7,493.16,3.499101597,920,3.333,0.36148,1090,3.4119,-0.73174,8120,1.9867,-0.84803,8290,4.9469,0.80333
28.1,857.59,3.246461735,10.75,495.73,3.771104394,930,3.5984,0.27723,1100,3.2297,-0.91388,8220,2.2365,-0.59822,8390,4.8981,0.75445
28.3,864.94,3.345655308,10.8,498.31,3.682336356,940,3.4908,0.30405,1110,3.4306,-0.71304,8320,0.89249,-1.9422,8490,5.2924,1.1488
28.6,875.97,3.448513706,10.85,500.89,3.48035041,950,3.3068,0.43299,1120,3.88,-0.2636,8420,2.258,-0.57667,8590,4.5432,0.39955
28.9,887,3.317705556,10.9,503.47,3.21240331,960,3.2947,0.53597,1130,3.9351,-0.20845,8520,3.3071,0.47237,8690,4.8259,0.68228
29.2,898.04,3.358210021,10.95,506.05,3.267313193,970,3.3368,0.61229,1140,3.8759,-0.26768,8620,2.1373,-0.69744,8790,4.4966,0.35298
29.5,909.07,3.332041418,11,508.63,3.305678279,980,3.2096,0.52435,1150,3.683,-0.4606,8720,3.4049,0.57022,8890,5.1318,0.98822
29.7,916.42,3.243169763,11.05,512.01,3.147326359,990,3.2077,0.49405,1160,3.0841,-1.0595,8820,1.1509,-1.6838,8990,4.9948,0.85122
30,927.45,3.605796051,11.1,515.39,3.270314387,1000,3.0398,0.5234,1170,3.2347,-0.90893,8920,0.95014,-1.8846,9090,5.2265,1.0829
30.3,938.56,3.511832424,11.15,518.76,3.225889796,1010,3.1436,0.50676,1180,3.6577,-0.48588,9020,-0.24022,-3.0749,9190,5.9024,1.7588
30.6,949.67,3.30878156,11.2,522.14,3.258590568,1020,2.9763,0.4214,1190,3.8478,-0.29584,9120,-0.10339,-2.9381,9290,5.0701,0.92646
30.8,957.08,3.280541371,11.25,525.52,3.165556187,1030,2.9865,0.61568,1200,3.8034,-0.34021,9220,1.9196,-0.91508,9390,5.488,1.3444
31.1,968.19,3.363556949,11.3,528.89,3.190096287,1040,3.2525,0.74684,1210,3.9605,-0.18311,9320,1.4463,-1.3884,9490,5.1397,0.99613
31.3,975.6,3.185019644,11.35,532.27,3.636299791,1050,3.2914,0.53897,1220,3.8831,-0.26049,9420,0.27864,-2.5561,9590,4.4281,0.28446
31.6,986.71,3.255986833,11.4,535.65,3.495350288,1060,3.1556,0.44967,1230,3.8261,-0.31752,9520,2.8524,0.017703,9690,4.296,0.15243
31.9,997.82,3.027243733,11.45,539.02,3.29986391,1070,3.1608,0.44929,1240,3.6815,-0.46211,9620,3.064,0.22929,9790,3.6523,-0.49133
32.2,1008.92,3.152025795,11.5,542.4,3.387843305,1080,3.4356,0.4154,1250,3.6978,-0.44584,9720,1.5819,-1.2528,9890,3.9849,-0.15871
32.4,1016.33,2.992812563,11.55,545.78,3.644453196,1090,3.4352,0.19255,1260,3.8947,-0.24894,9820,-1.1711,-4.0058,9990,4.3622,0.21864
32.7,1027.44,2.961733856,11.6,549.15,3.479879594,1100,3.3052,0.29007,1270,4.0519,-0.091699,9920,2.9591,0.1244,10090,4.3252,0.18156
33,1038.55,3.217341547,11.65,552.53,3.13842653,1110,3.3548,0.13018,1280,3.904,-0.23961,10020,3.3549,0.52018,10190,5.11,0.96638
33.2,1045.96,3.367427939,11.7,555.91,3.100702569,1120,3.3463,0.34916,1290,3.9526,-0.19102,,,,10290,4.7594,0.61579
33.4,1053.36,3.213231181,11.75,559.28,3.375527058,1130,3.428,0.44867,1300,4.0477,-0.095864,,,,10390,5.0669,0.92327
33.6,1060.77,3.152976754,11.8,562.66,3.418297874,1140,3.3202,0.31205,1310,4.0623,-0.081304,,,,10490,4.7673,0.6237
33.8,1068.18,3.14133207,11.85,566.03,3.68690382,1150,3.3112,0.50737,1320,4.0301,-0.11351,,,,10590,5.1068,0.9632
34,1075.58,3.31976482,11.9,569.41,3.627141436,1160,3.3745,0.60385,1330,3.9636,-0.18005,,,,10690,5.3923,1.2487
34.2,1082.99,3.474820618,11.95,572.79,3.631207683,1170,3.5816,0.4507,1340,3.8876,-0.25602,,,,10790,4.342,0.19841
34.4,1090.4,3.431888229,12,576.16,3.592529408,1180,3.3531,0.53524,1350,3.6366,-0.50699,,,,10890,4.7157,0.5721
34.6,1097.8,3.324762154,12.05,579.54,3.711026524,1190,3.5587,0.60518,1360,3.6283,-0.51535,,,,10990,4.8085,0.66494
34.8,1105.21,3.277879577,12.1,582.92,3.582006569,1200,3.4239,0.47841,1370,3.6082,-0.53536,,,,11090,5.1076,0.96401
35,1112.61,3.385558488,12.15,586.29,3.619579616,1210,3.3761,0.49756,1380,3.5561,-0.5875,,,,11190,4.3242,0.18064
35.2,1120.02,3.346342352,12.2,589.67,3.764900709,1220,3.3543,0.70418,1390,3.5526,-0.59103,,,,11290,5.0783,0.93465
35.4,1127.43,3.446867418,12.25,593.05,3.690120406,1230,3.4196,0.53799,1400,3.8886,-0.25503,,,,11390,4.2761,0.13252
35.6,1134.83,3.361623294,12.3,596.42,3.686173093,1240,3.3281,0.76162,1410,4.1311,-0.012491,,,,11490,4.5191,0.3755
35.8,1142.24,3.312943905,12.35,599.8,3.574356026,1250,3.5714,0.54826,1420,3.7045,-0.4391,,,,11590,4.3312,0.18756
36,1149.65,3.311099582,12.4,603.18,3.345735527,1260,3.4843,0.51941,1430,3.5598,-0.58381,,,,11690,4.3996,0.25598
36.2,1157.05,3.345004888,12.45,606.55,3.530957365,1270,3.5891,0.55595,1440,3.6959,-0.44774,,,,11790,4.3242,0.18061
36.4,1164.46,3.441548677,12.5,609.93,3.437771771,1280,3.4819,0.68757,1450,3.8868,-0.25676,,,,11890,4.4177,0.27411
36.6,1171.87,3.601299734,12.55,613.31,3.406507837,1290,3.3585,0.64957,1460,3.6902,-0.45345,,,,11990,4.1757,0.032141
36.8,1179.27,3.349972349,12.6,616.68,2.886692455,1300,3.4481,0.78235,1470,3.9847,-0.15895,,,,12090,3.8127,-0.33085
37,1186.68,3.50224629,12.65,620.06,2.892263906,1310,3.4784,0.53501,1480,3.9083,-0.23528,,,,12190,3.8596,-0.28399
37.2,1194.08,3.597750021,12.7,623.44,3.288415941,1320,3.4018,0.70101,1490,3.9593,-0.18429,,,,12290,4.0234,-0.12021
37.4,1201.49,3.398579579,12.75,626.81,3.257205453,1330,3.6298,0.64176,1500,4.0457,-0.097919,,,,12390,3.8671,-0.27648
37.6,1208.9,3.379737998,12.8,630.19,2.999386027,1340,3.6555,0.55243,1510,3.9911,-0.15247,,,,12490,3.8746,-0.26903
37.8,1216.3,3.356036986,12.85,633.57,3.026032037,1350,3.3146,0.79196,1520,3.97,-0.17359,,,,12590,3.9771,-0.16654
38,1223.71,3.353662138,12.9,636.94,3.207660124,1360,3.1083,0.80001,1530,4.1525,0.0089109,,,,12690,4.109,-0.034557
38.2,1231.12,3.423910449,12.95,640.32,3.356524942,1370,3.349,0.35232,1540,3.9396,-0.20397,,,,12790,4.3372,0.19357
38.4,1238.52,3.311887367,13,643.7,3.391230522,1380,3.192,0.34101,1550,3.9354,-0.20819,,,,12890,4.0782,-0.065362
38.6,1245.93,3.505843356,13.05,647.07,3.414551217,1390,3.1708,0.53917,1560,3.9865,-0.1571,,,,12990,4.4662,0.32258
38.8,1253.34,3.596102827,13.1,650.45,3.309868063,1400,3.3033,0.32665,1570,3.8658,-0.27782,,,,13090,4.0612,-0.082397
39,1260.74,3.481097629,13.15,653.83,3.3318285,1410,3.3764,0.36844,1580,4.2329,0.089346,,,,13190,3.9748,-0.16883
39.2,1268.15,3.570812287,13.2,657.2,3.391868286,1420,3.2648,0.46399,1590,4.2567,0.11312,,,,13290,4.0133,-0.13031
39.4,1275.55,3.626098647,13.25,660.58,3.315277878,1430,3.4442,0.50935,1600,3.9829,-0.16068,,,,,,
39.6,1282.96,3.391109495,13.3,663.95,2.871211992,1440,3.5146,0.437,1610,3.9528,-0.19077,,,,,,
39.8,1290.37,3.358360208,13.35,667.33,3.297144011,1450,3.2604,0.5603,1620,4.0425,-0.10108,,,,,,
40,1297.77,3.602044927,13.4,670.71,2.995412222,1460,3.3668,0.53649,1630,4.029,-0.11456,,,,,,
40.2,1301.15,3.391627931,13.45,674.08,3.291052626,1470,3.3069,0.41738,1640,3.8776,-0.26603,,,,,,
40.4,1304.53,3.467066984,13.5,677.46,3.615037181,1480,3.2939,0.44426,1650,3.7756,-0.36796,,,,,,
40.6,1307.91,3.468650607,13.55,680.84,3.469164086,1490,3.3283,0.42608,1660,3.8626,-0.28104,,,,,,
40.8,1311.29,3.482784718,13.6,684.21,3.467359584,1500,3.3293,0.46724,1670,3.9316,-0.21204,,,,,,
41,1314.67,3.419274472,13.65,687.59,3.467299974,1510,3.0546,0.4093,1680,3.8944,-0.24923,,,,,,
41.2,1318.05,3.473328954,13.7,690.97,3.585402283,1520,3.2544,0.34941,1690,3.7458,-0.39779,,,,,,
41.4,1321.43,3.356958249,13.75,694.34,3.522014388,1530,3.2087,0.29566,1700,3.9586,-0.18497,,,,,,
41.6,1324.81,3.589396913,13.8,697.72,3.646909202,1540,3.189,0.38584,1710,4.029,-0.11456,,,,,,
41.8,1328.19,3.633096814,13.85,701.1,3.712927183,1550,3.4761,0.30217,1720,3.8029,-0.34073,,,,,,
42,1331.57,3.624440431,13.9,704.47,3.963552518,1560,3.328,0.50276,1730,3.5302,-0.61343,,,,,,
42.2,1334.95,3.607920499,13.95,707.85,3.876098365,1570,3.1843,0.67382,1740,3.4847,-0.65887,,,,,,
42.4,1338.32,3.665780787,14,711.23,3.822144854,1580,3.0331,0.4945,1750,3.635,-0.50859,,,,,,
42.6,1341.7,3.632493266,14.05,714.6,3.537197868,1590,3.2501,0.36218,1760,3.7387,-0.40485,,,,,,
42.8,1345.08,3.529482478,14.1,717.98,4.007069646,1600,3.22,0.27709,1770,3.6948,-0.44878,,,,,,
43,1348.46,3.44370809,14.15,721.36,3.800911216,1610,3.2704,0.17219,1780,3.9873,-0.15631,,,,,,
43.2,1351.84,3.185986274,14.2,724.73,3.833336086,1620,3.146,0.33733,1790,4.1947,0.05105,,,,,,
43.4,1355.22,3.220320564,14.25,728.11,3.588738786,1630,3.2872,0.32167,1800,4.2035,0.059882,,,,,,
43.6,1358.6,3.09219741,14.3,731.49,3.489382251,1640,3.2781,0.37847,1810,4.069,-0.074585,,,,,,
43.8,1361.98,3.155666121,14.35,734.86,3.237039795,1650,3.2629,0.45332,1820,3.8302,-0.31337,,,,,,
44,1365.36,3.246635095,14.4,738.24,3.473299934,1660,3.2428,0.4436,1830,3.8534,-0.29022,,,,,,
44.2,1368.74,3.351003593,14.45,741.62,3.812934613,1670,3.2195,0.42533,1840,3.8759,-0.26774,,,,,,
44.4,1372.12,3.344571722,14.5,744.99,3.866290661,1680,3.1945,0.40091,1850,3.9004,-0.24316,,,,,,
44.6,1375.5,3.430200858,14.55,748.37,3.76912457,1690,3.1693,0.37273,1860,3.9199,-0.22367,,,,,,
44.8,1378.87,3.22129283,14.6,751.75,4.242055419,1700,3.1453,0.34319,1870,3.9372,-0.20645,,,,,,
45,1382.25,3.161638775,14.65,755.12,3.985178143,1710,3.1241,0.3147,1880,4.0495,-0.094119,,,,,,
45.2,1385.63,3.161269741,14.7,758.5,4.025175453,1720,3.1073,0.28965,1890,4.0575,-0.086057,,,,,,
45.4,1389.01,3.168025287,14.75,761.87,3.951700131,1730,3.0963,0.27045,1900,4.1293,-0.014295,,,,,,
45.6,1392.39,3.180923273,14.8,765.25,3.982324258,1740,3.101,0.2595,1910,4.154,0.010353,,,,,,
45.8,1395.77,3.21809376,14.85,768.63,4.021319427,1750,3.1307,0.32789,1920,4.1366,-0.0069955,,,,,,
46,1399.15,3.299339497,14.9,772,3.866565846,1760,3.1391,0.32658,1930,4.1061,-0.037529,,,,,,
46.2,1402.53,3.309082093,14.95,775.38,3.873492391,1770,3.2385,0.40871,1940,4.0359,-0.10771,,,,,,
46.4,1405.91,3.297824938,15,778.76,3.999249282,1780,3.2513,0.45432,1950,3.8595,-0.28415,,,,,,
46.6,1409.29,3.388605928,15.05,782.13,4.066092628,1790,3.1998,0.39437,1960,3.9928,-0.15084,,,,,,
46.8,1412.67,3.281228861,15.1,785.51,4.14538737,1800,3.1396,0.42442,1970,3.9849,-0.15869,,,,,,
47,1416.05,3.344131599,15.15,788.89,4.148014485,1810,3.1457,0.19713,1980,3.9201,-0.22354,,,,,,
47.2,1419.42,3.253409856,15.2,792.26,4.051429477,1820,3.3496,0.36475,1990,4.124,-0.019623,,,,,,
47.4,1422.8,3.399152281,15.25,795.64,3.995414937,1830,3.3742,0.51254,2000,4.2322,0.088571,,,,,,
47.6,1426.18,3.264138107,15.3,799.02,3.768816782,1840,3.2104,0.55052,2010,4.2158,0.072167,,,,,,
47.8,1429.56,3.446453973,15.35,802.39,3.833028437,1850,3.2785,0.26381,2020,4.0856,-0.057972,,,,,,
48,1432.94,3.388830726,15.4,805.77,3.382181924,1860,3.6524,0.52292,2030,4.0207,-0.1229,,,,,,
48.2,1436.32,3.368591335,15.45,809.15,3.718842705,1870,3.3333,0.58092,2040,4.0309,-0.11275,,,,,,
48.4,1439.7,3.518463488,15.5,812.52,3.572424761,1880,3.3516,0.4555,2050,4.1579,0.014259,,,,,,
48.6,1443.08,3.345196241,15.55,815.9,3.264314175,1890,3.3181,0.56779,2060,4.3816,0.23804,,,,,,
48.8,1446.46,3.405607532,15.6,819.28,3.945169947,1900,3.3677,0.47074,2070,4.4566,0.31299,,,,,,
49,1449.84,3.268764287,15.65,822.65,3.772661559,1910,3.3185,0.48135,2080,4.2518,0.1082,,,,,,
49.2,1453.22,3.06538369,15.7,826.03,4.04036008,1920,3.1926,0.4658,2090,4.2371,0.093496,,,,,,
49.4,1456.6,3.108981942,15.75,829.41,3.51005561,1930,3.3978,0.40258,2100,4.5322,0.38855,,,,,,
49.6,1459.98,3.366115115,15.8,832.78,3.96465891,1940,3.2271,0.36456,2110,4.7331,0.58948,,,,,,
49.8,1463.35,3.444066865,15.85,836.16,3.77929874,1950,3.2529,0.53111,2120,4.6924,0.54881,,,,,,
