LP08_Fe_Mn,LP08_Fe_Mn,LP16_Fe_Mn,LP16_Fe_Mn
SH20M1H_mean_age,LnFe_Mn,SH20M1H_mean_age,LnFe_Mn
cal a BP,NA,cal a BP,NA
2093.64,2.891186024,1784.37,4.14277595
2096.62,3.03638709,1796.38,4.219105824
2101.1,2.901810775,1808.39,4.098950527
2104.09,2.912267898,1820.4,3.829534387
2107.08,3.003466264,1832.41,3.860119893
2111.56,2.948448608,1844.41,3.885249159
2114.54,3.050199872,1856.42,3.915802263
2117.53,3.37290988,1868.43,3.929340542
2120.52,3.061307854,1880.44,4.05054194
2125,3.33807422,1892.45,4.060292419
2127.98,3.08049754,1904.46,4.15827015
2130.97,2.937838295,1916.47,4.143275186
2135.45,2.910669835,1928.47,4.112414634
2138.44,2.989796323,1940.48,4.031401316
2141.42,3.113942568,1952.49,3.842308373
2144.41,3.099724507,1964.5,4.062266904
2148.89,3.204055805,1976.51,3.885287188
2151.88,3.400732157,1988.52,4.10318515
2154.86,3.270620995,2000.53,4.232606129
2159.35,3.086048685,2012.53,4.206940148
2162.33,3.150596984,2024.54,4.0292324
2165.32,2.980470416,2036.55,4.016777498
2168.31,3.062332347,2048.56,4.134324097
2172.79,2.970269591,2060.57,4.38785378
2175.77,3.068458478,2072.58,4.461173261
2178.76,3.043226821,2084.59,4.150284578
2183.24,3.046236969,2096.59,4.430083061
2186.23,3.034952987,2108.6,4.73416386
2189.21,3.068944354,2120.61,4.689855944
2192.2,3.088480475,2132.62,4.636143844
2196.68,3.083923952,2144.63,4.652807612
2199.67,3.078568279,2156.64,4.585621373
2202.65,3.185797403,2168.65,4.72658299
2205.64,3.113099076,2180.65,4.351581906
2210.12,3.1956376,2192.66,3.876936496
2213.11,3.153715844,2204.67,4.374191451
2216.09,3.205116112,2216.68,4.109970428
2220.57,3.208196048,2228.69,3.997328554
2223.18,2.897868045,2240.7,4.127867254
2225.79,3.161838984,2252.71,3.94731135
2228.39,3.146212165,2264.71,3.783580682
2232.3,3.15678834,2276.72,3.926096174
2234.91,3.248811927,2288.73,3.81647336
2237.51,3.148536964,2300.74,4.121617234
2241.42,3.22126996,2312.75,3.890552782
2244.03,3.234030126,2324.76,3.80534475
2246.63,3.213849285,2336.76,3.96700514
2249.24,3.243885144,2348.77,3.903320755
2253.15,3.219283905,2360.78,3.995895331
2255.76,3.28042353,2372.79,4.073120926
2258.36,3.411615466,2384.8,4.089788746
2262.27,3.243627207,2396.81,4.023778522
2264.88,3.162980693,2408.82,4.225965173
2267.48,3.379019642,2420.82,3.998571848
2270.09,3.336127087,2432.83,4.348320989
2274,3.204018525,2444.84,4.175992602
2276.6,3.146826971,2456.85,4.295814139
2279.21,3.267127955,2468.86,4.427259057
2283.12,3.398459261,2480.87,4.190186233
2285.73,3.308656588,2492.88,4.174159324
2288.33,3.166051895,2504.88,4.103466423
2290.94,3.393798281,2516.89,4.032660176
2294.85,3.22983913,2528.9,4.056590399
2297.45,3.374092035,2540.91,4.114517857
2300.06,3.098965528,2552.92,4.012096186
2302.66,3.182622134,2564.93,4.04244145
2306.57,3.075917421,2576.94,4.054437421
2309.18,3.104410542,2588.94,3.791711608
2311.79,3.236269683,2600.95,3.930082878
2315.69,3.467714578,2612.96,3.922628051
2318.3,3.198820992,2624.97,4.103553442
2320.91,3.117116321,2636.98,3.887813384
2323.51,3.147624766,2648.99,3.867093123
2327.42,3.203959939,2661,3.83507541
2330.03,3.230873737,2673,3.980761876
2332.63,3.240794133,2685.01,4.155367908
2336.54,3.093704451,2697.02,4.013219884
2339.15,3.231368889,2709.03,3.976870414
2341.75,3.216563122,2721.04,4.046109799
2344.36,3.135639133,2733.05,3.806950115
2348.27,3.16189839,2745.06,3.823685118
2350.88,3.228766148,2757.06,4.175590559
2353.3,3.581950758,2769.07,3.966454229
2356.93,3.160073441,2781.08,4.044500123
2359.35,3.290576139,2793.09,3.954232364
2361.77,3.245097283,2805.1,3.874356945
2364.2,3.419523722,2817.11,3.8473308
2367.83,3.411346073,2829.12,3.854786677
2370.25,3.499309469,2841.12,3.630885634
2372.67,3.243354256,2853.13,3.588771051
2376.3,3.193696607,2865.14,3.606435785
2378.73,3.268788254,2877.15,3.865928235
2381.15,3.110930921,2889.16,3.834489366
2383.57,3.192005049,2901.17,3.540616426
2387.2,3.235676574,2913.18,3.808042579
2389.62,3.156300288,2925.18,3.745421147
2392.05,3.077407413,2937.19,3.844516404
2394.47,3.154590075,2949.2,3.69305361
2398.1,3.157804368,2961.21,3.868509219
2400.52,3.081740061,2973.22,3.720744255
2402.94,2.73817127,2985.23,3.747061409
2406.58,2.904466104,2997.24,3.725939278
2409,2.913084825,3009.24,3.911915761
2411.42,3.022132298,3021.25,4.056709688
2413.84,2.886462754,3033.26,3.871741211
2417.47,2.907950686,3045.27,4.127134385
2419.9,2.795256981,3057.28,3.911343529
2422.32,2.808676637,3069.29,4.078337871
2425.95,2.973077583,3081.3,3.940288935
2428.37,2.816916016,3093.3,4.139768564
2430.79,2.860942228,3105.31,4.084324975
2433.21,2.8549739,3117.32,3.957741467
2436.85,2.738099727,3129.33,4.174783702
2439.27,2.72383207,3141.34,4.316747098
2441.69,2.655619158,3153.35,4.009809456
2445.32,2.611389074,3165.36,3.879714199
2447.74,2.505903795,3177.36,4.414042849
2450.17,2.678692636,3189.37,4.348064797
2452.59,2.691317746,3201.38,4.258217413
2456.22,2.757934457,3213.39,4.135910466
2458.64,2.72744139,3225.4,3.975373321
2461.06,2.771749444,3237.41,4.163168479
2464.7,2.787289911,3249.41,3.722937049
2467.12,2.895578166,3261.42,3.891161753
2469.54,3.179909118,3273.43,3.745709965
2471.96,3.214132197,3285.44,3.810418867
2474.51,3.397364911,3297.45,4.066367841
2477.06,3.287557212,3309.46,4.042676329
2478.33,3.414198914,3321.47,4.276568305
2480.88,3.371614288,3333.47,4.078149876
2483.43,3.497372988,3345.48,4.446250086
2485.98,3.302233671,3357.49,4.182050143
2488.53,3.470842896,3369.5,4.205542438
2491.08,3.436061067,3381.51,4.107751223
2492.35,3.362086252,3393.52,4.213851124
2494.9,3.51181876,3405.53,4.268886337
2497.45,3.546096424,3417.53,3.858582234
2500,3.413954299,3429.54,3.611849445
2502.55,3.421994115,3441.55,3.597312261
2503.82,3.47119237,3453.56,4.417091631
2506.37,3.289196566,3465.57,4.073312324
2508.92,3.366390955,3477.58,3.876225933
2511.47,3.310398463,3489.59,3.939171781
2514.02,3.326861463,3501.59,4.221481174
2516.56,3.268601417,3513.6,4.010003414
2517.84,3.442117331,3525.61,4.203887934
2520.39,3.500844395,3537.62,4.181413808
2522.94,3.239095553,3549.63,4.187295058
2525.48,3.334965672,3561.64,3.79651903
2528.03,3.225346988,3573.65,4.318513229
2529.31,3.340372122,3585.65,4.179746959
2531.86,3.335860821,3612.96,4.695763376
2534.41,3.368841937,3640.26,4.023993208
2536.95,3.343971157,3667.57,3.882643235
2539.5,3.287757579,3694.87,3.969886069
2542.05,3.276588151,3722.18,3.886680423
2543.33,3.384926485,3749.48,4.14406194
2545.87,3.262226266,3776.79,3.910901687
2548.42,3.332059907,3804.09,3.85598358
2550.97,3.309398694,3831.4,3.791481933
2553.52,3.327953561,3858.7,3.848581921
2554.79,3.233581972,3886.01,4.084838092
2557.34,3.420970567,3913.31,3.844275762
2559.89,3.258486934,3940.62,3.571619976
2562.44,3.274974576,3967.92,3.484082538
2564.99,3.308002274,3995.23,3.750774248
2567.54,3.405004388,4022.53,3.801392989
2568.81,3.509308602,4049.84,3.801893375
2571.36,3.414514116,4077.14,3.770089063
2573.91,3.334625623,4104.44,3.739895414
2576.46,3.431038141,4131.75,3.905228676
2579.01,3.082624108,4159.05,3.758375745
2580.28,3.230259547,4186.36,3.748688368
2582.83,3.206803244,4213.66,3.799139504
2585.38,3.303676427,4240.97,3.812614888
2587.93,3.335137236,4268.27,3.815190257
2590.48,3.224736752,4295.58,3.754059453
2593.03,3.250566472,4322.88,3.719023957
2594.3,3.457678235,4350.19,3.651762909
2596.85,3.455056551,4377.49,3.749704428
2599.4,3.265077608,4404.8,3.766931694
2601.94,3.361074583,4432.1,3.855801604
2604.49,3.269795915,4459.41,3.848695871
2605.76,3.324188001,4486.71,3.796499626
2608.31,3.278789574,4514.02,3.767195484
2610.85,3.296883302,4541.32,3.82018689
2613.4,3.259494162,4568.63,3.824357686
2615.94,3.376411404,4595.93,3.838869166
2618.49,3.238613308,4623.23,3.797530006
2619.76,3.242307356,4650.54,3.793416368
2622.31,3.126236701,4677.84,3.75647969
2624.85,3.13074494,4705.15,3.839894106
2627.4,3.17141081,4732.45,3.844074884
2629.94,3.142608971,4759.76,4.042382707
2631.21,3.152287322,4787.06,3.837266429
2633.76,3.216718618,4814.37,4.026594699
2636.31,3.041158263,4841.67,3.982699368
2638.85,3.268273707,4868.98,3.87285163
2641.4,3.242616919,4896.28,3.791395018
2643.94,3.079355426,4923.59,4.00952665
2645.21,3.020078045,4950.89,3.806172894
2647.76,3.103306404,4978.2,3.529848099
2650.31,3.084864255,5005.5,3.911053372
2652.85,3.169685581,5032.81,4.10173477
2655.4,3.073265352,5060.11,3.901418452
2656.67,3.053389316,5087.42,3.886468483
2659.21,2.982430989,5114.72,3.844814256
2661.76,2.985611789,5142.02,3.987949483
2664.31,3.071848951,5169.33,3.848529272
2666.85,3.051128488,5196.63,4.064277479
2669.4,2.973818377,5223.94,3.773231903
2670.67,2.945380789,5251.24,4.213421761
2673.21,2.893541333,5278.55,3.806143144
2675.76,2.99212111,5305.85,4.268015546
2678.31,3.344632264,5333.16,4.161203025
2680.85,3.237280611,5360.46,4.11408311
2682.12,3.135947012,5387.77,4.089981825
2684.67,3.141162927,5415.07,3.750673703
2687.21,3.220948603,5442.38,4.359153389
2689.76,3.003726068,5469.68,3.837426226
2692.31,3.022444137,5496.99,3.962010812
2694.85,3.04770614,5524.29,3.839246826
2696.12,3.046078858,5551.6,3.614379983
2698.67,3.251047338,5578.9,3.530847284
2701.21,3.198619269,5606.21,4.218456733
2703.76,3.176016624,5633.51,4.212339216
2706.31,3.067477537,5660.81,4.633090027
2707.58,3.124496605,5688.12,3.498516805
2710.12,3.118583974,5715.42,3.59300148
2712.67,3.168193549,5742.73,3.825011628
2715.21,3.170203906,5770.03,4.370222546
2717.76,3.209277671,5797.34,3.74936401
2720.31,3.052242131,5824.64,4.020403347
2721.58,2.888954323,5851.95,4.188510577
2724.12,3.102224224,5879.25,4.694901741
2726.67,2.997868149,5906.56,3.953049006
2729.22,2.854004114,5933.86,4.271461803
2731.78,2.64619892,5961.17,4.223041758
2733.06,2.835606008,5988.47,4.350207037
2735.61,3.005998802,6015.78,3.907278946
2738.17,2.827123603,6043.08,4.523165461
2740.72,2.955882661,6070.39,4.937572527
2743.28,3.018755785,6097.69,5.158924674
2745.83,3.057829631,6125,4.052864217
2747.11,3.063367731,6152.3,4.55343358
2749.66,3.103312546,6179.6,4.649187071
2752.22,3.261528545,6206.91,3.742372105
2754.77,2.976615055,6234.21,3.921471895
2757.33,2.926639637,6261.52,3.015861645
2758.6,2.964818927,6288.82,3.094053856
2761.16,2.849639655,6316.13,2.45868527
2763.71,2.997106329,6343.43,2.790049984
2766.27,3.004916163,6370.74,4.320459884
2768.82,3.044925908,6398.04,3.738940193
2771.38,3.088306474,6425.35,3.999292286
2772.66,2.987889096,6452.65,4.849096276
2775.21,2.798426209,6479.96,4.640513787
2777.77,2.991770354,6507.26,4.305021345
2780.32,2.978431,6534.57,2.768706195
2782.88,2.967659491,6561.87,3.409400453
2784.15,3.005777802,6589.18,4.43267519
2786.71,2.993251722,6616.48,4.157833092
2789.26,3.013806166,6643.79,3.527852977
2791.82,2.87246548,6671.09,4.304171493
2794.37,3.004524676,6698.39,4.045387717
2796.93,3.02129949,6725.7,4.184678956
2798.2,3.174927851,6753,4.106980442
2800.76,3.084290405,6780.31,4.115158194
2803.31,3.130252102,6807.61,4.148751284
2805.87,3.049921886,6834.92,3.969896005
2808.42,3.200737634,6862.22,4.461299816
2809.7,2.955541393,6889.53,4.952692259
2812.26,3.168307031,6916.83,4.777941072
2814.81,3.163978442,6944.14,5.487939793
2817.37,3.121846521,6971.44,5.237770867
2819.92,3.035231655,6998.75,4.803474447
2822.48,3.126532338,7026.05,4.348899676
2823.75,3.173265964,7053.36,4.119892607
2826.31,3.070539367,7080.66,5.183152851
2828.86,3.022527416,7107.97,4.427960541
2831.42,3.11189784,7135.27,5.518869327
2833.97,3.189333195,7162.58,4.657089866
2835.25,3.347093123,7189.88,4.724781614
2837.8,3.186058306,7217.18,4.637252733
2840.36,3.126804726,7244.49,4.88697294
2842.91,3.120329646,7271.79,6.625392368
2845.47,3.258222633,7299.1,5.969389339
2848.02,3.125977433,7326.4,5.03396464
2849.3,3.238999841,7353.71,4.935617818
2851.86,3.131506572,7381.01,6.462462001
2854.41,3.14668636,7408.32,5.138048719
2856.93,3.121393797,7435.62,5.208740719
2859.45,3.250353195,7462.93,4.561422167
2860.7,3.277298955,7490.23,5.042263152
2863.22,3.402106811,7517.54,5.111862278
2865.74,3.188970159,7544.84,6.248725313
2868.26,3.173442795,7572.15,5.249652195
2870.77,3.082459519,7599.45,4.82255359
2873.29,3.047952973,7626.76,4.949885003
2874.55,3.392441209,7654.06,5.449047569
2877.07,3.219941923,7681.37,5.207592811
2879.58,3.178552111,7708.67,4.900971383
