ID,Section,Section_depth_min,Section_depth_max,Strat_depth_midpoint,95%_min_age_SH20M1H,95%_max_age_SH20M1H,median_age_SH20M1H,mean_age_SH20M1H,accumulation_rate,Nothofagus_dombeyi_type,Nothofagus_obliqua_type,Maytenus,Podocarpus,Saxegothea,Weinmannia_trichosperma,Eucryphia_/_Tepualia,Drimys_winteri,Misodendrum,Berberis,Embothrium_coccineum,Fuchsia,Myrteola_nummularia,Poaceae,Empetrum_rubrum,Gaultheria,Asteraceae_Subf._Asteroideae,Asteraceae_Subf._Cichoriodeae,Artemisia,Anthemsis,Naussavia,Caryophyllaceae,Amaranthaceae,Cardamine_glacialis,Codonorchis,Crassula,Brassicaceae,Donatia_fascicularis,Gentianella,Gunnera,Acaena,Ranunculus_type,Anemone,Caltha_type,Geum_magellanicum,Potentilla_anserina,Rumex_acetosella,Plantago,Litorella,Aristotelia_chilensis,Armeria,Azara/Microcala,Elodea,Escallonia_rosea,Frankenia,Fabaceae,Lathyrus,Lonicera,Myrica_pavonis,Netera_depressa,Oldenlandia_uniflora,Phacelia,Pinguicula,Primulaceae,Portulaceae_(Calandrinia),Rhamnaceae,Ribes,Galium_type,Lythrum,Saxifragaceae,Schrophulariaceae,Solanaceae,Grabowskia,Apiaceae,Urtica,Valeriana,Valerianella,Polygonum,Viola,Cyperaceae,Unidentified,Myriophyllum,Sphagnum,Drosera_uniflora,Polypodiaceae,Polypodiaceae_-_trilete,Sysirinchium,Lycopodium,Pediastrum,Tephra,Charcoal_25um,Charcoal_25-50um,Charcoal_50-75um,Charcoal_75-100um,Charcoal_101um,Lycopodium_spike,Lycopodium_tablets,Lycopodium_tablets,Sample_quantity,Trees_and_Shrubs,Dwarf_Shrubs,Cyperaceae,Unidentifed,Aquatics_and_Spores,Algae,Tephra,Charcoal,Total_Land_Pollen,Cyperaceae+TLP,Unidentified+TLP,Aquatics_and_Spores+TLP,Algae+TLP,Tephra+TLP,Charcoal+TLP
LP08_P18,LP08-1A,74,75,92.8,1911.95,2291.33,2117.72,2113.05,0.068793468,125362.2,0,464.3,0,0,0,0,0,2785.8,0,0,0,928.6,13000.5,464.3,0,464.3,0,0,0,0,464.3,0,0,0,0,0,0,0,0,464.3,0,0,0,0,0,0,0,0,0,0,0,0,464.3,0,0,0,0,0,0,0,0,0,0,0,928.6,0,0,0,0,0,464.3,0,464.3,0,0,0,0,0,7893.2,0,0,0,0,1857.2,0,0,0,152756.1,0,0,0,0,0,0,23,1,10679,1,129540.9,17179.3,7893.2,0,1857.2,152756.1,0,0,146720.2,154613.3,146720.2,148577.4,299476.3,146720.2,146720.2
LP08_P19,LP08-1A,82,83,101.9,2151.81,2362.46,2233.22,2245.33,0.077348066,195069.7,1423.9,0,0,0,0,0,0,4271.6,0,0,0,0,28477.3,711.9,0,711.9,0,0,0,0,0,0,0,0,0,711.9,0,0,711.9,711.9,711.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.9,711.9,0,0,0,0,0,0,0,0,0,0,0,16374.5,0,0,0,0,1423.9,0,0,0,133843.5,711.9,0,711.9,0,711.9,0,15,1,10679,1,200765.2,34172.8,16374.5,0,1423.9,133843.5,711.9,1423.9,234938,251312.5,234938,236361.9,368781.5,235649.9,236361.9
LP08_P20,LP08-1A,90,91,111,2193.69,2605.17,2354.15,2362.98,0.080730612,212758.5,2464.4,0,0,0,0,0,0,7393.2,0,0,0,821.5,42716,1642.9,0,1642.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1642.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821.5,0,0,0,0,0,821.5,0,0,0,0,0,821.5,0,0,0,821.5,0,27929.7,821.5,0,0,0,821.5,0,0,0,348299.7,821.5,0,821.5,0,1642.9,1642.9,13,1,10679,1,223437.5,50930.6,27929.7,821.5,821.5,348299.7,821.5,4107.3,274368.2,302297.8,275189.6,275189.6,622667.8,275189.6,278475.5
LP08_P21,LP08-1B,9,10,127,2323.75,2821.94,2557.73,2561.17,0.078536539,87373.6,0,0,0,0,0,0,0,2912.5,0,0,0,0,11973.4,323.6,0,1618,0,0,0,0,0,0,0,0,0,0,0,0,0,647.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.2,0,0,0,0,0,0,0,323.6,0,0,0,0,0,0,0,970.8,0,0,0,0,0,8090.2,0,0,0,0,1294.4,0,0,323.6,40450.8,0,0,0,0,0,323.6,33,1,10679,1,90286.1,16503.9,8090.2,0,1618,40450.8,0,323.6,106790,114880.2,106790,108408,147240.8,106790,107113.6
LP08_P22,LP08-1B,18,19,135.2,2413.6,2926.71,2665.33,2665.58,0.078545455,114417.9,0,0,762.8,0,0,0,0,6102.3,0,0,0,0,20595.2,1525.6,0,381.4,0,0,0,0,0,0,0,0,0,381.4,0,0,0,1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.4,0,0,0,0,0,0,0,0,381.4,0,0,0,381.4,0,0,0,0,0,0,0,0,0,6483.7,0,0,0,0,1144.2,0,0,0,25171.9,0,0,0,381.4,0,762.8,28,1,10679,1,121282.9,25934.7,6483.7,0,1144.2,25171.9,0,1144.2,147217.6,153701.3,147217.6,148361.8,172389.6,147217.6,148361.8
LP08_P23,LP08-1B,24,25,140.6,2459.33,2994.88,2735.26,2734.33,0.07828595,148943.9,0,0,0,0,0,0,0,3934.4,0,0,0,0,26416.5,562.1,0,1686.2,1124.1,0,0,0,0,0,0,0,0,0,0,0,0,2810.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562.1,0,0,0,0,0,0,1686.2,0,0,0,0,0,10116.9,0,0,0,0,2248.2,0,0,0,19109.8,1124.1,0,0,0,1124.1,0,19,1,10679,1,152878.3,34847.3,10116.9,0,2248.2,19109.8,1124.1,1124.1,187725.6,197842.5,187725.6,189973.8,206835.4,188849.7,188849.7
LP08_P24,LP08-1B,26,27,142.5,2504.52,3009.92,2758.9,2758.6,0.078277886,283586.8,2373.1,0,0,0,0,0,0,14238.7,0,0,0,1186.6,51021.9,0,1186.6,2373.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3559.7,0,0,0,0,0,0,0,0,0,0,0,0,1186.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2373.1,0,0,0,1186.6,0,1186.6,0,0,0,0,0,28477.3,1186.6,0,0,0,7119.3,0,1186.6,0,134080.8,0,0,1186.6,0,0,1186.6,9,1,10679,1,301385.1,64074,28477.3,1186.6,8305.9,134080.8,0,2373.1,365459.1,393936.4,366645.7,373765,499539.9,365459.1,367832.2
LP08_P25,LP08-1B,34,35,149.7,2579.35,3111.04,2852.18,2850.58,0.079408245,173376.7,0,0,628.2,0,0,0,0,8794.5,0,0,0,0,22614.4,0,0,1884.5,0,0,0,0,628.2,0,0,0,0,0,0,0,0,0,0,628.2,0,0,628.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1884.5,628.2,0,0,0,0,0,0,0,0,0,0,15704.4,0,0,0,0,1256.4,0,0,0,77265.7,2512.7,0,0,1884.5,628.2,0,17,1,10679,1,182799.4,28896.1,15704.4,0,1256.4,77265.7,2512.7,2512.7,211695.5,227399.9,211695.5,212951.8,288961.2,214208.2,214208.2
LP08_P26,LP08-1B,42,43,157,2735.67,3169.87,2934.57,2942.51,0.052142857,105861.4,0,0,0,0,0,0,0,4643,0,0,0,0,28322.6,928.6,0,928.6,0,0,464.3,0,0,0,0,0,0,0,0,0,0,2321.5,0,464.3,0,0,0,0,0,464.3,928.6,0,0,0,0,0,464.3,464.3,0,0,0,0,0,0,0,0,0,0,928.6,0,0,0,0,0,0,0,0,0,464.3,0,11607.6,0,0,0,0,4178.7,0,0,0,84503.4,2321.5,0,0,928.6,464.3,464.3,23,1,10679,1,110504.4,37144.3,11607.6,0,4178.7,84503.4,2321.5,1857.2,147648.8,159256.4,147648.8,151827.5,232152.2,149970.3,149506
LP08_P27,LP08-1B,50,51,164.3,2901.09,3314.97,3075.4,3082.51,0.041909197,118655.6,1186.6,0,395.5,0,0,0,0,5932.8,0,0,0,0,13843.1,0,0,1977.6,0,0,0,0,395.5,0,0,0,0,0,0,0,791,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.5,0,0,0,0,0,0,0,0,0,0,395.5,395.5,0,0,0,0,0,395.5,0,0,0,0,0,17402.8,0,395.5,0,0,2768.6,0,0,395.5,56954.7,395.5,0,395.5,2768.6,0,791,27,1,10679,1,126170.4,19380.4,17402.8,0,3559.7,56954.7,395.5,3955.2,145550.8,162953.6,145550.8,149110.5,202505.5,145946.3,149506
