ID,Section,Section_depth_min,Section_depth_max,Strat_depth_midpoint,95%_min_age_SH20M1H,95%_max_age_SH20M1H,median_age_SH20M1H,mean_age_SH20M1H,accumulation_rate,Nothofagus_dombeyi_type,Nothofagus_obliqua_type,Maytenus,Misodendrum,Poaceae,Empetrum_rubrum,Asteraceae_Subf._Asteroideae,Gunnera,Acaena,Plantago,Litorella,Galium_type,Polypodiaceae,Trees_&_Shrubs,Dwarf_Shrubs,Cyperaceae,Aquatics_&_Spores,Algae,Tephra_concentration,Charcoal_concentration,TLP_concentration,Pediastrum_concentration
Unit,cm,cm,cm,cm,cal a BP,cal a BP,cal a BP,cal a BP,cm yr-1,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,grains cm-3 x10^3,grains cm-3 x10^3,grains cm-3 x10^3,grains cm-3 x10^3
LP08_P21,LP08-1B,9,10,127,2323.75,2821.94,2557.73,2561.17,0.078536539,81.8,0,0,2.7,11.2,0.3,1.5,0,0.6,0,0,0,1.2,84.5,15.5,7,1.5,27.5,0,323.6,106790,40450.8
LP08_P22,LP08-1B,18,19,135.2,2413.6,2926.71,2665.33,2665.58,0.078545455,77.7,0,0,4.1,14,1,0.3,0,1.3,0,0,0,0.8,82.4,17.6,4.2,0.8,14.6,0,1144.2,147217.6,25171.9
LP08_P23,LP08-1B,24,25,140.6,2459.33,2994.88,2735.26,2734.33,0.07828595,79.3,0,0,2.1,14.1,0.3,0.9,0,1.5,0,0,0,1.2,81.4,18.6,5.1,1.2,9.2,1124.1,1124.1,187725.6,19109.8
LP08_P24,LP08-1B,26,27,142.5,2504.52,3009.92,2758.9,2758.6,0.078277886,77.6,0.6,0,3.9,14,0,0.6,0,1,0,0,0.6,1.9,82.5,17.5,7.2,2.2,26.8,0,2373.1,365459.1,134080.8
LP08_P25,LP08-1B,34,35,149.7,2579.35,3111.04,2852.18,2850.58,0.079408245,81.9,0,0,4.2,10.7,0,0.9,0,0,0,0,0.9,0.6,86.4,13.6,6.9,0.6,26.7,2512.7,2512.7,211695.5,77265.7
LP08_P26,LP08-1B,42,43,157,2735.67,3169.87,2934.57,2942.51,0.052142857,71.7,0,0,3.1,19.2,0.6,0.6,0,1.6,0,0.3,0.6,2.8,74.8,25.2,7.3,2.8,36.4,2321.5,1857.2,147648.8,84503.4
LP08_P27,LP08-1B,50,51,164.3,2901.09,3314.97,3075.4,3082.51,0.041909197,81.5,0.8,0,4.1,9.5,0,1.4,0.5,0.5,0,0,0.3,1.9,86.7,13.3,10.7,2.4,28.1,395.5,3955.2,145550.8,56954.7
LP08_P28,LP08-1B,58,59,171.5,2982.75,3629.16,3234.76,3254.31,0.041338694,79.7,1,0,4.6,10.2,0,1,0,1,0,0,1.6,0.7,85.2,14.8,11.3,0.7,35.8,2373.1,2373.1,361899.4,201714.4
LP08_P29,LP08-1B,66,67,178.8,3063.32,3877.63,3417.49,3430.9,0.042898551,77.6,0.3,0,3.2,14,0.6,0.9,0,0,0,0.3,0.9,2.8,81,19,11.6,3.1,34.9,2785.8,0,159256.4,85432
LP08_P30,LP08-1C,10,11,182.5,3135.41,3977.39,3501.69,3517.15,0.04368932,72.7,0.9,0.3,0.6,20.2,0.9,1.6,0,0.9,0,0,0.6,1.5,74.5,25.5,12.7,1.8,28.6,410.7,1232.2,132255.3,52984.3
LP08_P31,LP08-1B,74,75,186.1,3197.58,4036.17,3592.27,3599.55,0.043465376,71.9,0.3,0.3,0.6,21.3,0.9,0.9,0,1.9,0,0,0.6,3.3,73.1,26.9,19.2,3.6,38.3,1160.8,1625.1,74288.7,46198.3
LP08_P32,LP08-1C,18,19,190.5,3245.01,4144.01,3702.84,3700.78,0.041750648,79.9,0,0,0.3,14.9,0,1.5,0,1.2,0,0,0.6,3.5,80.8,19.2,12.5,3.8,41.7,0,5537.3,129730.1,92946.9
LP08_P33,LP08-1B,82,83,193.4,3323.07,4190.58,3773.71,3770.24,0.041751944,86.6,0,0.9,3.7,6.8,0,0.9,0,0.3,0,0,0.3,1.4,91.2,8.8,3.8,1.4,12.2,4004.6,0,469876,65408.9
