depth,Si,S,K,Ca,Ti,Mn,Fe,Zn,Br,Rb,Sr,Mo inc,Mo coh
15.25,0.274964535,0.270182179,0,0.302072859,0.176875755,0.274964535,1.906378233,0,0.591057977,0.470746551,0.857437035,8.694692317,3.945822848
15.5,0.155139789,0.200284606,0.241174603,0.612425657,0.344000108,0.641223609,3.500399684,0,0.600853819,0,0.773108958,8.323506314,3.737334368
15.75,0.119496038,0.306325678,0.263356442,0.52282565,0.325691301,0.514963163,3.216261059,0,0.747618034,0.221263668,0.804144541,8.383236273,3.832665282
16,0,0.23585032,0.24017821,0.697285428,0.307845992,0.593543622,3.24208812,0,0.646699621,0.208000431,0.915697002,8.358556634,3.805679844
16.3,0,0.278589196,0.305830571,0.611661142,0.252352119,0.613285743,3.195145572,0,0.764901711,0.567792268,1.05848855,8.311354099,3.829448605
16.65,0,0.252356493,0.271947385,0.514788092,0.353996163,0.621459114,3.112580089,0.119917525,0.678355961,0.410431385,0.960410296,8.395450316,3.758387637
16.95,0.151339802,0.234454613,0.203043651,0.24867667,0.270724868,0.302679604,2.144544266,0.179067668,0.696820777,0,0.932921193,8.676932618,3.934252727
17.2,0.168838003,0.162214307,0.175211476,0.321031361,0.264894853,0.431725791,2.322083304,0.247786446,0.683421021,0.193073643,0.886012899,8.63337295,3.970110236
17.45,0.134606314,0.272926081,0.11871161,0.489460509,0.22878674,0.534673117,2.940530989,0,0.674525537,0.551356692,0.935812421,8.44403573,3.801420423
17.75,0.138679494,0.257378248,0.226462665,0.402993267,0.211836426,0.537103371,3.041830021,0,0.725034291,0.35205052,0.960799718,8.426673445,3.780694553
18.05,0.251219807,0.304242295,0.246997325,0.355278459,0.267443908,0.491860754,2.681901365,0,0.550395022,0,0.95110284,8.547874693,3.873187032
18.35,0.175912994,0.210256243,0.105128121,0.448491894,0,0.527738982,2.620622881,0,0.641195365,0,0.87199325,8.566232593,3.923124581
18.6,0,0.200818329,0.142000002,0.3510334,0.142000002,0.398837761,2.09339663,0,0.727148474,0,1.179540604,8.675956086,3.883353185
18.85,0.190889293,0.260804425,0.139405829,0.334283435,0.155860455,0.415303044,2.362198763,0,0.561962863,0.391206638,0.740952145,8.623887293,3.938060459
19.15,0,0.240224889,0.172768528,0.533441774,0.327805234,0.629282336,3.260705608,0,0.667641021,0,0.829768708,8.408581127,3.759055689
19.45,0.232443679,0.240602066,0.244579229,0.552162958,0.362237311,0.602306638,3.456640377,0,0.775918348,0,0.882936371,8.286054771,3.693326615
19.75,0,0.249442786,0.241521939,0.52546057,0.292497594,0.601384779,3.212332591,0,0.693017875,0,0.79249626,8.426658586,3.746315929
20,0.233762291,0.291969008,0.147844254,0.516397779,0.198353881,0.561029499,2.949854123,0.264471842,0.562974147,0,0.683929501,8.512799749,3.82085162
20.25,0,0.298064862,0.191930199,0.536839759,0.237358903,0.570117645,2.856283709,0,0.71207671,0,0.82223536,8.509216731,3.753551122
20.5,0.19084362,0.21710235,0.253520926,0.474294222,0.277718259,0.53978727,2.76481201,0.317323411,0.661101691,0.307029088,1.0972898,8.477865096,3.894937396
20.75,0.230172916,0.243592117,0.220774105,0.544688533,0.359541588,0.546630388,3.026051729,0,0.64939771,0,0.937795756,8.434636164,3.838853669
21,0,0.299046311,0.319228944,0.482628799,0.315954715,0.460579186,2.839567013,0,0.749352402,0.245585782,0.957686833,8.46150283,3.865875186
21.25,0.105721005,0.250181559,0.216663586,0.438455482,0.133727668,0.40945569,2.500921927,0,0.765291562,0,1.138650067,8.565489435,3.857585474
21.5,0.242596792,0.293560734,0.183385937,0.502223072,0.327409386,0.518693758,2.925925354,0.282616709,0.717610987,0.363895187,0.865029735,8.436749705,3.864725377
21.8,0.201353619,0.233951764,0.246606812,0.565943382,0.305367883,0.622244585,3.295378208,0.185638864,0.717565088,0.155967843,0.891430472,8.306904506,3.850015994
22.15,0,0.255686332,0.202137794,0.562727803,0.358758995,0.656558989,3.248071951,0,0.559085514,0.559085514,1.056157885,8.327365682,3.773539613
22.45,0.230417284,0.27692711,0.337712525,0.620813577,0.340611398,0.660708141,3.564372146,0,0.810413009,0.354750616,1.049366472,8.220250001,3.738581738
22.7,0.135109094,0.250751866,0.302113118,0.592360892,0.379483154,0.658825217,3.372619366,0.185689688,0.681523865,0,0.998954893,8.294764338,3.721431961
22.95,0.124313557,0.281426785,0.291541135,0.592937879,0.367724462,0.604232948,3.330756694,0.23256937,0.690751725,0.548953806,0.892117604,8.308806089,3.716174935
23.25,0,0.200409253,0.276245091,0.596196475,0.403315841,0.632163343,3.344493594,0,0.678141796,0.329306005,1.092184461,8.314327538,3.754398711
23.55,0,0.220829392,0.285089519,0.591174209,0.337322468,0.646971076,3.408876783,0,0.807613875,0.519848836,1.028892773,8.289195312,3.77837734
23.85,0,0.289378334,0.242111285,0.593049109,0.398880507,0.677108202,3.198579772,0,0.625686551,0.219431987,0.992993648,8.375115942,3.754398123
24.1,0,0.273509721,0.39932222,0.624329079,0.319950387,0.729059293,3.352733408,0.125494867,0.81208852,0.43245684,0.903868011,8.298095995,3.755159977
24.35,0.108756704,0.291148555,0.30761041,0.654048987,0.379351531,0.644943453,3.493782655,0,0.598985218,0.366129622,0.960513199,8.275401369,3.766919434
24.65,0.163381806,0.222651871,0.3781554,0.695915537,0.3781554,0.724112461,3.67829433,0.204809933,0.79202269,0.499775914,1.108109321,8.140682489,3.724142777
24.95,0.261862277,0.278995195,0.327858219,0.642871998,0.41292007,0.743156379,3.672890135,0.235793976,0.780854338,0.569496557,1.083968613,8.140870254,3.689755086
25.25,0.222822113,0.238757626,0.284447908,0.730256454,0.366385127,0.672580015,3.744521506,0.128646407,0.769492411,0.575324221,1.122332892,8.155050303,3.670119623
25.5,0,0.238155518,0.288186452,0.70303435,0.405064461,0.689946734,3.58195942,0.14927187,0.659934544,0,0.921273636,8.227821375,3.73261088
25.75,0.235779463,0.154353891,0.330451938,0.680150339,0.427386571,0.707338388,3.597085979,0,0.506083075,0.429703046,0.953585628,8.240363321,3.769048944
26,0,0.287513734,0.316824704,0.668416064,0.352130971,0.712596694,3.508430587,0,0.834709932,0,0.915669502,8.207641289,3.794123194
26.25,0.132749861,0.153286336,0.342758666,0.632015753,0.378071769,0.685517333,3.54828345,0.328166439,0.732467063,0.424430644,1.065680002,8.218587604,3.728042173
26.55,0.226251378,0.307889128,0.337275641,0.682931123,0.399069921,0.698032934,3.56646731,0,0.731196167,0.359057339,1.020223972,8.231414546,3.712586295
26.8,0,0.258813377,0.330285969,0.653288673,0.373778336,0.681955182,3.605384069,0.347234582,0.699959125,0.097822262,1.052669351,8.249032947,3.728812159
27.05,0.127490728,0.288619411,0.334283509,0.677622514,0.413117174,0.754245318,3.662724519,0,0.838439358,0.33730876,1.055173526,8.168365857,3.663279184
27.35,0,0.30487386,0.311431037,0.674267974,0.317852971,0.660644994,3.410963745,0,0.722023156,0.479947461,1.094633209,8.229998501,3.81979403
27.65,0.18903663,0.227193754,0.330438817,0.717066768,0.420343869,0.690264176,3.409944618,0,0.560064773,0,1.17969224,8.270097503,3.790958253
27.95,0.219658678,0.24145808,0.320204796,0.679996476,0.415807166,0.738120708,3.47224026,0,0.588040133,0.448376398,1.066721282,8.232439764,3.765560987
28.2,0,0.225646841,0.269180408,0.716297161,0.370247048,0.721744366,3.658841626,0.187749521,0.682701823,0.293541104,0.985560803,8.186922086,3.70907614
28.45,0.208855217,0.251888869,0.302004145,0.77892331,0.385624501,0.689826078,3.674848399,0.194093409,0.612159917,0.288574952,1.039518538,8.169537946,3.762030041
28.75,0,0.2462528,0.293377408,0.616029053,0.318934868,0.616029053,3.454907556,0,0.745348702,0.484496844,1.073391068,8.184029905,3.77809177
29.05,0.130240429,0.284681201,0.373456843,0.701366173,0.390721286,0.704048271,3.6985632,0.237785402,0.753195662,0.416407436,1.047336055,8.153416074,3.66606179
29.35,0.108827523,0.294706327,0.371716758,0.709468653,0.428454388,0.693997705,3.720352361,0.108827523,0.807086515,0,1.055121987,8.144390881,3.714511513
29.6,0.198572921,0.301967981,0.336696769,0.775452045,0.508691736,0.734652718,3.887099795,0.22749386,0.846850069,0.629901976,1.1986553,7.997492029,3.740741748
29.85,0.223724017,0.189081305,0.258334243,0.717513104,0.381300943,0.782653485,3.961091633,0.300950286,0.936541164,0.419970535,1.18484246,7.984367174,3.674215153
30.15,0,0.221349476,0.25413598,0.712581562,0.371589131,0.604350772,3.666719981,0,0.626070861,0,1.062603243,8.188570848,3.737703102
30.45,0.169073988,0.352921158,0.364308627,0.664109439,0.34413336,0.651695084,3.77249929,0,0.798160212,0.454122965,1.172250185,8.078734555,3.733052567
30.7,0,0.230281478,0.362755936,0.73224843,0.454121199,0.70491603,3.686635266,0.258414325,0.802627522,0.471103518,1.232956079,8.079687573,3.783132138
30.95,0.257249825,0.324199626,0.361121238,0.766688768,0.394603218,0.770487414,3.973068533,0,0.910584868,0.430008888,1.186273361,7.956907511,3.732600211
31.2,0.280794763,0.317061928,0.335194154,0.694931584,0.402036917,0.674784344,3.62703803,0.133192651,0.84937515,0.166120422,1.083882334,8.161907317,3.764640008
31.45,0.170287506,0.263808271,0.329026721,0.774137318,0.421726673,0.766609061,3.768705282,0.196631075,0.809537564,0.348985539,1.153271011,8.101701409,3.722252743
31.75,0.190471392,0.265599666,0.3591563,0.787895936,0.383579097,0.664378484,3.384107238,0.15551924,0.787895936,0,1.184399245,8.244475703,3.796177607
32.05,0.177001547,0.303365368,0.345606569,0.74177165,0.303365368,0.770261845,3.499419516,0.261788819,0.826665445,0,1.281734433,8.201018625,3.718085921
32.3,0.253443439,0.29922853,0.366478607,0.83360093,0.436754231,0.780541954,3.774417665,0,0.727626545,0.333089935,1.199351,8.077604135,3.723013195
32.55,0.205623102,0.294080903,0.371986188,0.761840468,0.399392231,0.811909507,3.625672878,0,0.82715246,0.244085181,1.252292116,8.131749107,3.723218578
32.85,0.216394379,0.257560828,0.369563758,0.729829944,0.446108441,0.833422754,3.664356244,0,0.782717743,0.356120548,1.317016557,8.108896334,3.755341411
33.1,0.211366528,0.211366528,0.355327625,0.801837368,0.401523845,0.746643422,3.730354312,0,0.832734203,0.488792857,1.258975777,8.070168364,3.707372353
33.3,0.275575174,0.234643806,0.356654327,0.793924378,0.413362762,0.703931418,3.791037105,0,0.95858974,0.238655102,1.297692831,8.060986028,3.671463963
33.5,0.144808688,0.250816004,0.421055892,0.791947193,0.35738447,0.797942337,3.978467311,0,0.72008328,0,1.330779592,8.023023849,3.676906942
33.7,0.160323539,0.24614456,0.331901257,0.777197189,0.366095763,0.80732323,3.905778872,0,0.690907562,0.486662774,1.25655788,8.020870751,3.722624387
33.9,0.255300658,0.275756227,0.394593484,0.874091524,0.438080191,0.852065282,4.098306756,0.190289875,0.79944398,0.350877193,1.152000509,7.950952247,3.604474012
34.1,0.254804131,0.286550542,0.414560826,0.832569158,0.432593554,0.739009502,3.88622368,0,0.79742367,0.302752421,1.374942712,8.000295977,3.655560493
34.3,0.235363934,0.284808422,0.341654311,0.75746034,0.407662293,0.66867505,3.799818292,0,0.726802697,0.625883489,1.173452513,8.061490853,3.673271988
34.5,0.171185989,0.233287179,0.316974858,0.724838175,0.368859417,0.64702222,3.598688495,0,0.692344009,0.204606391,1.306920821,8.17273843,3.778022522
34.7,0.235353097,0.28989936,0.355052754,0.875171375,0.398162142,0.742967539,3.916812372,0,0.74425184,0.157576915,1.289082,7.999259826,3.693696799
34.9,0.1029843,0.237832053,0.35175835,0.842962824,0.521741948,0.824946454,4.248232395,0,0.759109096,0.543317421,1.24932591,7.860160445,3.631322403
35.1,0.247028271,0.231573409,0.412461677,0.864331562,0.423521592,0.732299417,3.979727838,0,0.77164514,0.621674183,1.232143436,7.966886608,3.643524263
35.3,0.138163199,0.243261414,0.370730766,0.765528861,0.352248424,0.75801121,4.039472329,0,0.617884611,0.269329658,1.299028003,7.967956863,3.689500716
35.5,0,0.296139018,0.354355818,0.712917677,0.359936568,0.653094731,3.659771154,0,0.666686598,0.342921961,1.291611854,8.129738084,3.753071505
35.7,0.226465776,0.260330125,0.47465288,0.818774121,0.365666348,0.761996885,4.091856731,0.141944937,0.796088984,0.331511952,1.296009642,7.905476938,3.700728759
35.9,0.306655532,0.316291031,0.389949772,0.808864454,0.473381068,0.705832331,3.69911792,0,0.669461927,0.424348947,1.379406069,8.077753403,3.766121808
36.1,0,0.221839127,0.396837895,0.791191666,0.42324208,0.681591468,3.568784173,0,0.768473279,0.638341848,1.290486083,8.134571891,3.75032807
36.3,0.185303491,0.226949501,0.326844637,0.851410786,0.501804227,0.730846826,3.892108578,0,0.767761957,0.460159973,1.313928216,7.971760118,3.72941659
36.5,0.23928056,0.286471233,0.349491627,0.720495447,0.416742205,0.697616717,3.898878298,0.12356395,0.77781519,0.409815259,1.402736577,7.979447616,3.705888652
36.7,0.221675549,0.242833398,0.300695345,0.752391764,0.354680879,0.614325303,3.718867493,0,0.829433956,0.337646137,1.400596573,8.019631931,3.808693018
36.9,0.258981952,0.339086972,0.393983458,0.830590059,0.34746075,0.701781702,3.746616945,0,0.735123037,0.646344005,1.390532237,8.071172206,3.679002489
37.1,0.211292494,0.192882775,0.342332966,0.849560499,0.41592969,0.69276877,3.991089074,0,0.813773321,0.645509232,1.466416591,7.930039345,3.706662977
37.3,0.139631579,0.253653361,0.428102316,0.823707978,0.344864561,0.653439988,3.948636889,0,0.787403264,0.264932295,1.492164496,7.955692275,3.715617055
37.5,0.109359849,0.244536057,0.340013589,0.717120489,0.416429899,0.63767202,3.488104924,0,0.765518945,0.499157136,1.56706724,8.127896902,3.797270453
37.7,0.21331589,0.217714618,0.520697634,0.935919667,0.44191241,0.784981219,4.253633303,0.292094811,0.704803791,0.310958673,1.448743152,7.808158052,3.688319531
37.9,0.185468084,0.286660042,0.414719243,0.923209705,0.45007601,0.767199463,4.108302957,0,0.627431823,0.42383504,1.495930371,7.862062821,3.679099665
38.1,0.251816483,0.155089179,0.337199426,0.934053178,0.407654228,0.69200178,3.701226748,0,0.593332438,0.359179185,1.600160707,8.022501319,3.781875511
38.3,0.294896124,0.334380774,0.396689965,0.904363376,0.459562417,0.677986281,3.755896474,0,0.649919402,0.434075341,1.71047015,7.958293638,3.740705449
38.5,0.297828573,0.2081334,0.487058416,1.093820677,0.57270463,0.777438318,4.072237946,0,0.740752201,0.658175602,1.741368963,7.767215773,3.676088277
38.7,0.213728403,0.337934276,0.494355227,1.016053227,0.402695166,0.692559179,3.997063993,0,0.613888099,0.106864201,1.740935589,7.864508244,3.815515934
38.9,0.169935221,0.215983897,0.421557401,1.01415006,0.466578543,0.673173186,4.064532644,0.266616311,0.684625314,0.678104924,1.815635542,7.777705494,3.756653618
39.1,0.240952845,0.296921813,0.43746688,1.001020874,0.468328149,0.681517561,3.884971139,0,0.803176149,0.454345041,1.885326632,7.753874352,3.839316411
39.3,0.263583288,0.213672075,0.506032843,1.053391363,0.507990424,0.738839654,4.404962671,0,0.808131059,0.536497683,1.892352839,7.564951892,3.673452508
39.5,0.227109857,0.239394809,0.456317737,0.997637954,0.432680317,0.741737686,4.546190831,0.097732521,0.823508863,0.658517059,1.794130602,7.532381811,3.661775567
39.7,0.238114523,0.201243502,0.397424073,0.856172261,0.379171811,0.738045281,4.022101987,0.246471947,0.694217163,0.26999649,1.729406614,7.81902874,3.773516897
39.9,0.222949636,0.231365772,0.490800918,0.99610191,0.445899272,0.847840223,4.545405881,0.251175378,0.681590032,0.539065934,1.670120242,7.588227941,3.650890295
40.1,0.154925531,0.282854027,0.456088414,0.97163549,0.521557055,0.716966612,4.341832346,0,0.672336347,0.309851062,1.658378732,7.68848028,3.692843209
40.3,0.314737961,0.183637,0.454478388,0.97927777,0.461382252,0.738839456,4.027473831,0,0.69776019,0.364393375,1.763775788,7.845782025,3.721482074
40.5,0.249642904,0.265260388,0.528622663,1.078891224,0.536174798,0.783047844,4.432536574,0,0.820655306,0.539911253,1.610398041,7.634708249,3.604307664
40.7,0.219106552,0.2349656,0.464795187,0.966307094,0.449034811,0.660961345,3.744414948,0.162493768,0.589962447,0.391949716,1.778681026,7.901062478,3.839369547
40.9,0.284832091,0.280733574,0.449070496,0.981977555,0.466787076,0.696030129,3.971047954,0,0.692691836,0.504953328,1.729218015,7.785129293,3.77442825
41.1,0.303776219,0.25984985,0.459966042,1.127680491,0.450073143,0.756099066,4.178926371,0.332093124,0.754609214,0.376558208,1.826358143,7.667992526,3.751509562
41.3,0.292143628,0.30290096,0.542632705,1.216875529,0.544595217,0.782541486,4.443561243,0.35780141,0.772939387,0.495353622,1.948841072,7.478249198,3.696223071
41.5,0.258140607,0.196703339,0.620300305,1.313812083,0.530653615,0.857409976,4.593489776,0,0.676651861,0.434927447,2.087384016,7.391149588,3.673551519
41.7,0.305675704,0.180539536,0.627142135,1.319298142,0.578478275,0.777229168,4.677100771,0.251030038,0.664163052,0.657587018,2.156924912,7.277184196,3.647315695
41.9,0.330207488,0.213998911,0.666986432,1.417971089,0.489776855,0.784199335,4.823290494,0.339969417,0.631724122,0.663708837,2.254618428,7.111353866,3.695079337
42.1,0.305237233,0.182414137,0.637145189,1.456269687,0.569100925,0.77104595,4.721907767,0.333041125,0.574918121,0.645790702,2.253386871,7.176089612,3.669502677
42.3,0.357241074,0.187632205,0.649977023,1.43204065,0.566792138,0.809758512,4.918192281,0.33499049,0.759273138,0.314668773,2.312809536,7.063361942,3.619830815
42.5,0.421792112,0.260937677,0.682376206,1.511376321,0.625267629,0.780002202,4.876520032,0.347566003,0.573986362,0.558470344,2.319264801,7.024867737,3.65402922
42.7,0.33653039,0.190594698,0.647164057,1.37439791,0.558550933,0.821731423,5.052610093,0.273476728,0.342821222,0.608008156,2.381873081,6.978289582,3.666453624
42.9,0.35170333,0.180420001,0.562879563,1.374827245,0.626726906,0.808206428,4.719974827,0,0.384143518,0.535212217,2.250554209,7.23946731,3.673663141
43.1,0.212308779,0.201945931,0.550133209,1.24401592,0.536303591,0.780759857,4.368267105,0,0.741273182,0.429642793,2.128136759,7.449991396,3.744392733
43.3,0.176031968,0.227256294,0.516227066,1.065926503,0.551067227,0.863573917,4.247443846,0.321388933,0.734287558,0.398833177,1.999855388,7.57633085,3.780113184
43.5,0.272772363,0.276433901,0.4506716,1.026514639,0.326465609,0.81708746,4.088389563,0,0.793362507,0,1.930355126,7.737940549,3.717144789
43.7,0.262643056,0.321670736,0.450679294,0.88635276,0.48940644,0.823599936,3.865257578,0.315657669,0.753113667,0.475505645,1.666858271,7.875764674,3.72566579
43.9,0.25907354,0.273087489,0.431789233,0.977981167,0.409631234,0.827189172,4.007273944,0,0.690862773,0,1.416373996,7.940579346,3.698294318
44.1,0.164150415,0.270439276,0.404471038,0.981966856,0.464287486,0.756059877,3.833134376,0,0.752231701,0.728840517,1.462952954,7.981033969,3.700802734
44.3,0.246257617,0.278744695,0.505803194,1.038414673,0.441807715,0.757767539,4.047596222,0.204186029,0.806235177,0.250075792,1.461425366,7.8977797,3.677152757
44.5,0.193596954,0.291243303,0.455109991,0.937970434,0.573957791,0.752424049,4.006149847,0.277366511,0.757649279,0.323340164,1.339807535,7.912584107,3.689052129
44.7,0.159579852,0.261842659,0.385845266,0.806446242,0.504635799,0.684235072,3.802454124,0,0.663892312,0,1.409371088,7.999098854,3.807087812
44.9,0.130090951,0.297286209,0.338680936,0.717796134,0.4379514,0.726907238,3.638931194,0.221112099,0.800761202,0.442224198,1.313854201,8.1254502,3.679783256
45.1,0.251572754,0.303678936,0.350658231,0.766604319,0.486704351,0.838695633,4.075168012,0.134471293,0.82565812,0.392047821,1.143401427,7.969168646,3.637939352
45.3,0.17174818,0.274931234,0.346169524,0.775248533,0.489557636,0.823675337,4.001446956,0,0.830362932,0.288030454,0.88932561,8.044023629,3.659233935
45.5,0.144937223,0.190484829,0.324089483,0.674174111,0.423689323,0.768179711,3.744473686,0,0.828000916,0.554493591,0.936245915,8.143732116,3.692345091
45.7,0.187573285,0.250097714,0.289913848,0.636091958,0.39046493,0.752893818,3.693707008,0,0.810409215,0.321864195,0.817612994,8.197975493,3.648449069
45.9,0,0.239150516,0.302504133,0.625154878,0.416515713,0.765032494,3.823667,0.138073615,0.718778933,0.362689714,0.993746413,8.122203112,3.699239255
46.1,0.196395821,0.252274999,0.375213689,0.678916235,0.382845935,0.741377965,3.859065434,0,0.808569011,0.291302078,0.930551502,8.130051643,3.697773974
46.3,0,0.280033491,0.184885193,0.448412459,0.307416094,0.593193926,3.102806854,0,0.894580047,0.22420623,0.843683008,8.449571033,3.754634399
46.5,0.270206016,0.324456614,0.308357702,0.631676497,0.370854281,0.754194204,3.922805513,0,0.964608459,0.382129013,0.984643098,8.051957939,3.638051534
46.7,0.183138932,0.288040002,0.346464173,0.681368027,0.551020935,0.766700935,4.173038782,0.084029905,0.748054961,0.554215286,0.993367118,7.96612805,3.649259237
46.9,0,0.307877342,0.341559244,0.626030203,0.422658001,0.804433657,4.149540687,0,0.96607543,0.388969101,0.715697033,7.998090332,3.611696286
47.1,0.172164478,0.272215942,0.352306748,0.738001467,0.486954681,0.840129138,4.472135955,0.367743487,0.930126462,0.579059042,0.936082509,7.82993562,3.4695521
47.3,0.185349774,0.258240629,0.210852591,0.575691113,0.321035226,0.717856589,3.651797316,0,0.887768854,0.484168572,0.550570871,8.2394545,3.681284442
47.5,0.250691781,0.299179654,0.323641698,0.633905258,0.343620425,0.768358629,4.204172359,0,0.864024704,0.505167643,0.890081535,8.001099736,3.549611923
47.7,0,0.294148072,0.263807995,0.663429868,0.354996844,0.764834175,3.911702968,0,0.914886241,0.469115758,0.73473045,8.119186459,3.641511195
47.9,0.226774364,0.235023384,0.302365819,0.545097732,0.372883792,0.667605652,3.740313254,0,0.839484996,0.106902461,0.989449505,8.172971023,3.635469621
48.1,0.315165184,0.280031614,0.378013868,0.683389346,0.406876502,0.789845813,4.299496132,0,0.899207245,0.455380351,0.713332864,7.932471814,3.530323957
48.3,0.182904729,0.295554524,0.258666349,0.583195584,0.328324037,0.703120079,3.788870962,0.397464317,0.925633672,0.307874536,0.803070032,8.171109416,3.638736754
48.5,0.190484829,0.283209774,0.324089483,0.651118568,0.423689323,0.701929421,4.076787593,0,0.883782193,0.425937027,0.755647391,8.03394943,3.608378541
48.7,0.171293587,0.250748137,0.313852806,0.637643522,0.446209579,0.729615321,3.885922004,0.194228671,0.800825328,0.450882058,0.317174092,8.186968258,3.614312089
