ID,depth,mean,kcps,MSE,Si,S,K,Ca,Ti,Cr,Mn,Fe,Co,Zn,As,Br,Rb,Sr,Zr,inc,coh,inc_coh,coh_inc,TSN_sum,Subunit ,Group
LP-1C-29,8.1,359.01,21928,1.21,0.04382994,0.06574491,0.09363669,2.54612105,0.06773718,0.06574491,0.962266406,11.98948081,0.12750528,0.03785313,0,0.241064669,0.05578356,2.002231342,1.641630474,66.91437224,10.57496912,6.327618689,0.158037336,1.290500064,6A-C,Unit 6
LP-1C-30,8.15,361.59,22266,1.22,0.050269444,0.078420333,0.086463444,2.304351323,0.138743666,0,0.868655996,10.3293654,0.176948444,0.014075444,0,0.54089922,0,1.705139548,1.676988659,69.09635647,10.17654629,6.789764869,0.147280505,1.261465097,6A-C,Unit 6
LP-1C-31,8.2,364.17,22479,1.23,0.011972941,0.085806078,0.085806078,2.250912937,0.165625686,0.033923333,0.901961567,10.50825135,0.047891765,0,0,0.558737254,0.027936863,1.921657055,1.470676272,68.24975555,11.03705625,6.183691918,0.161715689,1.261243802,6A-C,Unit 6
LP-1C-32,8.25,366.75,22468,1.21,0.044786292,0.130464414,0.070100282,2.486612793,0.171356246,0.054522442,1.084607146,12.12734885,0.122675494,0.062311362,0.167461786,0.488754746,0.142147795,1.454580859,1.764190439,66.26813358,10.49167559,6.316258352,0.15832158,1.302765094,6A-C,Unit 6
LP-1C-33,8.3,369.33,21907,1.26,0.091701949,0.078044212,0.146332898,3.121768482,0.150235108,0.113164107,1.205783076,14.90059118,0.042924317,0,0,0.438998693,0.070239791,1.953056406,1.574541978,63.6723704,10.10087214,6.303650763,0.15863823,1.355505012,6A-C,Unit 6
LP-1C-34,8.35,371.91,21663,1.23,0.069599109,0.067610563,0.139198218,2.893334394,0.216751511,0,1.43771874,16.08733694,0.021874006,0,0,0.324132994,0.057667833,1.839405027,1.489420935,63.19996818,9.879096405,6.397342995,0.156314895,1.368380952,6A-C,Unit 6
LP-1C-35,8.4,374.49,21342,1.21,0.053773078,0.12746211,0.113520942,2.879847045,0.133436896,0.069705841,1.489713409,15.63800761,0,0,0,0.748839896,0,2.107108004,1.561410846,62.34092131,10.38417877,6.003452244,0.166570826,1.375041078,6A-C,Unit 6
LP-1C-36,8.45,377.07,20844,1.2,0.070573095,0.097556926,0.080951491,2.472134006,0.118313718,0.022832472,1.332586089,13.98385122,0.053967661,0.024908151,0,0.558357723,0.188886813,2.218901135,1.521472902,64.02847832,10.8018349,5.927555726,0.168703602,1.336356828,6A-C,Unit 6
LP-1C-37,8.5,379.65,21207,1.14,0.110229277,0.096200096,0.126262626,2.881994549,0.138287638,0,1.244588745,15.11143178,0.130270964,0,0.036075036,0.787638288,0.214446048,2.677569344,1.549222383,62.31762065,10.64013147,5.856846864,0.170740336,1.370656265,6A-C,Unit 6
LP-1C-38,8.55,382.23,21115,1.16,0.043984166,0.057979128,0.135951058,2.713023312,0.165940262,0.029989204,1.261545843,14.10492223,0.055979847,0,0,0.497820785,0.169938822,2.878963573,1.845335679,62.619457,10.74013355,5.830416977,0.171514319,1.363148284,6A-C,Unit 6
LP-1C-39,8.6,384.81,21795,1.18,0.079758778,0.079758778,0.151736212,2.416107383,0.210096294,0.015562688,1.138021593,14.85458613,0,0,0,0.550530104,0.667250267,2.760431865,1.460947379,62.10874429,10.79856045,5.751576293,0.17386538,1.371604675,6A-C,Unit 6
LP-1C-40,8.65,387.39,22575,1.21,0.105926298,0.102209585,0.211852595,2.900893869,0.182118898,0.04274219,1.365891732,16.77166379,0.191410678,0,0,0.369812864,0.157960268,3.025403728,1.038821059,60.7050603,10.49971195,5.78159292,0.172962714,1.404400251,6A-C,Unit 6
LP-1C-41,8.7,389.97,22375,1.24,0.048293027,0.070582117,0.152308778,2.986737992,0.304617556,0.016716817,1.545376871,18.51294625,0.11701772,0,0,0.434637245,0.161595899,2.609680895,1.437646272,59.21096623,10.3477098,5.722132472,0.174760023,1.437635184,6A-C,Unit 6
LP-1C-42,8.75,392.55,22230,1.31,0.056128272,0.106643716,0.196448951,3.279762016,0.301221725,0,1.736234541,17.48208573,0.136578795,0,0,0.725925649,0.054257329,2.815768302,1.45372224,59.14423095,10.07876667,5.868201225,0.170409971,1.444606611,6A-C,Unit 6
LP-1C-43,8.8,395.12,20895,1.32,0.105378433,0.101245945,0.142570821,2.314193028,0.177696965,0.024794925,1.04551935,13.51116805,0.140504577,0,0,0.601276939,0.407050024,3.169617952,1.163295246,63.82833647,11.07093415,5.765397536,0.173448577,1.335126486,6A-C,Unit 6
LP-1C-44,8.85,397.7,21166,1.15,0.132314316,0.043446492,0.120465272,2.310563422,0.26067895,0.031597449,1.090111973,14.70861228,0.11059107,0.013823884,0.235006023,0.428540395,0.03752197,2.983984043,1.427809704,62.7801805,10.86359776,5.778949282,0.173041837,1.357887962,6A-C,Unit 6
LP-1C-45,8.9,400.28,21294,1.32,0.185188834,0.061072913,0.161547706,3.126539136,0.433420674,0.02955141,1.063850746,15.67997793,0.011820564,0,0,0.453121614,0.013790658,2.83102504,1.463779822,61.6856124,10.34299336,5.964,0.167672703,1.388337299,6A-C,Unit 6
LP-1C-46,8.95,402.86,20986,1.43,0.05567818,0.097436815,0.141183957,2.917138937,0.250551811,0.02783909,1.087713019,14.74875221,0.280379407,0.02783909,0,0.45735648,0,2.481656028,1.930839746,61.56813617,10.64049792,5.786208185,0.172824753,1.38487594,6A-C,Unit 6
LP-1C-47,9,405.44,20940,1.18,0.087265348,0.052765094,0.213089802,2.930492136,0.36123795,0,0.939624556,15.29375951,0.30035515,0,0,0.314561136,0.188736682,2.624048706,1.3231862,62.44545916,10.82293252,5.769735608,0.173318167,1.364845027,6A-C,Unit 6
LP-1C-48,9.05,408.02,21262,1.23,0.062947518,0.043276418,0.190809662,2.834605398,0.381619325,0.047210638,0.930442993,15.93752459,0,0.106223936,0,0.802580848,0.104256826,2.738217012,1.327799197,61.84987017,10.52993941,5.873715673,0.170249984,1.381600761,6A-C,Unit 6
LP-1C-49,9.1,410.6,21105,1.24,0.124150163,0.08670805,0.193122475,3.123460439,0.279830525,0.043354025,0.961671101,16.35234999,0.287713075,0,0,0.376391763,0,2.827864814,1.698689526,60.48674746,10.77938713,5.611334552,0.178210725,1.403191019,6A-C,Unit 6
LP-1C-50,9.15,413.18,20761,1.34,0.091181193,0.069376995,0.235881782,2.874189776,0.362742572,0.037661797,1.012904121,16.85662749,0.158575988,0,0,0.614481952,0,2.604610597,1.66703007,59.72764574,10.92192115,5.468602541,0.182862074,1.415436844,6A-C,Unit 6
LP-1C-51,9.2,415.76,20531,1.25,0.09717386,0.066807029,0.178152077,3.158150458,0.431209005,0.034415742,1.228844441,16.81107782,0,0,0.101222771,0.35832861,0.226739007,2.708721354,1.745080573,60.19110859,10.37330958,5.802498048,0.172339567,1.417144824,6A-C,Unit 6
LP-1C-52,9.25,418.34,20488,1.23,0.119338863,0.031823697,0.254589574,2.856176781,0.453487678,0.047735545,1.354496092,17.14700559,0.107404976,0,0,0.173041351,0.28641327,3.011317302,1.31272749,59.80269308,10.3248006,5.792140243,0.172647753,1.425974247,6A-C,Unit 6
LP-1C-53,9.3,420.92,20671,1.28,0.044485785,0.03639746,0.258826384,2.794516116,0.279047195,0.040441623,0.930157318,17.02996724,0.095037813,0,0,0.614712662,0.105148219,2.879443523,1.512516682,60.72309621,10.68467667,5.68319455,0.175957376,1.40040777,6A-C,Unit 6
LP-1C-54,9.35,423.5,20908,1.15,0.083474113,0.079499155,0.208685283,3.2376031,0.397495777,0.075524198,0.816853821,17.28311637,0.172910663,0.037762099,0,0.383583424,0.162973268,3.374739143,1.65556991,59.03209778,10.86355957,5.43395536,0.184028012,1.430704049,6A-C,Unit 6
LP-1C-55,9.4,426.08,21232,1.32,0.122933767,0.102129591,0.293149752,3.470514809,0.293149752,0.03026062,1.074251995,18.42115217,0.16265083,0,0,0.342323259,0.047282218,3.593448576,1.54140031,58.10984605,10.01815637,5.800453087,0.172400325,1.467825218,6A-C,Unit 6
LP-1C-56,9.45,428.66,21098,1.28,0.168442569,0.075704525,0.297140262,3.317750819,0.370952174,0.039744876,0.891420785,19.85729697,0.081382365,0.107878948,0,0.363381721,0.268751065,3.542971781,1.230198535,57.35564093,10.24660749,5.597524935,0.178650388,1.47924074,6A-C,Unit 6
LP-1C-57,9.5,431.24,21190,1.21,0.086438544,0.084559445,0.223612755,3.155006859,0.313809497,0.035702877,1.230809704,20.28862957,0.279985719,0,0,0.056372964,0.04697747,3.41620159,1.476971644,56.58718079,10.05505759,5.627733134,0.177691439,1.500549838,6A-C,Unit 6
LP-1C-58,9.55,433.82,20804,1.31,0.094398993,0.078665828,0.194697923,2.875235997,0.263530522,0.033432977,1.136721208,19.32426054,0.188797986,0,0,0.259597231,0.133731907,3.11123348,1.339285714,58.17927942,10.79295154,5.390488338,0.185511949,1.449858858,6A-C,Unit 6
LP-1C-59,9.6,436.4,20569,1.1,0.065055396,0.03154201,0.141939045,2.850609155,0.350904861,0.019713756,1.056657335,18.12877026,0,0,0.112368411,0.559870678,0.122225289,3.32176793,1.443046958,58.90273233,10.60205812,5.555782819,0.179992637,1.438749752,6A-C,Unit 6
LP-1C-60,9.65,438.98,20624,1.2,0.066695437,0.033347719,0.205971203,2.687433795,0.2314724,0.023539566,0.884695359,17.20546118,0.219702617,0.051002393,0,0.443328495,0.198124681,3.244536859,1.749774412,59.6708384,10.63007572,5.613397306,0.178145238,1.42245661,6A-C,Unit 6
LP-1C-61,9.7,441.56,20795,1.27,0.105019545,0.056399385,0.202259865,3.061125265,0.398685311,0.110853964,0.859604426,18.90546296,0.157529318,0,0.046675353,0.352009957,0.149750092,3.323674128,1.419708668,57.73935705,10.32886676,5.590096027,0.178887804,1.469114286,6A-C,Unit 6
LP-1C-62,9.75,444.14,20654,1.25,0.070061654,0.0520458,0.190167347,2.848506686,0.274241332,0.022019377,1.08495476,17.52742413,0.148130355,0.050044039,0.018015854,0.628553127,0.044038754,3.346945312,1.505324686,59.47233566,10.42517415,5.7046851,0.175294514,1.430666132,6A-C,Unit 6
LP-1C-63,9.8,446.72,20521,1.14,0.145786954,0.051222443,0.195039303,2.777832503,0.246261747,0.053192537,1.274650801,17.41169054,0.246261747,0,0,0.394018795,0.197009397,3.12850923,1.453929352,59.54412025,10.39224571,5.729668246,0.174530175,1.429871264,6A-C,Unit 6
LP-1C-64,9.85,449.3,20762,1.24,0.149054376,0.063880447,0.249714474,3.035289107,0.354246114,0.030972338,0.936913219,19.13316169,0.071623531,0,0.06968776,0.501364719,0.054201591,3.238545074,1.289223562,58.69258019,10.24410074,5.729402872,0.174538259,1.450606537,6A-C,Unit 6
LP-1C-65,9.9,451.88,20211,1.3,0.13492559,0.076524961,0.223533439,2.694484161,0.358459029,0.034234851,0.926354794,17.02881769,0.016110518,0,0,0.26179592,0.326237993,3.304670036,1.633203778,60.58360352,10.3489941,5.85405721,0.170821699,1.409789058,6A-C,Unit 6
LP-1C-66,9.95,454.46,20353,1.19,0.095844039,0.057098577,0.25898283,2.942615931,0.340552225,0.071373221,0.799380073,16.487214,0.187609609,0,0,0.332395285,0.026510053,3.299482034,1.553896978,61.19132102,10.54488356,5.80293947,0.172326457,1.393996248,6A-C,Unit 6
LP-1C-67,10,457.04,20972,1.26,0.157420578,0.026552869,0.295874822,3.486012328,0.303461356,0.034139403,0.733997155,19.67757231,0.151730678,0,0,0.400189663,0.056899004,3.205310574,1.105737316,58.36320531,9.972498815,5.852415367,0.170869622,1.463363863,6A-C,Unit 6
LP-1C-68,10.05,459.62,20332,1.23,0.098152765,0.068706935,0.286606074,2.742388253,0.268938576,0.027482774,0.573212147,20.21750653,0.265012465,0.051039438,0,0.145266092,0.094226654,2.738462142,1.254392336,58.10251075,10.34137532,5.618451025,0.177984999,1.461050881,6A-C,Unit 6
LP-1C-69,10.1,462.2,20561,1.17,0.093313782,0.074270153,0.243758451,2.75561311,0.279941346,0,0.567500143,19.33690084,0.169488298,0,0.14473158,0.209479918,0.125687951,3.206947116,1.477785607,59.56847137,9.836034355,6.056147144,0.165121483,1.440828646,6A-C,Unit 6
LP-1C-70,10.15,464.78,20993,1.21,0.144302884,0.045569332,0.246833881,3.271498282,0.275314713,0.056961665,0.679742533,19.18278998,0.161391384,0.064556553,0,0.039873165,0.159492661,2.849981962,1.49429434,59.5496231,9.732849792,6.118415919,0.163440997,1.443366494,6A-C,Unit 6
LP-1C-71,10.2,467.36,20882,1.28,0.088918528,0.035196917,0.248230892,2.895409581,0.22414879,0.025934571,0.968841466,19.45463303,0.172279649,0.040754326,0,0.479789559,0.087066059,3.049164536,1.665369938,58.27312808,10.26453262,5.677134091,0.176145214,1.459051841,6A-C,Unit 6
