depth,Si,P,S,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Br,Rb,Sr,Zr,Ba,Mo inc,Mo coh
124.1,0.531615437,0.083825595,0.030950804,1.21061703,1.154237728,1.270668035,0.387944174,1.135454631,8.183246552,0.387334064,0.275264072,0.222941992,0.82622379,1.104125855,0.842283984,0.330407312,4.062508304,2.197107194
124.2,0.499538097,0.026121927,0.032246155,1.231305804,1.09084443,1.191757015,0.395004479,1.13388023,8.182917301,0.385716064,0.345707792,5.96E-27,0.884861274,1.07941842,0.868267509,0.334950314,4.095390319,2.193038812
124.3,0.493831475,0.034440669,0,1.207230193,1.067435429,1.150532934,0.399193707,1.150775074,8.251480504,0.403527997,0.30189234,0.04669002,0.858483948,0.989407551,0.811697855,0.324571181,4.054477748,2.15966993
124.4,0.495870671,0.069030861,0,1.23233836,1.058706261,1.150133349,0.388628388,1.122509138,8.279289769,0.341071558,0.319816344,0.18157368,0.839096855,1.017956818,0.780332781,0.33232023,4.03165425,2.131802855
124.5,0.489651354,0.034590192,0.021741905,1.228251383,1.037019004,1.146072945,0.379149936,1.128221849,8.281711934,0.370910484,0.337467357,0.08445109,0.812972443,1.000553219,0.820673999,0.322180691,4.020724528,2.143693796
124.6,0.457990773,0.065116533,0.021741905,1.223091805,1.036803643,1.127894528,0.367886745,1.155079151,8.295054603,0.38160406,0.336734743,0.132901847,0.834446151,0.992001812,0.811051835,0.343141095,4.018594214,2.108992216
124.7,0.46756123,0.052120879,0.074986946,1.228251644,1.028967756,1.11694661,0.375665184,1.161531481,8.252379067,0.382852501,0.378305206,0.08418288,0.865209183,1.036838521,0.777111295,0.365232093,4.047940145,2.151293765
124.8,0.45401193,0.049520973,0.059161651,1.191607349,1.038360659,1.133383548,0.387671764,1.1667712,8.23930278,0.413487517,0.321860407,0.083975994,0.871935052,1.068502042,0.803216605,0.325144031,4.063166078,2.140648459
124.9,0.506086715,0.032322707,0.093239551,1.19052036,1.070640998,1.179544129,0.369571723,1.148870071,8.241354453,0.347509881,0.335456385,0.128490078,0.824118603,1.025739952,0.826227393,0.323381496,4.052539503,2.143211475
125,0.530799481,0.032322707,0.139211294,1.194613669,1.064952395,1.183191816,0.399265569,1.123903109,8.218948686,0.362869767,0.438304466,0.174242422,0.85534189,1.03935853,0.789364519,0.346025983,4.051395718,2.167205225
