ID,depth,mean,kcps,MSE,S,K,Ca,Ti,Mn,Fe,Co,Zn,As,Br,Rb,Sr,Zr,Mo_inc,Mo_coh,inc_coh,coh_inc,TSN_sum,Subunit ,Group
PAT1A_2mm_81,28.2,833,20472.2,1.254,0.0569848,0.0922912,0.495175,0.147419,0.479511,12.5024,0.124,0.0145844,0.102814,0.411166,0.121044,1.14673,2.12579,67.3826,14.147,4.76377,0.209953,1.22665,6C,Unit 6
PAT1A_2mm_86,29.6,882.9,18429,1.354,0.0687654,0.104466,0.523837,0.175694,0.498964,14.353,0.0932624,0.042142,0.100568,0.640984,0.149309,1.23599,1.95326,65.5144,13.7402,4.76929,0.209815,1.26216,6C,Unit 6
PAT1A_2mm_91,31,937.39,20319.9,1.432,0.0905623,0.123067,0.529452,0.163971,0.511657,14.1934,0.156642,0.0246364,0.103044,0.697445,0.152492,1.36129,1.84555,65.2228,14.0416,4.64535,0.21533,1.26187,6C,Unit 6
PAT1A_2mm_96,32.3,989.7,20771.1,1.37,0.0809865,0.131539,0.59579,0.157689,0.599548,12.9035,0.170313,0.0185439,0.140716,0.626085,0.0594697,1.55737,1.77195,66.4711,14.0122,4.74437,0.210821,1.24274,6C,Unit 6
PAT1A_2mm_101,33.5,1037.98,21259.2,1.264,0.0598542,0.139322,0.653702,0.157151,0.613499,15.2334,0.171475,0.00724205,0.119804,0.649465,0.131166,1.58921,1.88589,64.4056,13.5188,4.76567,0.209888,1.28347,6B,Unit 6
PAT1A_2mm_106,34.5,1078.21,20570.1,1.334,0.0716511,0.127772,0.653764,0.184026,0.528887,15.1762,0.177115,0,0.121834,0.554725,0.169055,1.63961,1.92461,64.3113,13.5919,4.73219,0.211351,1.28446,6B,Unit 6
PAT1A_2mm_111,35.5,1118.44,20594.3,1.292,0.0736625,0.162098,0.633202,0.158161,0.523243,15.1953,0.130018,0.00402967,0.0628614,0.500725,0.173317,1.69126,1.9796,64.1598,13.7705,4.66022,0.214639,1.28372,6B,Unit 6
PAT1A_2mm_116,36.5,1158.68,20343,1.226,0.0713465,0.126419,0.625194,0.170229,0.471053,14.1906,0.178499,0.00305361,0.0726474,0.602675,0.263788,1.85094,2.03817,64.57,13.9497,4.6313,0.216087,1.27379,6B,Unit 6
PAT1A_2mm_121,37.5,1198.91,20425.8,1.31,0.0581831,0.171838,0.728554,0.17264,0.503666,15.7318,0.140641,0.0170639,0.106945,0.551734,0.202472,2.23386,1.90063,63.0041,13.8208,4.55827,0.219397,1.30256,6B,Unit 6
PAT1A_2mm_126,38.5,1239.14,18183.8,1.24,0.0680063,0.186078,0.989527,0.217046,0.495149,15.3772,0.171036,0.0142169,0.0992305,0.433745,0.244374,2.9692,1.88319,62.0736,14.0959,4.40509,0.227165,1.31356,6B,Unit 6
PAT1A_2mm_131,39.5,1279.37,18934.3,1.244,0.0570315,0.210901,0.966442,0.201439,0.564814,18.4005,0.215014,0.0266778,0.0928493,0.584567,0.258279,3.2269,2.00665,58.5613,13.8423,4.23292,0.236338,1.38245,6B,Unit 6
PAT1A_2mm_136,40.5,1307.33,17938.8,1.296,0.0636224,0.222342,0.993019,0.23838,0.518883,16.9019,0.198865,0.00528084,0.0820254,0.488052,0.185779,2.92168,2.01225,60.3986,13.8929,4.3511,0.229948,1.34709,6B,Unit 6
PAT1A_2mm_141,41.5,1323.01,16986.6,1.234,0.0552706,0.345794,1.64595,0.271052,0.627653,20.6896,0.155904,0.0833806,0.106623,0.492983,0.289853,4.24527,2.01245,54.576,13.6375,4.00082,0.250374,1.46869,6B,Unit 6
PAT1A_2mm_146,42.5,1338.69,16238.2,1.272,0.0410894,0.405943,2.04697,0.348171,0.637413,23.6145,0.225424,0.0837453,0.0746319,0.300316,0.296815,5.30883,2.0297,50.3685,13.3718,3.76677,0.265647,1.56966,6B,Unit 6
PAT1A_2mm_151,43.5,1354.36,19475.2,1.248,0.0693784,0.232359,1.09592,0.221039,0.677107,16.9672,0.157101,0.0405861,0.0424365,0.552512,0.113953,3.40784,2.03602,59.5719,13.937,4.27756,0.234603,1.36218,6B,Unit 6
PAT1A_2mm_156,44.5,1370.04,20587.5,1.256,0.0785199,0.178028,0.817588,0.237329,0.54171,14.9651,0.166326,0.0335029,0.0628728,0.574374,0.178772,1.95672,1.97993,63.7379,13.7722,4.63097,0.216154,1.29056,6B,Unit 6
PAT1A_2mm_161,45.5,1385.72,21280.1,1.32,0.0647669,0.104677,0.487727,0.196402,0.624815,14.9807,0.185127,0.00742937,0.111045,0.646041,0.155853,0.926169,1.74363,65.5423,13.4507,4.87307,0.205279,1.26633,6B,Unit 6
PAT1A_2mm_166,46.5,1401.4,21700.7,1.294,0.0850178,0.10135,0.383438,0.172174,0.541055,14.9082,0.166421,0.0014122,0.0515844,0.775483,0.14792,0.80925,1.75725,65.9511,13.4735,4.89325,0.204447,1.26103,6A,Unit 6
PAT1A_2mm_171,47.5,1417.08,20855.4,1.388,0.0744115,0.0868685,0.403035,0.144666,0.568436,16.0604,0.167224,0.0270471,0.119503,0.788312,0.211284,0.698093,1.77625,65.1865,12.9333,5.04172,0.198361,1.28184,6A,Unit 6
PAT1A_2mm_176,48.5,1432.75,20372.6,1.374,0.0739317,0.108394,0.403778,0.164069,0.513316,15.4634,0.154175,0.0480275,0.141952,0.743374,0.143923,0.467508,1.90804,65.8738,13.1091,5.02595,0.199002,1.26714,6A,Unit 6
PAT1A_2mm_181,49.5,1448.43,19168,1.504,0.0731744,0.101391,0.389836,0.112416,0.505764,13.1205,0.151455,0.0313561,0.165709,0.702664,0.184221,0.43719,1.76154,67.8247,13.6952,4.95803,0.20187,1.22727,6A,Unit 6
PAT1A_2mm_186,50.6,1464.92,21256.5,1.314,0.064112,0.117941,0.444512,0.13761,0.610045,16.2033,0.131702,0.0414497,0.0897497,0.836022,0.2007,0.634387,1.74214,64.9345,13.1402,4.94251,0.202354,1.28168,6A,Unit 6
PAT1A_2mm_191,51.7,1480.77,19043.2,1.314,0.0894492,0.117817,0.52423,0.179519,0.64661,18.2996,0.126822,0.102461,0.0819249,0.765554,0.178283,0.633478,1.83715,63.0473,12.5945,5.00865,0.199839,1.32289,6A,Unit 6
PAT1A_2mm_196,52.9,1498.07,19211.6,1.286,0.0707424,0.0789144,0.419566,0.102587,0.484823,11.7529,0.111868,0.036342,0.130396,0.702515,0.13894,0.648103,1.86645,68.8542,13.8776,4.9638,0.201563,1.20917,6A,Unit 6
PAT1A_2mm_201,54,1513.92,19048.6,1.264,0.0926169,0.0808178,0.340552,0.0946684,0.433125,10.9967,0.112809,0.0319328,0.225611,0.560077,0.0658879,0.411463,2.15512,69.5848,14.1261,4.93214,0.202849,1.19795,6A,Unit 6
PAT1A_2mm_206,55.2,1531.21,15765.3,1.348,0.0547397,0.0251896,0.106805,0.0597112,0.166848,4.34683,0.124058,0.0351987,0.070248,0.448243,0.0693865,0.721896,2.62106,74.9717,15.4454,4.85745,0.205965,1.10695,6A,Unit 6
PAT1A_2mm_211,56.3,1547.07,19020.8,1.248,0.0601108,0.0402183,0.278995,0.0935165,0.355601,9.83028,0.138264,0.0236045,0.15536,0.496179,0.105316,0.62742,1.93265,70.8201,14.3603,4.93233,0.202802,1.1772,6A,Unit 6
PAT1A_2mm_216,57.4,1562.92,22628.5,1.356,0.0755847,0.0872366,0.423643,0.124197,0.541835,12.6558,0.157329,0.0071124,0.0909429,0.632125,0.131931,0.604259,1.75401,68.4987,13.4102,5.10836,0.195763,1.22106,6A,Unit 6
PAT1A_2mm_221,58.6,1580.21,22923.2,1.288,0.0541778,0.0712559,0.365655,0.122865,0.605043,13.4658,0.0889135,0.00349052,0.0805107,0.840247,0.124233,0.532443,1.76459,67.6921,13.3683,5.06544,0.197446,1.23411,6A,Unit 6
PAT1A_2mm_226,59.7,1596.07,20386.9,1.35,0.0800218,0.0684043,0.286563,0.12085,0.452265,11.413,0.123179,0.0367399,0.0919092,0.607929,0.121155,0.715285,1.97472,69.0401,14.1212,4.89567,0.204359,1.20606,6A,Unit 6
PAT1A_2mm_231,60.9,1613.58,16342.3,1.34,0.0730282,0.0797006,0.411211,0.143538,0.550315,14.2978,0.133773,0.0790676,0.109422,0.601618,0.0314403,0.434587,2.28283,66.4644,13.6259,4.88044,0.204989,1.25256,6A,Unit 6
PAT1A_2mm_266,68.8,1729.35,16936.5,1.294,0.0675943,0.12034,0.526502,0.169335,0.646202,15.1431,0.108755,0.0452192,0.182836,0.658043,0.0765489,0.516034,1.88863,65.6971,13.4296,4.89322,0.204414,1.26528,6A,Unit 6
PAT1A_2mm_271,70,1746.94,18823.7,1.346,0.12655,0.0841135,0.920024,0.13526,0.579721,14.4416,0.155177,0.0314976,0.102182,0.661589,0.0450581,0.533263,1.90607,66.1503,13.3778,4.94716,0.20223,1.2588,6A,Unit 6
PAT1A_2mm_276,71.1,1762.81,21249.8,1.312,0.0543784,0.0729102,0.478915,0.121917,0.574266,14.541,0.0912022,0.0324158,0.105732,0.67561,0.13055,0.626422,1.73688,66.5617,13.5395,4.91612,0.203434,1.25063,6A,Unit 6
PAT1A_2mm_281,72.3,1780.11,22205.5,1.3,0.0806366,0.086311,0.404895,0.14786,0.650685,13.6907,0.19978,0.061139,0.105978,0.785622,0.0371231,0.629612,1.63445,67.5538,13.1347,5.14318,0.194459,1.23966,6A,Unit 6
PAT1A_2mm_286,73.4,1795.98,21708.8,1.422,0.0807088,0.0992532,0.473707,0.166684,0.672948,17.644,0.0720554,0.0251002,0.177171,0.714884,0.183643,0.522504,1.86168,63.8359,12.7879,4.99021,0.200486,1.30777,6A,Unit 6
PAT1A_2mm_291,74.6,1813.29,19477.6,1.342,0.0742292,0.096056,0.460804,0.115493,0.49527,12.8067,0.140627,0.0504063,0.145738,0.588672,0.0461285,0.587895,1.86454,68.0396,13.8871,4.90315,0.204067,1.22112,6A,Unit 6
PAT1A_2mm_296,75.7,1829.16,20416.5,1.312,0.0621772,0.0867109,0.330312,0.149275,0.479514,13.0065,0.123743,0.025156,0.0300929,0.524891,0.103562,0.484263,1.95445,68.3527,13.6874,4.99691,0.200223,1.21927,6A,Unit 6
PAT1A_2mm_301,76.8,1845.02,18972,1.338,0.0595267,0.0654611,0.225019,0.0921021,0.329668,10.3389,0.156617,0.0218136,0.117992,0.557742,0.146114,0.61682,2.08648,70.2121,14.2377,4.93622,0.202762,1.1854,6A,Unit 6
PAT1A_2mm_306,78,1862.33,19966.4,1.252,0.0766948,0.057677,0.259386,0.0996031,0.411853,11.7441,0.133793,0.0195205,0.18921,0.60854,0.135265,0.601138,1.98961,69.1271,13.8544,4.98958,0.200486,1.20621,6A,Unit 6
PAT1A_2mm_311,79.1,1878.2,20157,1.282,0.0635686,0.0728974,0.282221,0.12315,0.446674,12.1002,0.116745,0.0463818,0.103186,0.490905,0.188901,0.600382,1.89681,68.615,14.0893,4.87687,0.205229,1.21099,6A,Unit 6
PAT1A_2mm_316,80.3,1896.18,22870.2,1.382,0.07089,0.0790428,0.31328,0.157017,0.46916,12.853,0.175261,0.0226835,0.109764,0.56498,0.0781353,0.427418,1.9093,68.5227,13.6353,5.02706,0.198951,1.21758,6A,Unit 6
PAT1A_2mm_321,81.4,1914.52,21935.9,1.274,0.0784985,0.0817651,0.312168,0.142037,0.5007,13.1716,0.129699,0.0123692,0.0706039,0.57975,0.0715015,0.571979,1.86242,68.261,13.5684,5.03112,0.198777,1.22267,6A,Unit 6
PAT1A_2mm_326,82.5,1932.85,21243.1,1.32,0.0712791,0.0722644,0.291044,0.139606,0.467885,11.9033,0.160611,0.0257538,0.11264,0.547946,0.109616,0.589582,1.90024,68.8717,13.9283,4.94686,0.202215,1.20805,6A,Unit 6
PAT1A_2mm_331,83.7,1952.86,22485,1.316,0.0682869,0.0696658,0.280551,0.120191,0.422396,11.4495,0.130624,0,0.0913211,0.56198,0.144954,0.533382,1.90632,69.7285,13.739,5.07572,0.19703,1.19968,6A,Unit 6
PAT1A_2mm_336,84.8,1971.2,21967.1,1.334,0.046067,0.0585482,0.276348,0.12456,0.406497,11.6674,0.182126,0.00721278,0.0443426,0.475456,0.0903644,0.509928,1.88887,69.878,13.8093,5.062,0.197583,1.19732,6A,Unit 6
PAT1A_2mm_341,86,1991.2,21748.5,1.362,0.0598109,0.0965227,0.355362,0.159261,0.532459,15.469,0.17161,0,0.087117,0.517416,0.121197,0.509312,1.75905,66.2395,13.214,5.01478,0.199474,1.25896,6A,Unit 6
PAT1A_2mm_346,87.1,2009.54,23413,1.384,0.0743737,0.0892014,0.327475,0.141749,0.50372,14.0488,0.168186,0,0.0715609,0.56781,0.146843,0.558532,1.74364,67.5636,13.2253,5.10939,0.195746,1.23802,6A,Unit 6
PAT1A_2mm_351,88.2,2027.87,23073.6,1.424,0.075011,0.10012,0.40234,0.173496,0.56194,13.1176,0.171168,0.013502,0.135983,0.653923,0.111732,0.53438,1.74792,68.1093,13.4384,5.06916,0.197321,1.22637,6A,Unit 6
PAT1A_2mm_356,89.4,2047.88,22734.5,1.352,0.0722449,0.0781763,0.393665,0.172642,0.587629,13.0887,0.183947,0.00661619,0.164542,0.561944,0.0882522,0.506713,1.84858,68.0149,13.4713,5.04913,0.19807,1.22727,6A,Unit 6
PAT1A_2mm_361,90.5,2065.98,22343.2,1.294,0.0589054,0.0950566,0.436193,0.18839,0.656626,12.3863,0.136128,0,0.153031,0.567072,0.19608,0.782779,1.75818,68.3205,13.6946,4.98965,0.200446,1.2194,6A,Unit 6
PAT1A_2mm_366,91.7,2085.43,23126.9,1.36,0.0556452,0.080535,0.389182,0.15308,0.633407,11.7124,0.105517,0.0242667,0.108618,0.664458,0.234573,0.694106,1.85607,68.9177,13.5875,5.0728,0.197205,1.21228,6A,Unit 6
PAT1A_2mm_371,92.8,2103.26,20927.7,1.266,0.0728263,0.0598273,0.297868,0.133865,0.425044,8.74605,0.127605,0.0135959,0.181593,0.516186,0.0732398,0.808889,2.14285,71.4664,14.2931,5.00255,0.199964,1.16738,6A,Unit 6
PAT1A_2mm_376,93.9,2121.09,19654,1.268,0.0651836,0.0417546,0.247492,0.0918544,0.395436,8.21846,0.0960691,0.0223953,0.177704,0.45259,0.127128,0.631039,2.10558,72.107,14.5968,4.94076,0.202429,1.15399,6A,Unit 6
PAT1A_2mm_381,95.1,2140.54,21363.5,1.342,0.0659965,0.0806953,0.315881,0.134885,0.445933,10.5964,0.105385,0.030635,0.0835141,0.594699,0.177209,0.609094,2.05574,70.1885,13.8903,5.05402,0.197951,1.18959,6A,Unit 6
PAT1A_2mm_386,96.2,2158.37,22064,1.492,0.0499641,0.0813369,0.330815,0.123284,0.494409,11.0019,0.112496,0.00646807,0.102138,0.53957,0.225558,0.572699,1.85534,69.8995,13.905,5.02843,0.198911,1.1936,6A,Unit 6
PAT1A_2mm_391,97.4,2177.82,23153.6,1.386,0.069538,0.0895039,0.412378,0.125684,0.613422,12.7338,0.11658,0.00835901,0.134591,0.638296,0.115649,0.555813,1.79204,68.237,13.6366,5.00532,0.199828,1.2215,6A,Unit 6
PAT1A_2mm_396,98.5,2195.65,23173.1,1.422,0.0606723,0.0894833,0.369206,0.196932,0.557595,12.3634,0.19358,0,0.142625,0.616167,0.112759,0.490544,1.77803,68.8461,13.5078,5.09778,0.1962,1.21432,6A,Unit 6
PAT1A_2mm_401,99.6,2213.48,22705.9,1.26,0.0729066,0.0831187,0.378464,0.132152,0.521384,12.4974,0.231715,0.0164576,0.0693423,0.521956,0.170029,0.603177,1.7677,68.4293,13.7131,4.99157,0.20037,1.21769,6A,Unit 6
PAT1A_2mm_406,100.8,2230.31,23225.7,1.412,0.0879061,0.106346,0.369071,0.161946,0.605923,13.6191,0.133403,0.00248412,0.290883,0.58089,0.161741,0.630179,1.8135,67.3893,13.385,5.03567,0.198621,1.23814,6A,Unit 6
PAT1A_2mm_411,101.9,2244.55,22638.7,1.3,0.0893478,0.0850618,0.355382,0.174979,0.539232,13.3846,0.16697,0.00839043,0.115086,0.545356,0.0575938,0.568199,1.81455,67.6853,13.6636,4.95465,0.201848,1.22977,6A,Unit 6
PAT1A_2mm_416,103.1,2260.08,21969.9,1.298,0.0545044,0.0909014,0.344574,0.158911,0.546953,14.2285,0.146146,0.00223102,0.144601,0.453333,0.106047,0.562148,1.93316,67.3562,13.338,5.05119,0.198011,1.23978,6A,Unit 6
PAT1A_2mm_421,104.2,2274.31,20905,1.304,0.0634969,0.0778467,0.294353,0.111484,0.443573,11.724,0.143397,0.00396,0.148222,0.521944,0.0815794,0.543184,1.96235,69.2488,13.9977,4.95222,0.20208,1.20187,6A,Unit 6
PAT1A_2mm_426,105.4,2289.84,22372.3,1.344,0.0685333,0.105975,0.340756,0.188409,0.514749,13.9488,0.166507,0.017562,0.180045,0.643296,0.198987,0.535325,1.6984,67.3698,13.3787,5.0355,0.19861,1.23934,6A,Unit 6
PAT1A_2mm_431,106.5,2304.08,23482.4,1.25,0.0469241,0.0859621,0.351031,0.164092,0.526654,12.5038,0.212172,0.00496489,0.141097,0.608656,0.11782,0.63392,1.89506,68.4048,13.764,4.97052,0.201233,1.21716,6A,Unit 6
PAT1A_2mm_436,107.6,2318.31,20762.1,1.382,0.0606398,0.0981079,0.347524,0.171061,0.498343,12.4753,0.0920631,0.0100118,0.154202,0.599349,0.108169,0.592098,2.04822,68.2241,13.8444,4.92928,0.202905,1.2193,6A,Unit 6
PAT1A_2mm_441,108.8,2333.84,22671.4,1.454,0.0628223,0.1076,0.364672,0.158541,0.550024,13.4953,0.0810616,0.00499643,0.0670114,0.591969,0.110143,0.427737,1.8998,67.8779,13.4031,5.06689,0.197475,1.23034,6A,Unit 6
PAT1A_2mm_446,109.9,2348.07,22787.9,1.32,0.0619631,0.096329,0.319253,0.172899,0.514776,13.3662,0.111502,0,0.183322,0.624523,0.144357,0.6369,1.844,67.5549,13.6003,4.96848,0.201337,1.23245,6A,Unit 6
PAT1A_2mm_451,111.1,2363.5,22667.6,1.39,0.0599021,0.0925776,0.346936,0.17665,0.534841,14.6802,0.150336,0.0160215,0.214134,0.665319,0.116748,0.793393,1.80355,66.422,13.2427,5.01561,0.199415,1.25632,6A,Unit 6
PAT1A_2mm_456,112.2,2377.64,19849.9,1.26,0.0555539,0.0681828,0.296737,0.0923141,0.49541,12.6862,0.165525,0.0272571,0.123643,0.63567,0.156833,0.57645,2.01384,68.0399,13.8462,4.915,0.203485,1.22179,6A,Unit 6
PAT1A_2mm_461,113.3,2391.78,22267.4,1.32,0.0470297,0.0899352,0.389747,0.152462,0.595024,14.0704,0.117963,0.0142346,0.110527,0.518297,0.102817,0.467818,1.93427,67.229,13.5543,4.96093,0.201609,1.23806,6A,Unit 6
PAT1A_2mm_466,114.5,2407.2,22024.2,1.434,0.0658666,0.063736,0.346536,0.157642,0.615605,11.8359,0.17519,0,0.215262,0.639284,0.129848,0.352545,1.97613,68.9677,13.8212,4.99072,0.200425,1.20801,6A,Unit 6
PAT1A_2mm_471,115.6,2421.33,22947.8,1.42,0.0757142,0.109663,0.403709,0.149414,0.651287,11.6029,0.137119,0.0335824,0.0970487,0.680293,0.139146,0.40652,1.72273,69.6149,13.4803,5.16455,0.193644,1.20363,6A,Unit 6
PAT1A_2mm_476,116.8,2436.75,23098.9,1.336,0.0940643,0.0888929,0.402653,0.148372,0.664097,11.4797,0.108845,0.0449366,0.158182,0.659299,0.0608237,0.641017,1.78612,69.371,13.5492,5.12028,0.195317,1.20611,6A,Unit 6
PAT1A_2mm_481,117.9,2450.89,23406.7,1.366,0.0532254,0.079804,0.432227,0.154459,0.769345,10.7152,0.122274,0.0132011,0.097709,0.805066,0.104116,0.587096,1.91383,69.4111,14.053,4.93943,0.202473,1.19817,6A,Unit 6
PAT1A_2mm_486,119,2465.02,23787.3,1.468,0.0825415,0.114053,0.455057,0.141595,0.786745,12.2886,0.194884,0.0138443,0.0979206,0.891793,0.163013,0.654391,1.65568,68.2672,13.4127,5.091,0.19652,1.22443,6A,Unit 6
PAT1A_2mm_491,120.1,2479.25,23056.8,1.37,0.0519201,0.106845,0.367157,0.186912,0.610782,14.7486,0.18419,0.00999161,0.0656318,0.717428,0.0750888,0.577176,1.89414,66.4332,13.2121,5.02855,0.198885,1.25577,6A,Unit 6
PAT1B-I_2mm_496,121,2491.63,20844.5,1.308,0.0691833,0.0994684,0.274278,0.128032,0.416075,12.5716,0.12555,0.0123919,0.0875155,0.482498,0.194352,0.540977,1.83702,68.8692,13.6048,5.06448,0.197528,1.21289,6A,Unit 6
PAT1B-I_2mm_501,122,2505.38,21711.8,1.364,0.0736569,0.100808,0.297584,0.143283,0.457708,14.5219,0.237915,0,0.058642,0.608168,0.0816086,0.508076,1.79569,66.9676,13.419,4.99401,0.200343,1.24461,6A,Unit 6
PAT1B-I_2mm_506,122.9,2517.76,23431.8,1.414,0.0645522,0.0932557,0.345387,0.161622,0.509706,14.8688,0.183545,0.00863946,0.0931345,0.631554,0.21823,0.496516,1.90803,66.4112,13.3547,4.97329,0.201122,1.25389,6A,Unit 6
PAT1B-I_2mm_511,123.8,2530.13,22907.5,1.43,0.061116,0.104931,0.374092,0.197487,0.536579,15.2199,0.187177,0.00510109,0.0738379,0.726805,0.0889379,0.562104,1.76374,65.897,13.4276,4.90761,0.203801,1.26087,6A,Unit 6
PAT1B-I_2mm_516,124.7,2542.51,22449.8,1.378,0.043161,0.111259,0.366456,0.208776,0.5817,16.0573,0.188005,0.0141975,0.123629,0.700185,0.191157,0.532741,1.811,65.2079,13.2618,4.91739,0.20341,1.27466,6A,Unit 6
PAT1B-I_2mm_521,125.6,2554.89,22706.9,1.41,0.075006,0.122186,0.402137,0.201878,0.595035,16.3084,0.173691,0.029426,0.0302187,0.572477,0.196567,0.593152,1.79074,64.9093,13.1394,4.94116,0.202411,1.28137,6A,Unit 6
PAT1B-I_2mm_526,126.5,2567.27,21297.6,1.308,0.0687225,0.0912581,0.323168,0.142697,0.474553,13.1491,0.0930471,0.0233241,0.0808399,0.534409,0.132451,0.553172,1.94313,68.0144,13.6981,4.96568,0.201401,1.22392,6A,Unit 6
PAT1B-I_2mm_531,127.4,2579.64,20872.6,1.354,0.0635447,0.0664471,0.284856,0.133081,0.404198,11.4895,0.11328,0.031171,0.170341,0.465104,0.144169,0.429278,2.01354,69.3862,14.1141,4.9194,0.203386,1.19781,6A,Unit 6
PAT1B-I_2mm_536,128.3,2592.02,21102.6,1.346,0.0697131,0.0827142,0.319858,0.164642,0.454259,12.2689,0.178279,0.0129412,0.0897578,0.54969,0.0899344,0.389531,2.0069,68.9703,13.6845,5.04053,0.198415,1.21025,6A,Unit 6
PAT1B-I_2mm_541,129.2,2604.4,21006.8,1.382,0.07692,0.0766741,0.292193,0.132854,0.510708,13.4116,0.131186,0.0344966,0.207866,0.507156,0.0828149,0.486962,1.89029,67.9258,13.4889,5.0369,0.198581,1.22918,6A,Unit 6
PAT1B-I_2mm_546,130.1,2616.67,21678.8,1.386,0.0556943,0.0843172,0.348832,0.145217,0.501068,14.4466,0.202072,0.0230119,0.17909,0.594538,0.147042,0.605822,1.8848,67.0353,13.1391,5.10267,0.196018,1.24737,6A,Unit 6
PAT1B-I_2mm_551,131,2628.08,22123.8,1.374,0.0910565,0.0986407,0.374384,0.136953,0.524592,14.31,0.155533,0.00174426,0.126902,0.614827,0.0673054,0.485699,1.83743,66.93,13.4644,4.97172,0.20118,1.24404,6A,Unit 6
