ID,depth,mean_age,kcps,MSE,S,K,Ca,Ti,Mn,Fe,Co,Cu,Zn,As,Br,Rb,Sr,Zr,inc,coh,inc_coh,coh_inc,TSN_sum,Subunit ,Group
PAT1A_2mm_63,22.7,644.14,19946.1,1.22,0.0628765,0.0912723,0.350891,0.144007,0.434051,11.3746,0.0912723,0.127781271,0.0344807,0,0.464475,0,0.997911,2.18242,68.8031,13.8491,4.96807,0.201285302,1.20989,6C,Unit 6
PAT1A_2mm_64,22.95,653.56,20941.7,1.32,0.079201,0.0849962,0.351575,0.135221,0.365097,11.0939,0.129426,0,0.0540885,0.421118,0.477138,0.30135,0.795874,2.10559,69.0363,13.81,4.99902,0.200039174,1.20706,6C,Unit 6
PAT1A_2mm_65,23.25,664.86,20277.8,1.38,0.0401639,0.0763114,0.35545,0.162664,0.39963,11.1856,0.148606,0,0,0.287172,0.459876,0.108442,1.19287,1.84151,69.128,14.0955,4.90426,0.203904366,1.20158,6C,Unit 6
PAT1A_2mm_66,23.55,676.17,20114.3,1.38,0.0487656,0.081276,0.349487,0.113786,0.418572,11.6204,0.0101595,0,0,0.233669,0.65224,0.270243,1.05862,1.84293,68.7108,14.2761,4.81298,0.207771469,1.20501,6C,Unit 6
PAT1A_2mm_67,23.85,687.47,19932.5,1.22,0.0837398,0.0586179,0.351707,0.159106,0.458476,10.2309,0.13189,0,0,0,0.391484,0.0481504,0.986036,2.30075,70.1426,14.0955,4.97624,0.200955081,1.18711,6C,Unit 6
PAT1A_2mm_68,24.1,696.89,20758.8,1.45,0.0748076,0.159458,0.389787,0.102368,0.531527,11.2408,0.179144,0,0.015749,0,0.659488,0.187019,0.816977,2.16745,68.8584,14.1012,4.88315,0.204785865,1.20541,6C,Unit 6
PAT1A_2mm_69,24.35,706.32,21103.6,1.33,0.0847675,0.0946242,0.42778,0.143908,0.415952,12.2065,0.11828,0,0,0.0335127,0.358783,0.134051,0.922586,1.81757,68.4823,14.1897,4.8262,0.20720228,1.2096,6C,Unit 6
PAT1A_2mm_70,24.65,717.62,21343.1,1.2,0.0495739,0.143002,0.484298,0.143002,0.524339,13.5298,0.202109,0,0.0419471,0.29935,0.6273,0.249776,1.22791,1.92003,66.2707,13.8692,4.77825,0.209281584,1.24782,6C,Unit 6
PAT1A_2mm_71,24.95,728.93,21587.2,1.5,0.0778383,0.107491,0.413284,0.170503,0.552281,13.4901,0.218689,0,0.0555988,0.0426257,0.609733,0.324326,1.17499,2.14797,66.2738,13.6143,4.86796,0.205425056,1.25175,6C,Unit 6
PAT1A_2mm_72,25.25,740.23,21813.7,1.18,0.0570052,0.0809106,0.533274,0.134238,0.452364,14.0214,0.0570052,0,0.0165499,0.0974605,0.592119,0.330998,1.25963,1.72854,66.5048,13.4698,4.93734,0.202538296,1.2504,6C,Unit 6
PAT1A_2mm_73,25.5,749.65,20208.8,1.16,0.0567181,0.0830514,0.494257,0.164077,0.476026,12.8304,0.137744,0.012153868,0.0222821,0.00810258,0.435514,0,0.848745,2.33354,67.697,13.9324,4.85897,0.205804907,1.22505,6C,Unit 6
PAT1A_2mm_74,25.75,759.07,20499.2,1.25,0.0238251,0.109198,0.462604,0.182659,0.500328,12.939,0.121111,0,0,0,0.25612,0.184645,0.909326,1.72335,67.9036,14.2057,4.78001,0.209204409,1.21789,6C,Unit 6
PAT1A_2mm_75,26,768.49,20654.3,1.31,0.0826641,0.100378,0.44678,0.123996,0.507794,12.3091,0.230279,0,0,0,0.696741,0,0.838451,1.97803,67.3654,14.3954,4.67966,0.213690946,1.22308,6C,Unit 6
PAT1A_2mm_76,26.25,777.91,20725.1,1.62,0.0234967,0.117484,0.399444,0.142938,0.469934,12.5903,0.162519,0,0.107693,0,0.536508,0.180141,1.13567,1.92477,67.5452,13.8983,4.85996,0.205762987,1.22785,6C,Unit 6
PAT1A_2mm_77,26.55,789.22,21218.7,1.32,0.0947957,0.113755,0.466395,0.159257,0.48725,12.7197,0.0303346,0,0,0.0360224,0.534648,0.128922,1.04086,1.96985,67.7562,13.7833,4.91582,0.203424926,1.2264,6C,Unit 6
PAT1A_2mm_78,26.8,798.64,21434.6,1.25,0.0669844,0.109089,0.426786,0.13971,0.465063,12.9988,0.011483,0,0.120572,0.0210522,0.489943,0.00956919,1.10811,1.4526,68.0465,13.904,4.89401,0.204331318,1.22025,6C,Unit 6
