Code,depth,mean,kcps,MSE,Si,P,S,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,As,Br,Rb,Sr,Zr,Ba,inc,coh,coh_inc,inc_coh,TSN_ sum,Subunit ,Group
LP-1C-189,16.1,867.11,19383.4,1.235,0.124518,0.010934,0.0789837,0.297082,3.98332,0.444934,0.0453598,0.671643,24.3686,0.264563,0.147773,0.00686524,0.023097689,0.413226,0.126709,3.95854,1.51599,0.0279765,52.0711,9.54503,0.183372,5.45431,1.62485,6A-C,Unit 6
LP-1C-193,16.3,883.41,20883.8,1.31,0.0759717,0.0131423,0.0314376,0.270314,4.0554,0.320565,0.0417453,0.688458,26.0853,0.250167,0.0623561,0.0111514,0.025721876,0.49692,0.13191,3.57624,1.32635,0.0229581,51.2936,9.36087,0.182514,5.47997,1.64884,6A-C,Unit 6
LP-1C-197,16.5,899.71,21414.7,1.3525,0.0482234,0.00891368,0.0671574,0.114037,3.75951,0.293887,0.041199,0.887324,25.1432,0.295166,0.162811,0,0,0.435834,0.153746,3.04558,1.28361,0.0196743,53.0555,9.41345,0.177447,5.63855,1.60129,6A-C,Unit 6
LP-1C-201,16.7,916.01,22182.6,1.26,0.0534108,0.0123139,0.0567044,0.12767,3.67832,0.287434,0.0327419,0.921281,25.4722,0.247901,0.216363,0,0,0.445208,0.135447,3.09364,1.3445,0.0191217,52.7996,9.24566,0.175136,5.71158,1.61194,6A-C,Unit 6
LP-1C-205,16.9,932.31,22172.4,1.295,0.0658615,0.0128356,0.0804618,0.119128,3.72347,0.306094,0.0503532,0.805476,25.5311,0.25309,0.148698,0,0,0.402623,0.0523056,3.07283,1.20297,0.0179871,52.7749,9.38686,0.177922,5.62326,1.6091,6A-C,Unit 6
LP-1C-209,17.1,948.61,21521.4,1.3525,0.0417667,0.00843406,0.061329,0.125624,3.71033,0.314524,0.0385297,1.78612,22.6709,0.283698,0.167646,0,0,0.420363,0.092531,3.1699,1.41258,0.0169604,54.3162,9.62815,0.177277,5.64519,1.56404,6A-C,Unit 6
LP-1C-213,17.3,964.91,21114.6,1.29,0.0735124,0.0121774,0.0619257,0.127991,3.41997,0.349008,0.0311088,0.636844,21.9017,0.245115,0.174392,0,0,0.568455,0.0496777,3.30687,1.37718,0.00479047,56.178,9.71111,0.172914,5.78567,1.51812,6A-C,Unit 6
LP-1C-217,17.5,981.21,21699.5,1.24,0.0440864,0.0258894,0.0564294,0.149125,3.51008,0.352107,0.0404464,0.561972,22.2672,0.284929,0.193839,0.00309094,0.03875218,0.404765,0.171725,3.36084,1.49981,0.0097144,55.5305,9.82461,0.17694,5.65262,1.53038,6A-C,Unit 6
LP-1C-221,17.7,997.51,21007.4,1.295,0.0670771,0.014289,0.0582691,0.132003,3.6092,0.335718,0.0342095,0.623402,23.3987,0.267143,0.162514,0.0103312,0.041079384,0.360273,0.142263,3.25411,1.33685,0.0126983,54.7398,9.67553,0.176767,5.65814,1.55276,6A-C,Unit 6
LP-1C-225,17.9,1013.81,20603.6,1.2875,0.0824698,0.0213002,0.0578405,0.153708,3.62713,0.30218,0.0173686,0.724808,24.4822,0.307446,0.178569,0,0.038204394,0.486882,0.15228,3.18819,1.12692,0.0344382,54.0949,9.28283,0.171607,5.82817,1.57853,6A-C,Unit 6
LP-1C-229,18.1,1030.11,19164.2,1.2225,0.073052,0.0178671,0.0747166,0.0947439,3.13541,0.277359,0.0144431,0.512197,21.3549,0.271497,0.165376,0.0502896,0,0.428417,0.0907899,3.19001,1.58633,0.0165653,57.0085,9.93456,0.174283,5.73807,1.49505,6A-C,Unit 6
LP-1C-233,18.3,1046.41,18696,1.24,0.0335986,0.012986,0.0779372,0.0941818,2.59496,0.204862,0.00706859,0.598039,19.353,0.26959,0.141353,0.00717331,0,0.278055,0.0629586,3.45392,1.46552,0.0222074,59.253,10.3083,0.174023,5.75011,1.43819,6A-C,Unit 6
LP-1C-237,18.5,1062.71,20208,1.2375,0.0647244,0.0240018,0.0488099,0.118637,3.41816,0.29428,0.0500964,0.696122,22.8454,0.260615,0.154878,0.00994629,0,0.474847,0.0893535,3.3811,1.45588,0.0180642,55.0882,9.69258,0.17596,5.69195,1.54382,6A-C,Unit 6
LP-1C-241,18.7,1079.01,18625.5,1.1725,0.0608016,0.0103108,0.0627345,0.112924,3.45245,0.332568,0.0350698,0.769617,22.8589,0.298468,0.194904,0.0170128,0,0.553108,0.141896,3.15559,1.31993,0.0127417,55.0561,9.68152,0.175876,5.69195,1.5465,6A-C,Unit 6
LP-1C-245,18.9,1095.31,17117.4,1.1925,0.106259,0.00386126,0.0644748,0.0802232,4.08969,0.339087,0.0295656,0.726754,26.9434,0.32563,0.20566,0,0.020283001,0.540588,0.0481034,3.17988,1.35955,0.0212852,51.0486,8.89961,0.174359,5.73627,1.66846,6A-C,Unit 6
LP-1C-249,19.1,1111.61,18145.1,1.175,0.0787714,0.00314255,0.0476913,0.108254,3.80702,0.348337,0.02424,0.454749,27.108,0.31894,0.193032,0,0.033188854,0.448127,0.166997,2.96008,1.24187,0.0176528,51.417,9.1981,0.178924,5.58916,1.65425,6A-C,Unit 6
LP-1C-253,19.3,1127.91,20726,1.2775,0.0839151,0.00266146,0.0781516,0.146184,3.74531,0.429472,0.0492133,0.550035,25.6174,0.314143,0.19495,0,0,0.512979,0.106066,3.12235,1.35039,0,52.8194,9.14644,0.173125,5.77939,1.61442,6A-C,Unit 6
LP-1C-257,19.5,1144.2,20195.2,1.3125,0.0544501,0.0201874,0.0630108,0.132518,3.62567,0.36589,0.0396677,0.605542,24.6156,0.274563,0.214926,0,0.015094871,0.509013,0.0980085,3.07408,1.38388,0.0276972,53.5409,9.41343,0.175806,5.68957,1.59036,6A-C,Unit 6
LP-1C-261,19.7,1160.5,19701.5,1.2,0.058293,0.0126279,0.0625004,0.12245,3.48214,0.405352,0.0549915,0.734394,21.7197,0.286967,0.211661,0,0.002475762,0.441895,0.0400729,3.067,1.48568,0,56.0524,9.91389,0.176909,5.65454,1.51638,6A-C,Unit 6
LP-1C-265,19.9,1176.8,20328.3,1.2425,0.0633618,0.0330758,0.0852712,0.090456,3.69005,0.277498,0.0507425,0.476603,20.8025,0.272204,0.16458,0,0,0.363142,0.0674291,3.12628,1.29673,0.0219071,57.0753,10.2434,0.179455,5.57673,1.48606,6A-C,Unit 6
LP-1C-269,20.1,1193.1,21021.6,1.235,0.080752,0.0117821,0.0437747,0.0936937,3.37172,0.338569,0.0266863,0.43259,21.2326,0.306368,0.148494,0,0.014775414,0.512507,0.10769,3.23498,1.35275,0.0186581,56.764,10.0269,0.176621,5.66313,1.49738,6A-C,Unit 6
LP-1C-273,20.3,1209.4,21266,1.2775,0.0655444,0.00433526,0.0501177,0.106083,3.60672,0.386433,0.0336314,0.452885,22.1599,0.300345,0.221428,0,0.013966413,0.496529,0.0608129,3.2782,1.46066,0.0493528,55.2871,9.95124,0.180016,5.55629,1.53358,6A-C,Unit 6
LP-1C-277,20.5,1225.7,20840,1.2525,0.0654298,0.0342257,0.0586603,0.12294,3.285,0.401999,0.0584612,0.612239,19.1345,0.32694,0.159928,0,0.031604352,0.403227,0.155976,3.078,1.39471,0.025485,58.4559,10.2962,0.176132,5.67869,1.45453,6A-C,Unit 6
LP-1C-281,20.7,1242,21118.6,1.2625,0.0835532,0.0131008,0.0757693,0.118276,3.58179,0.511531,0.0667269,0.646449,21.8645,0.290077,0.289763,0,0,0.48036,0.194804,3.11051,1.3543,0.0207275,55.4362,9.90099,0.178586,5.59984,1.53091,6A-C,Unit 6
LP-1C-285,20.9,1258.3,21187.2,1.2675,0.103287,0.0131152,0.0594938,0.116433,3.37015,0.525471,0.057903,0.488795,22.317,0.356396,0.203172,0.00739102,0.035405486,0.447291,0.192388,3.14783,1.53042,0.0206299,55.1606,9.79991,0.177663,5.63014,1.53998,6A-C,Unit 6
LP-1C-289,21.1,1288.52,21398,1.29,0.0801629,0.0139222,0.0548988,0.141093,3.34884,0.456085,0.0466636,0.468697,21.4761,0.307699,0.219383,0,0,0.428372,0.0950699,3.07124,1.45156,0.0257275,56.262,10.2238,0.181696,5.5055,1.50473,6A-C,Unit 6
LP-1C-293,21.3,1332.66,21659.7,1.3175,0.0846852,0.0238414,0.0684355,0.125375,3.51382,0.480561,0.0828989,0.419988,21.3791,0.331006,0.197091,0,0.091406859,0.398551,0.0465233,3.14347,1.59081,0.00722635,56.0225,10.0081,0.178656,5.59848,1.5146,6A-C,Unit 6
LP-1C-297,21.5,1376.8,21446.3,1.315,0.0577748,0.0102543,0.0654014,0.141884,3.60384,0.512429,0.0351453,0.404363,21.9743,0.259288,0.18848,0,0.006607389,0.464766,0.105288,3.19936,1.56117,0.0173069,55.5259,10.0137,0.180322,5.54626,1.52673,6A-C,Unit 6
LP-1C-301,21.7,1420.94,21656.3,1.2225,0.0990982,0.0104369,0.0450886,0.129478,3.21667,0.490195,0.0492306,0.576419,20.8313,0.303449,0.232686,0.0118201,0.021142912,0.524039,0.186894,3.05805,1.61282,0.00726045,56.4157,10.1835,0.180552,5.53915,1.50228,6A-C,Unit 6
LP-1C-305,21.9,1465.08,21399.8,1.3175,0.0873982,0.0074353,0.0748714,0.138663,3.70687,0.462603,0.0378765,0.52351,22.638,0.336061,0.277871,0.0285987,0,0.460605,0.0545293,2.9651,1.24918,0.00734946,55.0395,9.85764,0.179112,5.58383,1.54095,6A-C,Unit 6
LP-1C-309,22.1,1509.21,21373.2,1.325,0.0808879,0.020443,0.075572,0.152009,3.75117,0.485975,0.0419402,0.526621,25.0191,0.264286,0.16335,0,0.020715275,0.460172,0.181517,3.0093,1.37268,0.0127376,52.5138,9.73877,0.185513,5.39384,1.60653,6A-C,Unit 6
LP-1C-313,22.3,1553.35,21218.7,1.265,0.097953,0.0285417,0.0566096,0.141597,3.71183,0.428358,0.0384947,0.428501,24.5089,0.330668,0.243526,0,0.011177331,0.527265,0.178379,3.10659,1.4896,0.0233503,52.9037,9.85124,0.186218,5.3708,1.59372,6A-C,Unit 6
LP-1C-317,22.5,1597.49,21213.8,1.36,0.119817,0.0142677,0.0722011,0.179083,3.66178,0.55314,0.0476664,0.458938,24.4177,0.311976,0.256067,0,0,0.43705,0.215414,3.14767,1.45156,0.0396314,52.8856,9.83817,0.186003,5.38026,1.59455,6A-C,Unit 6
LP-1C-321,22.7,1641.63,20294.6,1.25,0.0951166,0.0229819,0.073942,0.202263,3.67997,0.663901,0.0653392,0.44174,25.0873,0.291842,0.225721,0,0,0.333584,0.153544,3.43076,1.51511,0.0295463,51.3992,10.077,0.196087,5.10301,1.62668,6A-C,Unit 6
LP-1C-325,22.9,1685.77,20079.9,1.2325,0.144344,0.0138849,0.057851,0.198017,3.62166,0.641665,0.0652857,0.544137,26.1231,0.287829,0.270429,0,0.014133343,0.410887,0.178224,3.82314,1.67016,0.0309025,50.0651,9.96019,0.198952,5.02739,1.66601,6A-C,Unit 6
LP-1C-329,23.1,1729.91,19334.4,1.23,0.109616,0.0112861,0.0743846,0.206706,3.22204,0.610289,0.051716,0.538652,25.0136,0.267225,0.283071,0.00779285,0.01318628,0.412625,0.258733,3.78993,1.56717,0.0491762,51.455,10.0628,0.195607,5.11292,1.62771,6A-C,Unit 6
LP-1C-333,23.3,1774.05,18459.1,1.18,0.12651,0.0086506,0.0665792,0.165448,2.86112,0.584905,0.0446258,0.632062,23.7789,0.253428,0.22593,0.0501491,0,0.553351,0.120393,3.78337,1.54355,0.0422747,52.929,10.2285,0.193296,5.1754,1.5845,6A-C,Unit 6
LP-1C-337,23.5,1818.19,17805.9,1.25,0.118434,0.0125564,0.0805195,0.232872,3.47953,0.597579,0.0413601,0.457032,26.3844,0.267274,0.280936,0.082122,0.072742833,0.396181,0.198536,4.25,1.46605,0.0555294,49.2086,10.1556,0.206457,4.84494,1.6863,6A-C,Unit 6
LP-1C-341,23.7,1862.33,17385.4,1.23,0.0904134,0.0259756,0.0535869,0.193081,3.72359,0.429711,0.063166,0.503543,24.8036,0.259384,0.209241,0.00905797,0,0.359788,0.348212,4.38358,1.80698,0.0116461,49.9325,10.4803,0.209923,4.76617,1.65596,6A-C,Unit 6
LP-1C-345,23.9,1906.47,18054,1.265,0.0966679,0.0168501,0.0572266,0.190505,3.86321,0.533149,0.0210081,0.456657,27.6095,0.257337,0.159382,0.0263155,0,0.521185,0.270105,4.25435,1.67438,0.025622,47.721,9.99995,0.20959,4.77389,1.73267,6A-C,Unit 6
LP-1C-349,24.1,1950.6,19465.1,1.285,0.078409,0.0105112,0.0687712,0.192551,3.54429,0.504902,0.0370144,0.467501,25.6701,0.268271,0.246015,0,0,0.400249,0.262469,3.9123,1.51711,0.0164515,50.919,10.0562,0.19751,5.0661,1.6405,6A-C,Unit 6
LP-1C-353,24.3,1994.74,20291.5,1.2875,0.0818907,0.007102,0.0407318,0.167375,3.74766,0.498352,0.0408361,0.440289,26.4203,0.294001,0.219918,0,0,0.491634,0.264578,3.66185,1.35605,0.0199111,50.4793,9.68527,0.191849,5.2127,1.66255,6A-C,Unit 6
