Section,Section_depth_min,section_depth_max,Stratigraphic_depth_(min),min_age,max_age,median_age,SH20_mean_age,LOI550_data_sed_rate_,GRD_wet_density,WMAR_wet_mass_accumulation_rate,Water_content_0C_7_days,Dry_weight,Dry_density,DMAR_dry_mass_accumulation_rate,LOI_550_(2_hrs_ramp;_4_hrs_dwell),LOI_950_(2_hrs_ramp;_2_hrs_dwell),LOI950_x1.36_carbonate_proxy,LOI_550_Wet_flux,Carb_Wet_flux,LOI_Dry_flux,Carb_Dry_flux,TOC_NIGL,N_NIGL,C/N,N/C,d13C,Age_offset_T,Age_offset_exp_1.79xT,Old_carbon_age_offset_Bertrand,TOC_NIGL_wet_flux,TOC_NIGL_dry_flux,N_NIGL_wet_flux,N_NIGL_dry_flux,TOC_BAS,N_BAS,TC_BAS,ITRAX_sample_surface,validity,Total_counts_per_second),MSE,inc+coh,inc/coh,coh/inc,TSN_ratio_sum_(TSN_=_Total_Scatter_Normalised),Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Br,Rb,Sr,Zr,Sn,Cs,Ba,Ta,W,Ir,Pt,Pb,Mo_inc,Mo_coh,SUM,Br/Ti,Sr/Ti,Mn/Ti,Ca/Ti,Fe/Mn,LnBr/Ti,LnSr/Ti,LnMn/Ti,LnCa/Ti,LnFe/Mn
LP08-1A,76,77,94.5,1977.14,2297.65,2139.43,2140.68,0.072805139,1.0032,0.069966769,79.3460925,17.4343953,0.174901854,0.012198283,46.01814516,3.427419355,4.661290323,0.033610786,0.002398055,0.005613424,0.000418086,27.208,2.569,10.5908914,0.094420759,-29.43443437,-1.815768471,0.038765463,6.56,0.019036559,0.003318909,0.001797446,0.000313374,26.6,2.578962,24.34523,8,1,21363.46563,1.342,43571.8,5.054018761,0.197856758,1.159657523,0.030508888,0,0.061017777,0,0.020339259,0.014237481,0.077289184,0.042712444,0.233901477,0,0.134239108,0.012203555,0.360004881,9.478094618,0.040678518,0,0,0,0.038644592,0.065085628,0.433226213,0.384411992,0.170849774,0.412886954,1.708497742,0,0,0,0,0,0.030508888,0.018305333,0,71.71012488,14.52223081,100,2.863636364,3.075757576,2.681818182,1.742424242,26.32768365,1.052092273,1.123551237,0.986494991,0.555277386,3.270620996
LP08-1A,80,81,97.9,2078.59,2318.19,2182.12,2189.43,0.071539658,1.14915,0.086050627,78.44058652,18.58412351,0.213559455,0.015991755,44.43866944,3.17047817,4.311850312,0.03653294,0.002728216,0.007106523,0.000507015,26.646,2.534,10.51539069,0.095098701,-29.97601794,-1.864192964,0.035546791,6.02,0.02292905,0.004261163,0.002180523,0.000405231,26.1,2.549816,23.9822,8,1,22705.87852,1.26,45198,4.991571137,0.20038244,1.252401059,0.033190092,0.043671174,0.026202704,0,0.083848653,0.012227929,0.050658561,0.090836041,0.414002725,0,0.138000908,0,0.773853195,14.03416833,0.047164867,0,0,0,0,0.312685602,0.373825245,0.572965797,0.202634245,0.681270307,1.928519023,0,0,0,0.132760368,0.047164867,0,0,0.153722531,66.8500856,12.99654124,100,4.151898734,4.936708861,5.607594937,3,18.13544019,1.423565756,1.596698887,1.724121918,1.098612289,2.897868045
LP08-1A,84,85,102.5,2152.33,2373.42,2241.83,2250.86,0.069984448,1.0362,0.08270486,77.78903687,18.71997214,0.193976351,0.015482327,45.27421237,2.95604823,4.020225593,0.032831901,0.002444796,0.007009501,0.000457665,26.996,2.641,10.22188565,0.097829308,-30.38145978,-2.059236289,0.025071264,4.24,0.022327004,0.004179609,0.002184235,0.000408888,25.2,2.425003,23.76037,7.76,1,20904.98984,1.304,42792.4,4.952219992,0.201939173,1.231536883,0.040340969,0.049110745,0.043848879,0.026309328,0.080681938,0.045602834,0.014031641,0.122776862,0.335005437,0,0.128038727,0.040340969,0.449012523,13.43354264,0.133300593,0,0.033325148,0,0,0.042094924,0.26133932,0.689304381,0.259585365,0.517416775,1.813589645,0,0,0,0,0.008769776,0,0.075420072,0.157855965,67.55358333,13.64577121,100,5.383561644,4.04109589,3.506849315,2.616438356,29.91796877,1.683350171,1.396515915,1.254718003,0.961813987,3.398459262
LP08-1A,88,89,107,2174.7,2493.57,2300.95,2307.24,0.070987654,1.1179,0.088722222,77.43984256,18.82724471,0.210469769,0.01670395,46.75040961,1.856908793,2.525395958,0.037099769,0.001647491,0.007809165,0.000310177,26.096,2.442,10.68632269,0.09357756,-29.8513538,-1.755539984,0.043178328,7.31,0.023152951,0.004359063,0.002166597,0.00040791,25.9,2.470151,23.86641,7.75,1,22671.42188,1.454,44896,5.066892063,0.197475742,1.249562607,0.019014364,0,0.031114415,0.025928679,0.063957408,0.039757308,0.082971772,0.127914816,0.350901454,0,0.140014866,0.058771672,0.568702356,14.18471591,0.091614665,0,0,0,0.067414565,0.242001003,0.23335811,0.554873727,0.262743946,0.675874229,1.885879241,0.044943043,0.010371472,0.006914314,0.006914314,0.067414565,0,0.070871722,0.057043093,66.72486215,13.30314083,100,3.962962963,4.827160494,4.061728395,2.50617284,24.94224925,1.376991968,1.574258405,1.401608596,0.918756825,3.216563122
LP08-1A,92,93,111.6,2200.18,2608.76,2353.14,2365.2,0.071762871,1.0748,0.084384366,78.47971716,17.57517135,0.188897942,0.014830697,49.19642857,2.098214286,2.853571429,0.037945566,0.001770565,0.007296173,0.00031118,30.152,2.782,10.83824587,0.092265853,-29.4731963,-1.661846644,0.05106247,8.64,0.025443574,0.004471752,0.002347573,0.00041259,28.4,2.716142,26.2251,7.93,1,22267.38086,1.32,44275.2,4.960929092,0.201595788,1.220568652,0,0,0.021055049,0.013398668,0.078477911,0,0.135900773,0.053594671,0.331138504,0,0.187581349,0.059336957,0.557001761,13.10006891,0.007656382,0.059336957,0.034453717,0,0,0.19140954,0.040196003,0.780950923,0.222035066,0.277543833,1.799249675,0,0,0,0.019140954,0,0.042110099,0.038281908,0.021055049,67.89104969,14.03797565,100,4.163265306,1.479591837,2.969387755,1.765306122,23.51890035,1.426299696,0.391766264,1.088355788,0.568324116,3.157804368
LP08-1A,96,97,116.2,2232.27,2679.31,2414.93,2423.79,0.072093023,1.08755,0.085373639,75.32986989,20.45326264,0.222439458,0.017461695,49.40251572,2.51572327,3.421383648,0.038733928,0.002147765,0.008626516,0.000439288,28.71,2.613,10.98737084,0.091013584,-29.29905828,-1.572398866,0.059929047,10.14,0.024510772,0.005013253,0.002230813,0.000456274,28.9,2.68284,26.60298,7.81,1,23406.68476,1.366,46434,4.93943178,0.202479852,1.216091954,0.02724842,0.020436315,0.034060526,0,0.071527104,0.037466578,0.035763552,0.103884603,0.454708016,0,0.154975391,0.023842368,0.77317393,11.40516698,0.137945128,0,0,0,0,0,0.357635518,0.848107086,0.442786832,0.653962091,1.742195882,0,0,0,0.056199867,0.05960592,0.032357499,0.039169604,0.257156968,68.62174083,13.60888299,100,5.472527473,4.21978022,4.989010989,2.934065934,14.75110132,1.699740571,1.439783046,1.607237692,1.076389152,2.691317746
LP08-1B,1,2,119.3,2249.68,2735.36,2451.19,2463.28,0.0703125,1.00255,0.077367203,79.86135355,16.79025288,0.16833068,0.012990149,44.52812549,3.01251753,4.09702384,0.031388676,0.002330701,0.00578427,0.000391331,25.205,2.392,10.53720736,0.094901805,-29.71382056,-1.850128943,0.036453026,6.17,0.019500403,0.003274167,0.001850623,0.000310724,25.7,2.458714,23.04045,8,1,23046.94336,1.25,44838,4.994385027,0.200224851,1.274700031,0.033242936,0.057737731,0.040241449,0,0.01924591,0,0.075234013,0.085731782,0.318432333,0,0.208205756,0.013997026,0.533636602,15.94786108,0.206456128,0.024494795,0,0.012247397,0,0,0.159216167,0.70160091,0,0.778584551,1.809115563,0,0,0,0.033242936,0.026244423,0.092730295,0.124223602,0.248447205,65.36261045,13.08721897,100,3.369747899,3.739495798,2.56302521,1.529411765,29.88524591,1.214837934,1.318950789,0.941188283,0.424883194,3.397364911
LP08-1B,5,6,122.9,2292.29,2777.99,2499.23,2509.93,0.070175439,1.1375,0.087425278,79.06373626,17.33206977,0.197152294,0.01515261,44.83344663,2.889191027,3.929299796,0.035788102,0.002525883,0.006793437,0.000437788,26.943,2.569,10.48773842,0.095349441,-30.40420548,-1.882102958,0.034425273,5.83,0.023554993,0.004082568,0.002245955,0.000389271,25.9,2.534882,23.61638,8,1,23183.09531,1.392,45719,4.953950524,0.201904371,1.248366157,0,0.026529421,0.051290214,0,0.068976495,0,0.047752958,0.120266709,0.408553085,0,0.214003997,0.017686281,0.443925647,14.71321696,0.277674608,0,0,0,0,0.049521586,0.114960825,0.841866964,0.063670611,0.371411896,1.926035974,0,0,0,0.019454909,0.007074512,0.014149025,0.042447074,0.05482747,66.5870784,13.51762438,100,3.933884298,1.73553719,2.074380165,1.909090909,33.14342629,1.369627309,0.551316985,0.729662393,0.646627165,3.500844395
LP08-1B,9,10,126.5,2331.16,2816.56,2551.09,2556.77,0.069679849,1.05505,0.081140823,79.35168949,17.10764065,0.180494163,0.01388128,44.64285714,2.976190476,4.047619048,0.03281952,0.002414905,0.006197,0.000413133,26.797,2.497,10.73167801,0.093182073,-30.34443903,-1.727290901,0.045417821,7.69,0.021743306,0.003719767,0.002026086,0.000346616,25.6,2.444058,23.80807,7.93,1,21320.82891,1.294,43135.4,4.934320122,0.202735861,1.207572298,0.023633213,0.035449819,0.039388688,0.013786041,0.066960769,0.045296991,0.116196628,0.08074681,0.358437057,0.009847172,0.147707578,0.055144163,0.39585631,11.92098629,0.185126832,0.027572081,0,0,0,0,0.137860406,0.47660312,0.108318891,0.368284229,2.384985032,0,0,0,0,0.013786041,0,0.104380022,0.072869072,69.00898062,13.80179612,100,3.226666667,2.493333333,2.68,2.426666667,30.11442786,1.171449613,0.913620503,0.985816795,0.886518574,3.405004388
LP08-1B,13,14,130.2,2359.51,2883.85,2600.5,2604.88,0.073921971,1.0669,0.083063149,77.82828756,18.17442247,0.193902913,0.015096248,47.98870854,2.893436838,3.9350741,0.037847423,0.00240338,0.007244494,0.0004368,29.118,2.625,11.09257143,0.090150422,-29.53506211,-1.510744459,0.066921661,11.33,0.024186328,0.004395725,0.002180408,0.000396276,27.1,2.540407,26.12601,7.92,1,22080.31133,1.378,43632.8,5.045564952,0.198374073,1.238493624,0.054195297,0.038710926,0.019355463,0,0.106455047,0,0.090970676,0.090970676,0.365818252,0,0.11032614,0.019355463,0.532275235,13.85851156,0.180005807,0,0,0,0.044517565,0.278718668,0.307751863,0.615503726,0.092906223,0.485822123,1.854253363,0,0,0.013548824,0.01548437,0.025162102,0,0.056130843,0,67.41701345,13.32623633,100,5.578947368,4.403508772,4.824561404,3.315789474,26.03636361,1.719000115,1.482401671,1.57371983,1.198695747,3.259494161
LP08-1B,17,18,133.8,2414.44,2917.81,2648.31,2651.12,0.070881226,1.8912,0.147281223,77.68189509,17.86245975,0.337814839,0.026308049,49.94724625,2.658788774,3.615952733,0.066954571,0.003915897,0.013140146,0.000699475,30.245,2.808,10.7710114,0.092841792,-29.55501046,-1.702985145,0.047437444,8.03,0.044545206,0.007956869,0.004135657,0.00073873,28.4,2.670759,26.01585,7.86,1,22834.81289,1.386,44699.8,4.976725227,0.201032839,1.21709449,0.054953384,0.054953384,0.070112939,0.017054499,0.072007883,0.032214053,0.113696657,0.123171379,0.382778746,0,0.109906769,0.045478663,0.631016448,12.45357386,0.166755097,0,0,0,0,0.009474721,0.083377549,0.740923217,0,0.270977033,2.097703328,0,0,0.009474721,0.096642159,0,0,0,0.200864095,68.27105283,13.89183658,100,6.74137931,2.465517241,5.74137931,3.482758621,19.73573573,1.908264549,0.90240162,1.747699479,1.247824687,2.982430989
LP08-1B,21,22,136.5,2441.23,2947.79,2684.91,2685.79,0.070866142,1.15955,0.090307632,73.87779742,21.59603568,0.250416832,0.019502869,51.43209877,2.444444444,3.324444444,0.042263213,0.00220752,0.010030735,0.000476737,29.69,2.727,10.88742208,0.091849107,-29.66001027,-1.632079103,0.05385707,9.12,0.026812336,0.005790402,0.002462689,0.000531843,29.4,2.708118,27.19816,7.74,1,22793.41524,1.382,44884.6,5.024561091,0.199039371,1.343260291,0,0,0.034360325,0,0.1096258,0,0.058903415,0.153803361,0.435230787,0,0.150530949,0.042541355,0.926092577,19.89953695,0.217615393,0,0,0,0,0,0.229068835,0.816466777,0,0.580853118,1.464404339,0,0,0.031087913,0,0,0,0.1096258,0.294517074,62.39180588,12.05392935,100,5.423913043,3.858695652,6.152173913,2.891304348,21.48763249,1.690817519,1.350329212,1.816805501,1.061707732,3.067477537
LP08-1B,25,26,137.5,2449.31,2962.07,2698.58,2698.63,0.079120879,1.081,0.083528654,75.56891767,19.84206648,0.214492739,0.016573811,52.153757,2.858798532,3.887966003,0.044606936,0.002387916,0.008643865,0.000473812,30.051,2.619,11.4742268,0.087151842,-29.97601937,-1.296560133,0.098190811,16.62,0.025101196,0.004980596,0.002187615,0.000434068,30.1,2.767637,28.19767,7.75,1,21917.94023,1.382,42876.2,5.049497088,0.198034022,1.169300335,0.01455362,0.045739948,0.037423593,0.043660859,0.091479895,0.020790885,0.089400807,0,0.270281509,0.024949062,0.114349869,0.060293567,0.372156846,9.709343424,0.26820242,0,0,0,0,0,0.170485259,0.332654164,0.074847187,0.469874007,1.883654206,0,0.008316354,0,0.076926276,0.058214479,0,0.024949062,0.216225207,71.07779949,14.443428,100,2.909090909,4.109090909,3.254545455,2.363636364,26.08938551,1.06784063,1.413201814,1.180052621,0.860201265,3.261528546
LP08-1B,29,30,144.7,2556.36,3041.1,2788.25,2791.81,0.072978304,1.1488,0.088424381,78.46883705,17.46230536,0.200606964,0.015440935,49.39641109,2.805872757,3.815986949,0.041412704,0.002481076,0.007627268,0.000433253,29.624,2.738,10.81957633,0.092425061,-32.02843971,-1.673218626,0.050033558,8.47,0.026194839,0.004574223,0.00242106,0.000422773,27.6,2.522355,26.39235,7.74,1,23271.69063,1.394,45396.6,5.066206147,0.197527738,1.20113773,0.028878364,0,0,0,0.046205383,0,0.036579261,0.109737784,0.308035886,0,0.119363906,0.04042971,0.514034885,12.29833276,0.132840476,0.011551346,0,0,0.059681953,0.317662008,0.069308074,0.379269185,0,0.423549343,1.694197374,0,0,0,0.111663009,0,0,0.044280159,0,68.94228178,14.31211736,100,3.177419355,3.548387097,4.306451613,2.580645161,23.92509364,1.156069344,1.266493161,1.460114273,0.94803943,3.174927851
LP08-1B,33,34,148.4,2603.92,3082.84,2837.96,2839.88,0.071856287,1.030171429,0.081044955,78.90503661,17.3247659,0.178474788,0.014040849,49.44029851,2.845149254,3.869402985,0.036597832,0.00230585,0.006941838,0.000399483,27.797,2.555,10.87945205,0.091916394,-32.16294334,-1.636885275,0.053395722,9.04,0.022528066,0.003902935,0.002070699,0.000358744,28.4,2.602804,25.7489,7.67,1,22176.78594,1.386,44284.4,5.032115618,0.198702888,1.235549992,0.049803363,0.060107507,0.036064504,0.05152072,0.042933933,0.015456216,0.02576036,0.036064504,0.254168885,0,0.109910869,0,0.523793986,13.62036099,0.14769273,0.020608288,0,0.070411651,0,0,0.149410088,0.542684916,0.125367085,0.419035189,2.134675162,0,0,0,0,0.084150509,0.048086005,0.182039877,0.314276391,67.76520291,13.17041337,100,4.9375,3.8125,4.765625,2.3125,26.00327868,1.59685913,1.338285142,1.561428693,0.83832919,3.258222633
LP08-1B,37,38,152,2672.9,3115.77,2881.41,2885.64,0.071146245,1.12895,0.090436582,75.77394924,20.09999487,0.226918892,0.018177748,50.38969841,2.40596408,3.272111149,0.040473285,0.002175872,0.009159713,0.00043735,29.295,2.64,11.09659091,0.090117768,-30.70013923,-1.508411967,0.067201654,11.37,0.026493397,0.005325171,0.002387526,0.000479893,28.9,2.737503,27.3922,7.76,1,22878.84961,1.428,44455,5.092648552,0.196615936,1.256322934,0.039808163,0,0.05876443,0.036016909,0.090990086,0.030330029,0.10046822,0.066346938,0.280552765,0,0.161128277,0.015165014,0.56110553,15.34509886,0.125111368,0,0,0.04739067,0,0.145963263,0.231266468,0.411351013,0.14785889,0.367751597,1.715542244,0,0,0,0,0,0.020851895,0.109946354,0.293822152,66.59905598,12.99831289,100,2.552941176,2.282352941,3.482352941,1.741176471,27.34797296,0.937246097,0.825206902,1.247708198,0.554561018,3.308642411
LP08-1B,41,42,155.6,2740.37,3156.69,2923.55,2930.58,0.068901304,0.982857143,0.078747757,77.46511628,18.18303187,0.178713228,0.01431873,51.69409487,2.097450791,2.852533075,0.035007313,0.001651695,0.007401938,0.000300328,28.567,2.724,10.48715125,0.09535478,-31.43797732,-1.882484285,0.034401783,5.82,0.022495872,0.004090432,0.002145089,0.000390042,29.6,2.788552,27.30282,7.78,1,22510.74922,1.572,44117,5.027484056,0.198974877,1.260643911,0.01708292,0,0.042707301,0.044415593,0.063206806,0.020499505,0.06662339,0.117872151,0.456113977,0,0.148621408,0,0.915644539,15.1269261,0.317742321,0.022207797,0.047832177,0.029040965,0,0,0,0.510779323,0,0.33311695,1.928661724,0,0,0,0,0,0.015374628,0.138371656,0.312617445,66.26123202,13.0633093,100,3.436781609,2.24137931,6.16091954,3.068965517,16.52052238,1.234535455,0.80709144,1.818226042,1.12134054,2.804603389
