LP16_M1H_BACON_SH20M1H,,,,,,,,,,,,,
Strat_depth,95%CI_min,95%CI_max,median_age,SH20M1Hmean_age,mean 95%,Unit ,95%CI_min_nearest_10_years,95%CI_max_nearest_10_years,median_age_nearest_10_years,SH20M1Hmean_age_nearest_10_years,mean_min_95%CI_err.,max_mean_95%CI_nearest_10_years,mean_95%CI_nearest_10_years
88,12644.57,13502.21,13123.31,13129.25,428.82,2,12640,13500,13120,13130,490,370,430
89,12652.58,13531.47,13132.18,13140.53,439.445,2,12650,13530,13130,13140,490,390,440
90,12661.17,13567.66,13140.83,13151.81,453.245,2,12660,13570,13140,13150,490,420,460
91,12673.67,13598.35,13148.57,13163.08,462.34,2,12670,13600,13150,13160,490,440,470
92,12678.32,13623.17,13161.54,13175.13,472.425,2,12680,13620,13160,13180,500,440,470
93,12681.42,13642.6,13173.46,13187.18,480.59,2,12680,13640,13170,13190,510,450,480
94,12686.98,13663,13184.58,13199.22,488.01,2,12690,13660,13180,13200,510,460,490
95,12692.47,13693.99,13195.74,13211.27,500.76,2,12690,13690,13200,13210,520,480,500
96,12698.48,13713.08,13207.89,13223.32,507.3,2,12700,13710,13210,13220,520,490,510
97,12704.63,13733.09,13216.26,13235.36,514.23,2,12700,13730,13220,13240,540,490,520
98,12710.21,13752.72,13228.03,13247.41,521.255,2,12710,13750,13230,13250,540,500,520
99,12715.66,13770.57,13238.08,13259.46,527.455,2,12720,13770,13240,13260,540,510,530
100,12722.67,13817.57,13249.77,13271.5,547.45,2,12720,13820,13250,13270,550,550,550
101,12730.38,13853.87,13259.84,13283.55,561.745,2,12730,13850,13260,13280,550,570,560
102,12741.37,13885.98,13273.48,13295.6,572.305,2,12740,13890,13270,13300,560,590,580
103,12752.97,13903.67,13283.06,13307.64,575.35,2,12750,13900,13280,13310,560,590,580
104,12768.34,13925.18,13296.56,13319.69,578.42,2,12770,13930,13300,13320,550,610,580
105,12779.06,13965.39,13306.34,13331.74,593.165,2,12780,13970,13310,13330,550,640,600
106,12790.14,14009.6,13315.68,13343.78,609.73,2,12790,14010,13320,13340,550,670,610
107,12805.57,14039.6,13325.55,13355.83,617.015,2,12810,14040,13330,13360,550,680,620
108,12816.17,14067.51,13334.79,13367.88,625.67,2,12820,14070,13330,13370,550,700,630
109,12828.89,14095,13342.84,13379.92,633.055,2,12830,14100,13340,13380,550,720,640
110,12841.69,14126.53,13351.81,13391.97,642.42,2,12840,14130,13350,13390,550,740,650
110.00001,19830.8,20784.77,20410.81,20383.46,476.985,hiatus,19830,20780,20410,20380,550,400,480
111,19981.7,20803.35,20448.25,20438.45,410.825,hiatus,19980,20800,20450,20440,460,360,410
112,20124.42,20818.94,20490.54,20493.44,347.26,hiatus,20120,20820,20490,20490,370,330,350
113,20265.77,20840.73,20533.56,20548.43,287.48,hiatus,20270,20840,20530,20550,280,290,290
114,20367.77,20864.19,20580.16,20603.43,248.21,hiatus,20370,20860,20580,20600,230,260,250
115,20423.34,20926.42,20635.37,20658.42,251.54,1B,20420,20930,20640,20660,240,270,260
116,20447.52,21023.33,20693.79,20713.41,287.905,1B,20450,21020,20690,20710,260,310,290
117,20470.02,21175.58,20747.28,20768.4,352.78,1B,20470,21180,20750,20770,300,410,360
118,20485.02,21337.46,20795.17,20823.39,426.22,1B,20490,21340,20800,20820,330,520,430
119,20495.11,21493.59,20837.14,20878.38,499.24,1B,20500,21490,20840,20880,380,610,500
120,20507.39,21655.56,20880.97,20933.38,574.085,1B,20510,21660,20880,20930,420,730,580
121,20519.7,21823.77,20919.41,20988.37,652.035,1B,20520,21820,20920,20990,470,830,650
122,20579.49,21893.46,20997.87,21065.63,656.985,1B,20580,21890,21000,21070,490,820,660
123,20623.66,21974.64,21078.7,21142.89,675.49,1B,20620,21970,21080,21140,520,830,680
124,20654.91,22086.31,21161.33,21220.15,715.7,1B,20650,22090,21160,21220,570,870,720
125,20684.69,22187.3,21237.87,21297.4,751.305,1B,20680,22190,21240,21300,620,890,760
126,20707.37,22318.86,21317.11,21374.66,805.745,1B,20710,22320,21320,21370,660,950,810
127,20737.23,22495.64,21393.67,21451.92,879.205,1B,20740,22500,21390,21450,710,1050,880
128,20759.25,22656.43,21462.91,21529.18,948.59,1B,20760,22660,21460,21530,770,1130,950
129,20781.61,22826.37,21530.57,21606.44,1022.38,1B,20780,22830,21530,21610,830,1220,1030
130,20805.93,23004.4,21592.51,21683.7,1099.235,1B,20810,23000,21590,21680,870,1320,1100
131,20823.13,23215.6,21660.48,21760.96,1196.235,1B,20820,23220,21660,21760,940,1460,1200
132,20922.4,23277.26,21747.07,21846.85,1177.43,1B,20920,23280,21750,21850,930,1430,1180
133,20987.56,23342.4,21849.85,21932.74,1177.42,1B,20990,23340,21850,21930,940,1410,1180
134,21044.08,23422.08,21941.02,22018.63,1189,1B,21040,23420,21940,22020,980,1400,1190
135,21106.58,23480.86,22042.91,22104.52,1187.14,1B,21110,23480,22040,22100,990,1380,1190
136,21143.45,23587.97,22131.19,22190.41,1222.26,1B,21140,23590,22130,22190,1050,1400,1230
137,21182.09,23673.82,22230.82,22276.3,1245.865,1B,21180,23670,22230,22280,1100,1390,1250
138,21215.13,23805,22323.34,22362.19,1294.935,1B,21220,23810,22320,22360,1140,1450,1300
139,21247.18,23942.07,22407.09,22448.08,1347.445,1B,21250,23940,22410,22450,1200,1490,1350
140,21276.51,24123.95,22483.52,22533.97,1423.72,1B,21280,24120,22480,22530,1250,1590,1420
141,21304.86,24315.66,22567.46,22619.86,1505.4,1B,21300,24320,22570,22620,1320,1700,1510
142,21425.66,24380.49,22653.28,22710.19,1477.415,1B,21430,24380,22650,22710,1280,1670,1480
143,21548.32,24438.95,22743.31,22800.52,1445.315,1B,21550,24440,22740,22800,1250,1640,1450
144,21634.94,24500.49,22835.15,22890.85,1432.775,1B,21630,24500,22840,22890,1260,1610,1440
145,21709.47,24561.79,22928.54,22981.18,1426.16,1B,21710,24560,22930,22980,1270,1580,1430
146,21771.43,24628.3,23031.18,23071.51,1428.435,1B,21770,24630,23030,23070,1300,1560,1430
147,21827.89,24721.56,23124.22,23161.85,1446.835,1B,21830,24720,23120,23160,1330,1560,1450
148,21876.91,24836.4,23209.91,23252.18,1479.745,1B,21880,24840,23210,23250,1370,1590,1480
149,21925.11,24981.07,23320.94,23342.51,1527.98,1B,21930,24980,23320,23340,1410,1640,1530
150,21972.33,25112.21,23408.18,23432.84,1569.94,1B,21970,25110,23410,23430,1460,1680,1570
151,22010.22,25296.51,23492.94,23523.17,1643.145,1B,22010,25300,23490,23520,1510,1780,1650
152,22139.65,25325.6,23580.11,23602.02,1592.975,1B,22140,25330,23580,23600,1460,1730,1600
153,22262.91,25358.77,23659.88,23680.87,1547.93,1B,22260,25360,23660,23680,1420,1680,1550
154,22354.73,25392.29,23741.71,23759.72,1518.78,1B,22350,25390,23740,23760,1410,1630,1520
155,22448.27,25449.54,23816.25,23838.56,1500.635,1B,22450,25450,23820,23840,1390,1610,1500
156,22547.29,25512.91,23898.79,23917.41,1482.81,1B,22550,25510,23900,23920,1370,1590,1480
157,22613.42,25572.85,23967.92,23996.26,1479.715,1B,22610,25570,23970,24000,1390,1570,1480
158,22674.18,25649.66,24039.48,24075.11,1487.74,1B,22670,25650,24040,24080,1410,1570,1490
159,22730.49,25724.49,24109.66,24153.96,1497,1B,22730,25720,24110,24150,1420,1570,1500
160,22786.6,25812.71,24172.32,24232.81,1513.055,1B,22790,25810,24170,24230,1440,1580,1510
161,22853.14,25932.77,24256.94,24311.66,1539.815,1B,22850,25930,24260,24310,1460,1620,1540
162,22912.35,25947.8,24299.58,24355.9,1517.725,1B,22910,25950,24300,24360,1450,1590,1520
163,22980.15,25959.02,24346.72,24400.14,1489.435,1B,22980,25960,24350,24400,1420,1560,1490
164,23026.83,25969.73,24400.1,24444.38,1471.45,1B,23030,25970,24400,24440,1410,1530,1470
165,23086.26,25981.37,24451.17,24488.62,1447.555,1B,23090,25980,24450,24490,1400,1490,1450
166,23134.04,25993.07,24502.58,24532.86,1429.515,1B,23130,25990,24500,24530,1400,1460,1430
167,23179.49,26002,24547.45,24577.1,1411.255,1B,23180,26000,24550,24580,1400,1420,1410
168,23215.47,26009.71,24599.53,24621.34,1397.12,1B,23220,26010,24600,24620,1400,1390,1400
169,23259.32,26018.21,24651.59,24665.58,1379.445,1B,23260,26020,24650,24670,1410,1350,1380
170,23298.23,26029.82,24705.53,24709.82,1365.795,1B,23300,26030,24710,24710,1410,1320,1370
171,23327.74,26039.34,24752.71,24754.06,1355.8,1B,23330,26040,24750,24750,1420,1290,1360
172,23425.66,26057.28,24792.56,24797.93,1315.81,1B,23430,26060,24790,24800,1370,1260,1320
173,23526.63,26065.07,24837.01,24841.81,1269.22,1B,23530,26070,24840,24840,1310,1230,1270
174,23626.51,26078.15,24882.84,24885.68,1225.82,1B,23630,26080,24880,24890,1260,1190,1230
175,23695.53,26089.83,24931.06,24929.55,1197.15,1B,23700,26090,24930,24930,1230,1160,1200
176,23787.84,26103.58,24976.27,24973.43,1157.87,1B,23790,26100,24980,24970,1180,1130,1160
177,23850.53,26116.22,25025.66,25017.3,1132.845,1B,23850,26120,25030,25020,1170,1100,1140
178,23891.83,26131.57,25079.11,25061.17,1119.87,1B,23890,26130,25080,25060,1170,1070,1120
179,23925.98,26142.5,25131.66,25105.05,1108.26,1B,23930,26140,25130,25110,1180,1030,1110
180,23959.35,26164.85,25176.52,25148.92,1102.75,1B,23960,26160,25180,25150,1190,1010,1100
181,24009.39,26187.86,25220.06,25192.79,1089.235,1B,24010,26190,25220,25190,1180,1000,1090
182,24108.44,26200.78,25261.46,25235.14,1046.17,1B,24110,26200,25260,25240,1130,960,1050
183,24224.32,26211.94,25306.91,25277.49,993.81,1B,24220,26210,25310,25280,1060,930,1000
184,24320.15,26222.04,25339.12,25319.84,950.945,1B,24320,26220,25340,25320,1000,900,950
185,24363.62,26235.78,25379.76,25362.2,936.08,1B,24360,26240,25380,25360,1000,880,940
186,24431.93,26248.12,25432.33,25404.55,908.095,1B,24430,26250,25430,25400,970,850,910
187,24484.1,26264.23,25477.1,25446.9,890.065,1A,24480,26260,25480,25450,970,810,890
188,24523.02,26276.35,25524.77,25489.25,876.665,1A,24520,26280,25520,25490,970,790,880
189,24569.69,26290.46,25569.15,25531.6,860.385,1A,24570,26290,25570,25530,960,760,860
190,24609.45,26302.01,25614.65,25573.95,846.28,1A,24610,26300,25610,25570,960,730,850
191,24662.88,26325.37,25657.66,25616.3,831.245,1A,24660,26330,25660,25620,960,710,840
192,24783.69,26331,25689.13,25656.93,773.655,1A,24780,26330,25690,25660,880,670,780
193,24877.3,26344.55,25720.75,25697.57,733.625,1A,24880,26340,25720,25700,820,640,730
194,25001.09,26356.18,25755.76,25738.2,677.545,1A,25000,26360,25760,25740,740,620,680
195,25114,26370.11,25788.43,25778.84,628.055,1A,25110,26370,25790,25780,670,590,630
196,25209.98,26385.39,25819.66,25819.47,587.705,1A,25210,26390,25820,25820,610,570,590
197,25285.18,26395.25,25856.49,25860.11,555.035,1A,25290,26400,25860,25860,570,540,560
198,25349.98,26415.97,25893.73,25900.74,532.995,1A,25350,26420,25890,25900,550,520,540
199,25412.81,26435.23,25927.1,25941.37,511.21,1A,25410,26440,25930,25940,530,500,520
200,25462.6,26480.19,25967.82,25982.01,508.795,1A,25460,26480,25970,25980,520,500,510
201,25500.25,26516.23,26009.63,26022.64,507.99,1A,25500,26520,26010,26020,520,500,510
202,25562.48,26534.45,26027.67,26047.97,485.985,1A,25560,26530,26030,26050,490,480,490
203,25641.67,26548.42,26048.54,26073.3,453.375,1A,25640,26550,26050,26070,430,480,460
204,25713.09,26564.82,26071.46,26098.62,425.865,1A,25710,26560,26070,26100,390,460,430
205,25780.37,26578.37,26094.56,26123.95,399,1A,25780,26580,26090,26120,340,460,400
206,25839.57,26602.27,26117.53,26149.28,381.35,1A,25840,26600,26120,26150,310,450,380
207,25881.41,26623.1,26141.15,26174.6,370.845,1A,25880,26620,26140,26170,290,450,370
208,25904.48,26637.03,26164.3,26199.93,366.275,1A,25900,26640,26160,26200,300,440,370
209,25925.42,26646.37,26191.46,26225.26,360.475,1A,25930,26650,26190,26230,300,420,360
210,25944.27,26664.54,26221.72,26250.58,360.135,1A,25940,26660,26220,26250,310,410,360
211,25955.77,26697.26,26253.88,26275.91,370.745,1A,25960,26700,26250,26280,320,420,370
212,25970.69,26713.91,26268.71,26290.26,371.61,1A,25970,26710,26270,26290,320,420,370
213,25987.02,26725.55,26285.33,26304.62,369.265,1A,25990,26730,26290,26300,310,430,370
214,25999.48,26737.76,26300.68,26318.97,369.14,1A,26000,26740,26300,26320,320,420,370
215,26011.33,26750.08,26316.02,26333.33,369.375,1A,26010,26750,26320,26330,320,420,370
216,26023.32,26765.58,26332.64,26347.68,371.13,1A,26020,26770,26330,26350,330,420,380
217,26028.7,26785.56,26349.26,26362.04,378.43,1A,26030,26790,26350,26360,330,430,380
218,26034.87,26805.39,26366.41,26376.39,385.26,1A,26030,26810,26370,26380,350,430,390
219,26040.84,26825.62,26380.8,26390.75,392.39,1A,26040,26830,26380,26390,350,440,400
220,26046.11,26843.54,26395.98,26405.1,398.715,1A,26050,26840,26400,26410,360,430,400
221,26055.54,26866.04,26412.9,26419.46,405.25,1A,26060,26870,26410,26420,360,450,410
222,26080.2,26875.91,26426.52,26434.12,397.855,1A,26080,26880,26430,26430,350,450,400
223,26093.21,26886.22,26440.73,26448.79,396.505,1A,26090,26890,26440,26450,360,440,400
224,26107.55,26905.02,26456.06,26463.45,398.735,1A,26110,26910,26460,26460,350,450,400
225,26114.94,26914.59,26473.09,26478.12,399.825,1A,26110,26910,26470,26480,370,430,400
226,26124.82,26935.38,26487.58,26492.78,405.28,1A,26120,26940,26490,26490,370,450,410
227,26132.62,26942.66,26502.64,26507.45,405.02,1A,26130,26940,26500,26510,380,430,410
228,26141.56,26951.81,26518.48,26522.11,405.125,1A,26140,26950,26520,26520,380,430,410
229,26147.43,26972.77,26531.51,26536.78,412.67,1A,26150,26970,26530,26540,390,430,410
230,26155.09,26994.45,26547.19,26551.44,419.68,1A,26160,26990,26550,26550,390,440,420
231,26162.63,27017.46,26560.59,26566.11,427.415,1A,26160,27020,26560,26570,410,450,430
232,26177.04,27030.84,26575.35,26580.4,426.9,1A,26180,27030,26580,26580,400,450,430
233,26196.16,27040.79,26589.13,26594.69,422.315,1A,26200,27040,26590,26590,390,450,420
234,26209.87,27053.01,26603.22,26608.98,421.57,1A,26210,27050,26600,26610,400,440,420
235,26222.19,27064.03,26616.74,26623.27,420.92,1A,26220,27060,26620,26620,400,440,420
236,26235.87,27077.74,26631.13,26637.56,420.935,1A,26240,27080,26630,26640,400,440,420
237,26244.97,27087.72,26645.11,26651.85,421.375,1A,26240,27090,26650,26650,410,440,430
238,26255.14,27108.43,26659.63,26666.14,426.645,1A,26260,27110,26660,26670,410,440,430
239,26265.92,27130.3,26674.36,26680.43,432.19,1A,26270,27130,26670,26680,410,450,430
240,26273.81,27148.37,26690.51,26694.72,437.28,1A,26270,27150,26690,26690,420,460,440
241,26280.4,27166.61,26704.65,26709.02,443.105,1A,26280,27170,26700,26710,430,460,450
242,26300.86,27173.71,26720.13,26723.21,436.425,1A,26300,27170,26720,26720,420,450,440
243,26321.74,27187.89,26734.77,26737.4,433.075,1A,26320,27190,26730,26740,420,450,440
244,26334.88,27197.49,26749.04,26751.6,431.305,1A,26330,27200,26750,26750,420,450,440
245,26348.59,27207.71,26763.42,26765.79,429.56,1A,26350,27210,26760,26770,420,440,430
246,26360.21,27219.89,26778.74,26779.99,429.84,1A,26360,27220,26780,26780,420,440,430
247,26370.54,27229.45,26792.78,26794.18,429.455,1A,26370,27230,26790,26790,420,440,430
248,26378.5,27240.89,26807.68,26808.38,431.195,1A,26380,27240,26810,26810,430,430,430
249,26393.04,27257.52,26821.42,26822.57,432.24,1A,26390,27260,26820,26820,430,440,440
250,26403.62,27278.34,26836.18,26836.76,437.36,1A,26400,27280,26840,26840,440,440,440
251,26407.94,27293.97,26853.26,26850.96,443.015,1A,26410,27290,26850,26850,440,440,440
252,26427.74,27299.52,26866.83,26866,435.89,1A,26430,27300,26870,26870,440,430,440
253,26448.74,27306.56,26881.28,26881.04,428.91,1A,26450,27310,26880,26880,430,430,430
254,26463.35,27313.29,26897.86,26896.08,424.97,1A,26460,27310,26900,26900,440,410,430
255,26482.56,27326.21,26913.47,26911.11,421.825,1A,26480,27330,26910,26910,430,420,430
256,26491.85,27338.72,26928.46,26926.15,423.435,1A,26490,27340,26930,26930,440,410,430
257,26506.42,27347.66,26944.49,26941.19,420.62,1A,26510,27350,26940,26940,430,410,420
258,26521.01,27359.3,26961.19,26956.23,419.145,1A,26520,27360,26960,26960,440,400,420
259,26532.79,27376.28,26977.06,26971.27,421.745,1A,26530,27380,26980,26970,440,410,430
260,26545.24,27394.31,26990.57,26986.31,424.535,1A,26550,27390,26990,26990,440,400,420
261,26553.06,27419.46,27006.6,27001.35,433.2,1A,26550,27420,27010,27000,450,420,440
262,26577.48,27429.96,27019.53,27015.74,426.24,1A,26580,27430,27020,27020,440,410,430
263,26602.79,27439.21,27032.79,27030.14,418.21,1A,26600,27440,27030,27030,430,410,420
264,26628.62,27447.09,27048.89,27044.54,409.235,1A,26630,27450,27050,27040,410,410,410
265,26648.95,27457.2,27062.31,27058.93,404.125,1A,26650,27460,27060,27060,410,400,410
266,26667.8,27467.05,27075.33,27073.33,399.625,1A,26670,27470,27080,27070,400,400,400
267,26680.75,27485.13,27087.76,27087.72,402.19,1A,26680,27490,27090,27090,410,400,410
268,26696,27495.43,27101.4,27102.12,399.715,1A,26700,27500,27100,27100,400,400,400
269,26714.66,27511.72,27113.8,27116.52,398.53,1A,26710,27510,27110,27120,410,390,400
270,26727.49,27525.41,27128.3,27130.91,398.96,1A,26730,27530,27130,27130,400,400,400
271,26737.87,27546.06,27142.67,27145.31,404.095,1A,26740,27550,27140,27150,410,400,410
272,26764.6,27557.87,27156.55,27159.79,396.635,1A,26760,27560,27160,27160,400,400,400
273,26784.27,27563.78,27172.33,27174.28,389.755,1A,26780,27560,27170,27170,390,390,390
274,26802.31,27570.15,27186.3,27188.76,383.92,1A,26800,27570,27190,27190,390,380,390
275,26820.12,27576.6,27199.83,27203.24,378.24,1A,26820,27580,27200,27200,380,380,380
276,26839.51,27583.12,27213.84,27217.72,371.805,1A,26840,27580,27210,27220,380,360,370
277,26853.66,27593.17,27228.94,27232.21,369.755,1A,26850,27590,27230,27230,380,360,370
278,26867.65,27604.42,27246.12,27246.69,368.385,1A,26870,27600,27250,27250,380,350,370
279,26886.09,27615.51,27261.54,27261.17,364.71,1A,26890,27620,27260,27260,370,360,370
280,26899.55,27627.55,27277.22,27275.66,364,1A,26900,27630,27280,27280,380,350,370
281,26909.95,27639.99,27291.33,27290.14,365.02,1A,26910,27640,27290,27290,380,350,370
282,26940.12,27650.52,27303.9,27305.28,355.2,1A,26940,27650,27300,27310,370,340,360
283,26970.47,27657.46,27318.52,27320.42,343.495,1A,26970,27660,27320,27320,350,340,350
284,26996.97,27665.34,27332.1,27335.56,334.185,1A,27000,27670,27330,27340,340,330,340
285,27025.07,27673.01,27346.19,27350.7,323.97,1A,27030,27670,27350,27350,320,320,320
286,27050.89,27682.78,27362.23,27365.84,315.945,1A,27050,27680,27360,27370,320,310,320
287,27073.98,27698.36,27379.05,27380.98,312.19,1A,27070,27700,27380,27380,310,320,320
