C:\Data\BAS_sjro\Oct_2017\LP1C    22/11/2017  re-evaluated data (mislabelled as 1B when run)																																																					
peakarea																																																					
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Se	Br	Rb	Sr	Y	Zr	Sn	I	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	D1	S1	S2	S3	Mo inc	Mo coh
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000018.spe	39.5	6.76	1	0.018375	-0.020997	0.007453	0.109368	20716	1.27	0	0	0	0	30	19	107	34	1150	83	0	6	670	5532	18	194	151	21	0	0	183	0	818	0	810	0	0	0	0	207	343	32	76	0	43	40	0	0	77	100	0	0	37126	5587
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000019.spe	40	6.75	1	0.018374	-0.020997	0.007492	0.109368	20607	1.31	34	46	24	0	50	11	117	47	1253	71	0	14	661	5915	0	182	54	0	0	0	437	0	881	0	881	7	0	0	0	171	279	0	67	0	0	98	28	16	59	74	14	2.62796E+15	36850	5442
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000020.spe	40.5	6.74	1	0.018374	-0.020997	0.007568	0.109368	20567	1.3	0	14	9	22	53	15	107	50	1306	52	0	34	665	6379	0	212	136	0	0	86	354	111	745	0	764	0	28	0	0	144	264	9	112	72	0	95	156	57	32	100	0	0	36727	5409
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000021.spe	41	6.74	1	0.018375	-0.020997	0.007545	0.109368	20220	1.41	0	26	0	17	16	0	134	62	1274	4	0	8	692	5433	56	168	163	0	0	30	289	0	813	0	807	7	0	0	6	150	277	0	79	0	0	0	0	0	0	49	0	2.58991E+13	36701	5608
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000022.spe	41.5	6.73	1	0.018378	-0.020997	0.007482	0.109368	19717	1.25	0	39	22	9	44	24	132	29	1227	76	8	19	674	5203	0	139	79	66	0	94	249	9	866	5	831	7	0	0	0	230	222	8	0	0	0	10	39	0	0	115	30	7.68305E+13	35376	5099
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000023.spe	42	6.73	1	0.018379	-0.020997	0.007506	0.109368	19523	1.33	0	35	20	0	19	0	156	68	1092	96	5	0	479	5256	6	159	97	0	0	40	347	101	930	0	685	0	0	0	0	181	249	0	49	19	0	70	61	0	25	35	22	1.19635E+15	35574	5256
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000024.spe	42.5	6.72	1	0.018378	-0.020997	0.007558	0.109368	18589	1.34	0	0	11	6	46	11	119	34	966	55	0	6	613	3877	0	114	115	0	10	121	285	22	962	0	832	0	0	0	0	133	145	0	70	55	0	0	32	31	117	63	9	1.17673E+15	34645	5276
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000025.spe	43	6.72	1	0.018378	-0.020997	0.007558	0.109368	18573	1.34	0	0	0	0	45	0	147	45	925	88	35	0	484	4375	15	202	143	83	0	0	324	0	802	0	691	0	13	0	0	160	284	57	99	28	0	131	44	0	0	63	0	0	33925	5056
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000026.spe	43.5	6.71	1	0.018379	-0.020997	0.007572	0.109368	19018	1.41	23	25	40	10	46	15	121	74	1029	42	14	9	585	4702	0	172	125	16	0	16	316	0	740	0	663	0	0	0	0	210	253	0	80	45	32	0	17	0	44	101	38	5.41268E+14	34343	5245
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000027.spe	44	6.71	1	0.018374	-0.020997	0.007663	0.109368	19284	1.27	0	7	41	22	48	36	108	36	1000	22	11	27	544	5358	24	177	149	0	0	0	322	34	814	0	915	12	0	0	8	223	264	42	42	26	0	6	37	11	60	54	0	2.9768E+14	34483	5196
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000028.spe	44.5	6.7	1	0.018375	-0.020997	0.007644	0.109368	19110	1.31	0	0	23	0	34	9	96	49	1286	38	7	35	488	6019	23	153	154	14	0	20	136	27	1016	0	762	0	11	0	35	237	273	0	91	0	20	48	54	93	0	85	0	1.77475E+15	33608	5200
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000029.spe	45	6.7	1	0.018374	-0.020997	0.007604	0.109368	19407	1.33	0	20	26	0	40	0	116	44	1155	71	22	0	438	5129	56	146	130	0	0	23	255	0	829	0	776	0	0	0	0	238	352	17	35	0	0	0	141	102	59	53	23	0	34355	4932
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000030.spe	45.5	6.7	1	0.018372	-0.020997	0.007421	0.109368	19601	1.29	0	12	6	5	44	10	96	42	1136	84	0	17	456	5270	0	174	126	0	0	57	270	30	949	0	699	12	0	0	0	166	234	0	94	41	0	97	147	4	0	94	7	0	34002	5371
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000031.spe	46	6.71	1	0.018371	-0.020997	0.007335	0.109368	19624	1.27	13	36	24	9	68	19	108	37	1285	89	0	28	562	6221	30	160	207	28	74	126	245	76	744	0	859	0	0	0	0	278	328	37	25	68	0	0	26	0	0	50	14	1.21019E+15	33766	5211
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000032.spe	46.5	6.71	1	0.018372	-0.020997	0.007324	0.109368	19117	1.36	0	25	47	24	41	13	138	75	1606	78	0	58	626	7618	0	213	75	0	0	0	228	39	988	0	776	4	0	7	16	260	273	0	42	0	0	84	0	0	6	112	0	5.33712E+14	32334	4968
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000033.spe	47	6.71	1	0.018369	-0.020997	0.007262	0.109368	18946	1.29	16	0	35	0	34	8	116	70	1461	111	8	0	728	8084	0	186	54	0	0	25	167	28	910	0	705	0	0	0	0	219	302	0	69	0	0	55	82	0	57	92	0	0	31448	4781
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000034.spe	47.5	6.7	1	0.018368	-0.020997	0.007357	0.109368	18601	1.25	45	30	27	17	65	7	104	57	1452	68	0	36	754	7845	0	103	112	0	0	48	375	0	1059	0	748	0	0	0	6	222	241	0	10	0	0	137	66	30	143	119	33	1.84619E+14	31093	5093
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000035.spe	48	6.7	1	0.018368	-0.020997	0.007419	0.109368	18128	1.24	0	0	34	26	48	0	125	40	1195	58	0	11	648	6734	0	135	55	8	0	153	264	94	1063	0	708	0	0	0	0	251	278	4	0	0	14	41	54	0	0	95	0	0	30704	5109
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000036.spe	48.5	6.69	1	0.018365	-0.020997	0.00753	0.109368	18433	1.18	59	37	56	0	49	6	115	64	1442	69	0	0	625	7546	41	129	59	0	5	0	396	106	1340	0	751	0	0	0	0	227	269	0	0	28	0	4	0	39	62	97	30	9.21878E+14	31079	5245
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000037.spe	49	6.67	1	0.018365	-0.020997	0.007484	0.109368	18300	1.19	35	48	22	9	29	13	100	69	1361	84	0	15	634	7065	8	157	115	0	0	57	249	89	1434	0	904	0	0	0	10	139	294	0	91	0	0	187	48	35	75	122	0	1.99633E+15	31258	5298
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000038.spe	49.5	6.66	1	0.018366	-0.020997	0.007484	0.109368	18950	1.21	0	14	41	11	42	0	101	78	1246	108	0	9	592	7643	0	111	13	0	0	134	289	352	1430	0	728	0	0	0	0	340	234	10	0	55	0	158	199	0	0	132	21	0	31828	5439
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000039.spe	50	6.65	1	0.018365	-0.020997	0.007456	0.109368	19722	1.23	21	55	58	36	56	17	128	115	1565	99	12	23	740	9035	76	142	95	0	0	0	201	87	1620	0	530	0	0	5	20	206	341	0	129	0	17	42	0	0	0	60	15	0	32562	5575
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000040.spe	50.5	6.65	1	0.018366	-0.020997	0.007476	0.109368	19579	1.29	0	0	26	16	39	0	117	83	1613	166	42	9	837	9974	29	160	116	0	0	12	237	89	1396	0	748	0	5	0	0	247	320	0	0	0	0	0	65	0	116	70	15	2.91181E+14	31776	5463
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000041.spe	51	6.64	1	0.018365	-0.020997	0.007476	0.109368	19425	1.33	33	10	31	7	58	0	88	106	1757	162	16	0	934	9357	46	179	31	0	0	0	388	35	1508	0	753	0	0	0	0	238	336	22	48	111	0	56	126	0	15	80	11	0	31530	5310
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000042.spe	51.5	6.64	1	0.018366	-0.020997	0.007457	0.109368	18112	1.38	0	41	51	25	50	5	103	70	1123	86	0	13	510	6533	45	133	79	0	0	0	288	200	1514	0	532	0	15	0	0	192	274	0	67	0	0	123	0	0	124	25	5	7.28683E+14	30778	5266
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000043.spe	52	6.66	1	0.018369	-0.020997	0.007423	0.109368	18377	1.21	43	42	68	22	23	14	97	62	1176	134	0	16	560	7448	27	185	130	5	107	0	215	18	1502	71	673	0	0	0	0	220	254	0	36	12	15	0	75	0	19	87	6	7.05334E+14	31623	5377
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000044.spe	52.5	6.67	1	0.01837	-0.020997	0.007411	0.109368	18523	1.4	54	75	96	16	32	14	126	83	1599	224	38	15	543	7957	0	161	72	0	0	0	230	0	1421	0	697	0	0	0	0	206	319	0	74	0	0	62	0	23	63	133	27	0	31089	5058
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000045.spe	53	6.68	1	0.018372	-0.020997	0.007434	0.109368	18230	1.52	30	35	29	15	50	0	109	72	1480	128	0	13	552	7421	100	180	89	13	0	107	232	0	1232	0	920	0	0	0	0	231	307	4	22	60	0	213	109	117	0	54	18	0	30746	5157
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000046.spe	53.5	6.69	1	0.018375	-0.020997	0.007479	0.109368	18214	1.25	0	0	43	0	27	0	133	107	1456	183	0	0	476	7534	95	153	92	0	0	0	151	98	1274	0	602	0	0	0	0	185	269	0	59	0	0	41	75	0	39	0	0	0	30603	5178
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000047.spe	54	6.7	1	0.018377	-0.020997	0.007495	0.109368	18511	1.41	0	12	33	0	23	9	134	99	1450	196	0	24	480	8066	0	218	49	41	0	0	420	67	1381	0	634	0	0	0	0	236	347	0	56	0	0	0	0	0	126	154	0	1.00356E+15	31250	5110
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000048.spe	54.5	6.7	1	0.018373	-0.020997	0.007591	0.109368	18376	1.33	14	17	64	25	45	0	128	99	1592	145	13	23	495	8291	85	193	8	0	0	84	196	0	1444	0	801	0	0	0	16	227	296	0	0	51	14	20	98	0	42	36	15	0	30687	5378
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000049.spe	55	6.7	1	0.018374	-0.020997	0.007571	0.109368	18051	1.4	37	7	46	6	37	16	116	119	1463	188	9	20	523	8523	14	129	88	0	0	86	319	0	1309	0	801	0	0	0	11	218	323	0	48	0	0	82	93	114	0	64	23	3.42652E+14	30089	5396
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000050.spe	55.5	6.7	1	0.018375	-0.020997	0.007538	0.109368	17810	1.37	8	0	49	12	34	0	118	89	1572	219	38	17	615	8297	0	149	114	0	47	0	175	124	1340	0	780	0	0	0	0	183	301	0	101	32	0	0	0	68	78	146	0	0	29617	4973
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000051.spe	56	6.7	1	0.018376	-0.020997	0.007551	0.109368	17769	1.42	0	7	60	5	17	0	106	128	1446	234	26	25	686	8580	0	160	123	0	0	0	86	156	1491	0	622	0	0	4	5	207	299	0	69	62	0	185	102	0	0	104	12	0	29953	4997
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000052.spe	56.5	6.7	1	0.018376	-0.020997	0.007565	0.109368	17945	1.47	0	0	22	0	19	6	113	128	1395	143	0	22	468	8387	0	183	68	0	0	54	295	42	1407	23	704	0	0	0	25	182	238	0	29	0	0	0	0	71	36	133	0	0	29924	5083
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000053.spe	57	6.7	1	0.018369	-0.020997	0.007565	0.109368	18165	1.24	0	38	42	16	41	0	121	106	1640	204	6	39	414	8692	46	114	62	12	0	84	194	89	1704	0	804	10	0	0	0	260	218	0	21	74	0	42	0	0	113	94	0	1.7684E+14	29707	5378
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000054.spe	57.5	6.7	1	0.01837	-0.020997	0.007575	0.109368	18469	1.39	22	43	66	22	56	7	126	156	1845	159	14	16	573	9745	36	142	128	0	0	0	193	17	1907	0	776	0	0	0	19	179	307	0	65	0	0	126	61	0	0	51	0	0	30713	5201
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000055.spe	58	6.7	1	0.01837	-0.020997	0.007557	0.109368	18354	1.39	16	0	90	14	42	14	137	158	1761	198	0	23	477	10481	0	141	35	57	0	0	188	156	1870	0	606	0	0	0	0	221	262	0	39	0	0	60	0	0	0	126	0	1.80302E+15	30243	5274
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000056.spe	58.5	6.7	1	0.018366	-0.020997	0.007392	0.109368	18407	1.25	24	30	47	0	45	9	128	120	1682	169	0	19	659	10800	115	192	111	0	0	0	26	27	1809	71	752	0	0	0	9	195	305	37	61	31	67	74	70	0	50	29	19	0	29963	5244
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000057.spe	59	6.71	1	0.018368	-0.020997	0.007416	0.109368	18079	1.37	0	39	47	0	41	18	137	99	1466	135	0	17	582	9840	60	161	97	0	0	0	125	74	1557	0	632	0	0	0	0	154	291	11	91	0	0	0	0	0	23	51	0	3.17243E+13	29420	5343
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000058.spe	59.5	6.71	1	0.01837	-0.020997	0.007455	0.109368	17817	1.19	0	33	33	21	17	23	140	72	1452	181	0	10	542	9177	0	208	76	0	45	19	282	55	1665	0	687	0	0	0	0	213	174	29	37	78	0	8	69	0	0	161	14	0	29763	5283
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000059.spe	60	6.71	1	0.018371	-0.020997	0.007466	0.109368	17858	1.29	10	39	34	6	18	0	126	106	1380	120	12	12	460	8768	66	180	105	17	0	5	223	89	1621	0	856	0	0	16	11	175	226	0	145	5	0	117	0	41	139	34	15	0	30284	5274
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000060.spe	60.5	6.71	1	0.018372	-0.020997	0.007479	0.109368	18061	1.38	34	44	55	12	30	0	122	105	1584	209	0	57	450	9717	30	170	76	0	9	99	184	74	1718	0	690	0	0	0	0	252	286	84	46	66	20	50	23	52	38	105	0	0	29564	5114
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000061.spe	61	6.71	1	0.018369	-0.020997	0.007542	0.109368	17896	1.31	9	16	36	0	27	14	113	96	1430	140	19	12	550	8779	32	154	97	22	0	49	315	20	1661	0	723	0	4	0	7	202	301	0	28	39	0	24	58	17	0	90	14	0	29688	5098
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000062.spe	61.5	6.7	1	0.018365	-0.020997	0.007486	0.109368	17766	1.16	39	38	74	14	27	4	135	100	1413	126	7	28	652	8854	100	190	100	0	0	9	204	102	1590	0	720	0	0	0	20	189	289	0	14	0	0	70	156	0	0	42	19	2.44393E+15	30181	5215
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000063.spe	62	6.7	1	0.018367	-0.020997	0.007503	0.109368	18018	1.29	0	17	77	16	34	18	154	130	1574	184	6	17	490	9888	4	145	107	0	27	13	258	36	1650	0	644	4	0	0	0	158	237	0	22	8	0	0	65	0	0	107	22	3.15049E+14	30290	5242
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000064.spe	62.5	6.69	1	0.018366	-0.020997	0.007478	0.109368	17479	1.32	4	52	68	7	39	0	126	112	1342	179	13	17	462	8471	0	111	68	0	0	36	129	163	1640	0	779	0	0	0	0	190	236	0	0	0	0	122	28	19	29	87	11	0	30022	5076
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000065.spe	63	6.69	1	0.018363	-0.020997	0.007299	0.109368	17622	1.22	0	28	46	5	29	0	116	127	1444	168	0	35	393	8087	77	120	72	0	0	79	163	13	1601	0	739	0	0	0	7	166	266	0	0	0	0	0	17	0	103	15	17	6.37688E+14	29766	5054
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000066.spe	63.5	6.68	1	0.018364	-0.020997	0.00731	0.109368	18239	1.28	0	18	84	7	15	0	107	157	1841	161	0	18	388	10388	57	163	115	0	0	21	211	26	1666	0	550	0	0	0	18	160	266	16	65	10	0	0	92	0	108	52	0	7.30157E+14	30531	5133
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000067.spe	64	6.68	1	0.018364	-0.020997	0.007398	0.109368	17587	1.27	16	29	50	15	36	24	108	146	1400	138	11	14	293	10309	111	141	108	24	0	139	79	50	1384	0	609	0	6	0	29	198	307	79	12	0	0	116	46	0	0	30	7	0	29457	5166
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000068.spe	64.5	6.68	1	0.018366	-0.020997	0.00743	0.109368	17797	1.21	0	16	50	0	40	29	133	129	1451	149	0	0	298	10159	59	148	48	0	69	22	108	66	1666	0	747	0	0	0	10	154	224	0	92	40	41	25	35	0	9	47	13	0	31175	5087
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000069.spe	65	6.67	1	0.018367	-0.020997	0.007409	0.109368	18218	1.27	60	41	77	5	24	12	104	130	1725	146	0	30	361	10107	50	122	21	32	0	0	24	94	1491	0	748	0	0	0	13	157	235	80	53	47	37	84	9	0	22	63	46	2.40971E+14	31198	4988
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000070.spe	65.5	6.66	1	0.018366	-0.020997	0.007353	0.109368	18155	1.33	0	25	48	0	19	19	105	134	1568	123	17	14	527	10507	62	107	94	18	0	92	261	45	1635	0	864	0	0	0	45	162	214	0	56	44	0	42	0	54	11	64	0	8.72961E+14	31254	5415
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000071.spe	66	6.66	1	0.018362	-0.020997	0.007296	0.109368	18038	1.22	12	23	66	8	41	0	112	125	1402	149	0	29	518	9897	46	165	82	42	0	84	52	7	1317	0	698	0	0	0	26	144	227	14	44	0	6	110	0	0	28	102	0	0	30798	5018
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000072.spe	66.5	6.66	1	0.018362	-0.020997	0.007296	0.109368	18546	1.22	36	61	76	15	42	11	117	122	1582	213	9	30	481	10696	6	217	106	31	19	34	307	36	1395	0	777	0	0	0	19	192	213	0	96	0	0	59	31	0	49	135	21	0	31469	5176
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000073.spe	67	6.67	1	0.018364	-0.020997	0.007313	0.109368	18884	1.3	0	30	77	0	55	22	108	109	1643	219	0	42	469	10870	38	184	101	0	0	143	331	89	1428	0	725	0	0	0	41	125	255	67	64	14	0	70	24	61	204	85	31	2.49039E+14	31852	5266
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000074.spe	67.5	6.67	1	0.018363	-0.020997	0.00734	0.109368	19312	1.33	6	22	81	0	20	27	96	112	1752	220	22	7	419	12245	6	123	91	0	0	87	243	68	1456	0	726	0	0	0	10	126	283	0	16	0	0	15	94	0	84	92	28	0	31715	5159
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000075.spe	68	6.67	1	0.01836	-0.020997	0.007301	0.109368	18525	1.22	33	22	55	22	38	15	120	120	1780	248	13	18	448	12985	110	120	76	0	0	32	163	0	1272	0	684	0	0	0	10	213	287	0	0	38	0	81	0	0	66	58	14	4.06886E+13	29858	4983
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000076.spe	68.5	6.68	1	0.018357	-0.020997	0.007332	0.109368	16832	1.13	0	30	49	17	24	12	126	127	1537	237	28	20	358	11548	101	138	86	0	0	71	79	39	1278	0	692	0	0	0	0	178	233	21	23	0	0	28	0	29	17	60	9	1.75709E+15	27011	4844
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000077.spe	69	6.68	1	0.018359	-0.020997	0.007332	0.109368	15575	1.25	13	22	69	24	44	0	103	111	1331	204	14	9	319	10506	64	140	102	0	0	0	55	0	1347	0	557	0	0	0	18	147	218	57	43	25	6	24	92	0	0	55	9	0	25216	4575
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000078.spe	69.5	6.68	1	0.018358	-0.020997	0.007332	0.109368	15236	1.28	0	0	61	0	29	9	136	82	1536	172	0	0	257	10445	0	128	106	0	54	80	259	34	1482	0	719	0	0	7	34	135	160	0	67	18	0	0	14	103	44	106	0	4.05348E+14	24427	4587
