LP08_M1H_BACON_SH20M1H,,,,,,,,,,,,,
Strat_depth,95%CI_min,95%CI_max,median_age,SH20M1Hmean_age,mean 95%,Unit ,95%CI_min_nearest_10_years,95%CI_max_nearest_10_years,median_age_nearest_10_years,SH20M1Hmean_age_nearest_10_years,mean_min_95%CI_err.,max_mean_95%CI_nearest_10_years,mean_95%CI_nearest_10_years
cm,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,-,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP
84,1696.33,2211.57,1984.47,1976.87,257.62,6B,1700,2210,1980,1980,280,230,260
85,1710.7,2216.93,2000.96,1991.38,253.115,6B,1710,2220,2000,1990,280,230,260
86,1728.96,2227.58,2014.16,2005.9,249.31,6B,1730,2230,2010,2010,280,220,250
87,1747.98,2238.87,2030.19,2020.41,245.445,6B,1750,2240,2030,2020,270,220,250
88,1762.61,2250.49,2046.07,2034.92,243.94,6B,1760,2250,2050,2030,270,220,250
89,1776.65,2264.81,2063.3,2049.43,244.08,6B,1780,2260,2060,2050,270,210,240
90,1789.07,2278.12,2078.44,2063.94,244.525,6B,1790,2280,2080,2060,270,220,250
91,1830.77,2281.59,2092.07,2079.65,225.41,6B,1830,2280,2090,2080,250,200,230
92,1866.82,2286.54,2105.03,2095.35,209.86,6B,1870,2290,2110,2100,230,190,210
93,1904.45,2290.95,2118.43,2111.06,193.25,6B,1900,2290,2120,2110,210,180,200
94,1945.75,2295.59,2129.16,2126.77,174.92,6B,1950,2300,2130,2130,180,170,180
95,1981.18,2300.2,2142.38,2142.48,159.51,6B,1980,2300,2140,2140,160,160,160
96,2014.39,2305.34,2154.5,2158.18,145.475,6B,2010,2310,2150,2160,150,150,150
97,2052.03,2311.27,2166.76,2173.89,129.62,6B,2050,2310,2170,2170,120,140,130
98,2080.67,2318.37,2180.33,2189.6,118.85,6B,2080,2320,2180,2190,110,130,120
99,2106.62,2327.8,2194.3,2205.31,110.59,6B,2110,2330,2190,2210,100,120,110
100,2125.6,2341.35,2208.92,2221.01,107.875,6B,2130,2340,2210,2220,90,120,110
101,2143.87,2349.38,2221.35,2234.16,102.755,6B,2140,2350,2220,2230,90,120,110
102,2152.65,2368.23,2235.62,2247.3,107.79,6B,2150,2370,2240,2250,100,120,110
103,2159.68,2392.76,2250.12,2260.44,116.54,6B,2160,2390,2250,2260,100,130,120
104,2164.59,2415.47,2264.22,2273.58,125.44,6B,2160,2420,2260,2270,110,150,130
105,2168.83,2435.62,2277.51,2286.72,133.395,6B,2170,2440,2280,2290,120,150,140
106,2171.47,2460.57,2292.43,2299.87,144.55,6B,2170,2460,2290,2300,130,160,150
107,2174.22,2488.12,2307.92,2313.01,156.95,6B,2170,2490,2310,2310,140,180,160
108,2178.62,2518.71,2319.56,2326.15,170.045,6B,2180,2520,2320,2330,150,190,170
109,2182.24,2549.61,2330.97,2339.29,183.685,6B,2180,2550,2330,2340,160,210,190
110,2184.25,2579.84,2343.6,2352.44,197.795,6B,2180,2580,2340,2350,170,230,200
111,2197.39,2591.97,2355.83,2365.23,197.29,6B,2200,2590,2360,2370,170,220,200
112,2208.8,2603.78,2369.55,2378.03,197.49,6B,2210,2600,2370,2380,170,220,200
113,2216.78,2616.53,2383.04,2390.83,199.875,6B,2220,2620,2380,2390,170,230,200
114,2225.73,2624.31,2395.42,2403.62,199.29,6B,2230,2620,2400,2400,170,220,200
115,2231.19,2637.03,2409.06,2416.42,202.92,6B,2230,2640,2410,2420,190,220,210
116,2235.66,2648.09,2423.01,2429.22,206.215,6B,2240,2650,2420,2430,190,220,210
117,2241.02,2668.36,2435.82,2442.02,213.67,6B,2240,2670,2440,2440,200,230,220
118,2245.88,2686.45,2448.39,2454.81,220.285,6B,2250,2690,2450,2450,200,240,220
119,2252.58,2710.91,2462.06,2467.61,229.165,6B,2250,2710,2460,2470,220,240,230
120,2257.11,2735.64,2475.41,2480.41,239.265,6B,2260,2740,2480,2480,220,260,240
121,2273.61,2741.52,2487.55,2493.45,233.955,6B,2270,2740,2490,2490,220,250,240
